From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        0.92 MFlops :       0.00 Sec : 130
      2 :       22.77 MFlops :       0.00 Sec : 260
      3 :      236.97 MFlops :       0.00 Sec : 390
      4 :      421.28 MFlops :       0.00 Sec : 520
      5 :      526.60 MFlops :       0.00 Sec : 650
      6 :      733.84 MFlops :       0.00 Sec : 780
      7 :      950.65 MFlops :       0.00 Sec : 910
      8 :     1037.00 MFlops :       0.00 Sec : 1040
      9 :     1279.64 MFlops :       0.00 Sec : 1170
     10 :     1367.79 MFlops :       0.00 Sec : 1300
     11 :     1491.29 MFlops :       0.00 Sec : 1430
     12 :     1639.58 MFlops :       0.00 Sec : 4259
     13 :     1851.10 MFlops :       0.00 Sec : 4259
     14 :     1888.88 MFlops :       0.00 Sec : 4259
     15 :     2054.65 MFlops :       0.00 Sec : 4259
     16 :     2200.97 MFlops :       0.00 Sec : 4259
     17 :     2330.80 MFlops :       0.00 Sec : 4259
     18 :     2408.73 MFlops :       0.00 Sec : 4259
     19 :     2579.96 MFlops :       0.00 Sec : 4259
     20 :     2616.65 MFlops :       0.00 Sec : 4259
     21 :     2739.80 MFlops :       0.00 Sec : 4259
     22 :     2817.71 MFlops :       0.00 Sec : 4259
     23 :     2791.78 MFlops :       0.00 Sec : 4259
     24 :     3362.46 MFlops :       0.00 Sec : 4259
     25 :     5079.09 MFlops :       0.00 Sec : 4259
     26 :     7649.19 MFlops :       0.00 Sec : 4259
     27 :     8673.70 MFlops :       0.00 Sec : 4259
     28 :     8227.70 MFlops :       0.00 Sec : 4259
     29 :     8648.65 MFlops :       0.00 Sec : 4259
     30 :     9416.03 MFlops :       0.00 Sec : 4325
     31 :     9804.96 MFlops :       0.00 Sec : 4325
     32 :     3726.92 MFlops :       0.00 Sec : 4325
     33 :     1231.66 MFlops :       0.00 Sec : 4325
     34 :     3627.96 MFlops :       0.00 Sec : 4420
     35 :     4897.61 MFlops :       0.00 Sec : 4550
     36 :     9886.94 MFlops :       0.00 Sec : 4680
     37 :     9560.53 MFlops :       0.00 Sec : 4810
     38 :     9306.15 MFlops :       0.00 Sec : 4940
     39 :     4820.58 MFlops :       0.00 Sec : 5070
     40 :     5717.12 MFlops :       0.00 Sec : 5200
     41 :    10369.66 MFlops :       0.00 Sec : 5330
     42 :    10777.55 MFlops :       0.00 Sec : 5460
     43 :     3778.74 MFlops :       0.00 Sec : 5590
     44 :    10024.11 MFlops :       0.00 Sec : 5720
     45 :    11330.91 MFlops :       0.00 Sec : 5850
     46 :     5946.30 MFlops :       0.00 Sec : 5980
     47 :     8404.80 MFlops :       0.00 Sec : 6110
     48 :     8428.04 MFlops :       0.00 Sec : 6240
     49 :     6312.17 MFlops :       0.00 Sec : 6370
     50 :     9773.57 MFlops :       0.00 Sec : 6500
     51 :     4840.89 MFlops :       0.00 Sec : 6630
     52 :     4235.94 MFlops :       0.00 Sec : 6760
     53 :     4474.81 MFlops :       0.00 Sec : 6890
     54 :     4992.21 MFlops :       0.00 Sec : 7020
     55 :     4439.48 MFlops :       0.00 Sec : 7150
     56 :     3369.01 MFlops :       0.01 Sec : 7280
     57 :     4619.74 MFlops :       0.00 Sec : 7410
     58 :     5138.58 MFlops :       0.00 Sec : 7540
     59 :     3407.99 MFlops :       0.01 Sec : 7670
     60 :     4753.26 MFlops :       0.00 Sec : 7800
     61 :     7165.96 MFlops :       0.00 Sec : 7930
     62 :    11958.41 MFlops :       0.00 Sec : 8060
     63 :    12243.12 MFlops :       0.00 Sec : 8190
     64 :    12740.66 MFlops :       0.00 Sec : 8320
     65 :     7881.06 MFlops :       0.00 Sec : 8450
     66 :    12917.70 MFlops :       0.00 Sec : 8580
     67 :     7883.61 MFlops :       0.00 Sec : 8710
     68 :     5508.31 MFlops :       0.01 Sec : 8840
     69 :    10600.05 MFlops :       0.00 Sec : 8970
     70 :    14284.21 MFlops :       0.00 Sec : 9100
     71 :    14459.22 MFlops :       0.00 Sec : 9230
     72 :    14191.51 MFlops :       0.00 Sec : 9360
     73 :     5074.47 MFlops :       0.01 Sec : 9490
     74 :     9433.73 MFlops :       0.00 Sec : 9620
     75 :    14268.42 MFlops :       0.00 Sec : 9750
     76 :    11183.59 MFlops :       0.00 Sec : 9880
     77 :     6336.59 MFlops :       0.01 Sec : 10010
     78 :    10352.07 MFlops :       0.00 Sec : 10140
     79 :    17274.41 MFlops :       0.00 Sec : 10270
     80 :    17576.22 MFlops :       0.00 Sec : 10400
     81 :    13684.93 MFlops :       0.00 Sec : 10530
     82 :    15861.81 MFlops :       0.00 Sec : 10660
     83 :    18748.63 MFlops :       0.00 Sec : 10790
     84 :     9631.78 MFlops :       0.01 Sec : 10920
