From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :         inf MFlops   0.000000 sec
      2x2 :         inf MFlops   0.000000 sec
      3x3 :         inf MFlops   0.000000 sec
      4x4 :         inf MFlops   0.000000 sec
      5x5 :         inf MFlops   0.000000 sec
      6x6 :         inf MFlops   0.000000 sec
      7x7 :         inf MFlops   0.000000 sec
      8x8 :         inf MFlops   0.000000 sec
      9x9 :         inf MFlops   0.000000 sec
     10x10 :         inf MFlops   0.000000 sec
     11x11 :         inf MFlops   0.000000 sec
     12x12 :     1152.00 MFlops   0.000001 sec
     13x13 :         inf MFlops   0.000000 sec
     14x14 :     1568.00 MFlops   0.000001 sec
     15x15 :         inf MFlops   0.000000 sec
     16x16 :     2048.00 MFlops   0.000001 sec
     17x17 :     2312.00 MFlops   0.000001 sec
     18x18 :         inf MFlops   0.000000 sec
     19x19 :     2888.00 MFlops   0.000001 sec
     20x20 :         inf MFlops   0.000000 sec
     21x21 :         inf MFlops   0.000000 sec
     22x22 :     3872.00 MFlops   0.000001 sec
     23x23 :         inf MFlops   0.000000 sec
     24x24 :         inf MFlops   0.000000 sec
     25x25 :         inf MFlops   0.000000 sec
     26x26 :         inf MFlops   0.000000 sec
     27x27 :         inf MFlops   0.000000 sec
     28x28 :         inf MFlops   0.000000 sec
     29x29 :         inf MFlops   0.000000 sec
     30x30 :     7200.00 MFlops   0.000001 sec
     31x31 :     7688.00 MFlops   0.000001 sec
     32x32 :         inf MFlops   0.000000 sec
     33x33 :         inf MFlops   0.000000 sec
     34x34 :     9248.00 MFlops   0.000001 sec
     35x35 :     9800.00 MFlops   0.000001 sec
     36x36 :    10368.00 MFlops   0.000001 sec
     37x37 :         inf MFlops   0.000000 sec
     38x38 :         inf MFlops   0.000000 sec
     39x39 :         inf MFlops   0.000000 sec
     40x40 :    12800.00 MFlops   0.000001 sec
     41x41 :    13448.00 MFlops   0.000001 sec
     42x42 :    14112.00 MFlops   0.000001 sec
     43x43 :    14792.00 MFlops   0.000001 sec
     44x44 :         inf MFlops   0.000000 sec
     45x45 :         inf MFlops   0.000000 sec
     46x46 :    16928.00 MFlops   0.000001 sec
     47x47 :    17672.00 MFlops   0.000001 sec
     48x48 :    18432.00 MFlops   0.000001 sec
     49x49 :    19208.00 MFlops   0.000001 sec
     50x50 :    20000.00 MFlops   0.000001 sec
     51x51 :    20808.00 MFlops   0.000001 sec
     52x52 :    21632.00 MFlops   0.000001 sec
     53x53 :    11236.00 MFlops   0.000002 sec
     54x54 :    23328.00 MFlops   0.000001 sec
     55x55 :    24200.00 MFlops   0.000001 sec
     56x56 :    12544.00 MFlops   0.000002 sec
     57x57 :    25992.00 MFlops   0.000001 sec
     58x58 :    13456.00 MFlops   0.000002 sec
     59x59 :    13924.00 MFlops   0.000002 sec
     60x60 :    28800.00 MFlops   0.000001 sec
     61x61 :    14884.00 MFlops   0.000002 sec
     62x62 :    15376.00 MFlops   0.000002 sec
     63x63 :    31752.00 MFlops   0.000001 sec
     64x64 :    10922.67 MFlops   0.000003 sec
     65x65 :     8450.00 MFlops   0.000004 sec
     66x66 :    11616.00 MFlops   0.000003 sec
     67x67 :    11970.67 MFlops   0.000003 sec
     68x68 :     9248.00 MFlops   0.000004 sec
     69x69 :     9522.00 MFlops   0.000004 sec
     70x70 :     9800.00 MFlops   0.000004 sec
     71x71 :    10082.00 MFlops   0.000004 sec
     72x72 :     8294.40 MFlops   0.000005 sec
     73x73 :     8526.40 MFlops   0.000005 sec
     74x74 :    10952.00 MFlops   0.000004 sec
     75x75 :    11250.00 MFlops   0.000004 sec
     76x76 :    11552.00 MFlops   0.000004 sec
     77x77 :     9486.40 MFlops   0.000005 sec
     78x78 :     9734.40 MFlops   0.000005 sec
     79x79 :     9985.60 MFlops   0.000005 sec
     80x80 :     1089.36 MFlops   0.000047 sec
     81x81 :     1944.00 MFlops   0.000027 sec
     82x82 :    13448.00 MFlops   0.000004 sec
     83x83 :    11022.40 MFlops   0.000005 sec
     84x84 :     9408.00 MFlops   0.000006 sec
     85x85 :    11560.00 MFlops   0.000005 sec
     86x86 :    11833.60 MFlops   0.000005 sec
     87x87 :    12110.40 MFlops   0.000005 sec
     88x88 :    10325.33 MFlops   0.000006 sec
     89x89 :    12673.60 MFlops   0.000005 sec
     90x90 :    12960.00 MFlops   0.000005 sec
     91x91 :    13249.60 MFlops   0.000005 sec
     92x92 :    13542.40 MFlops   0.000005 sec
     93x93 :    13838.40 MFlops   0.000005 sec
     94x94 :    14137.60 MFlops   0.000005 sec
     95x95 :    14440.00 MFlops   0.000005 sec
     96x96 :     1445.65 MFlops   0.000051 sec
     97x97 :    12545.33 MFlops   0.000006 sec
     98x98 :    10976.00 MFlops   0.000007 sec
     99x99 :    13068.00 MFlops   0.000006 sec
    100x100 :    13333.33 MFlops   0.000006 sec
    101x101 :    13601.33 MFlops   0.000006 sec
    102x102 :    11890.29 MFlops   0.000007 sec
    103x103 :    12124.57 MFlops   0.000007 sec
    104x104 :    14421.33 MFlops   0.000006 sec
    105x105 :    12600.00 MFlops   0.000007 sec
    106x106 :    14981.33 MFlops   0.000006 sec
    107x107 :    15265.33 MFlops   0.000006 sec
    108x108 :    11664.00 MFlops   0.000008 sec
    109x109 :     4320.36 MFlops   0.000022 sec
    110x110 :    13828.57 MFlops   0.000007 sec
    111x111 :    12321.00 MFlops   0.000008 sec
    112x112 :    16725.33 MFlops   0.000006 sec
    113x113 :    11350.22 MFlops   0.000009 sec
    114x114 :    12996.00 MFlops   0.000008 sec
    115x115 :    13225.00 MFlops   0.000008 sec
    116x116 :    13456.00 MFlops   0.000008 sec
    117x117 :    12168.00 MFlops   0.000009 sec
    118x118 :    13924.00 MFlops   0.000008 sec
    119x119 :    12587.56 MFlops   0.000009 sec
    120x120 :    14400.00 MFlops   0.000008 sec
    121x121 :    10648.00 MFlops   0.000011 sec
    122x122 :     2164.95 MFlops   0.000055 sec
    123x123 :    13448.00 MFlops   0.000009 sec
    124x124 :    13667.56 MFlops   0.000009 sec
    125x125 :    13888.89 MFlops   0.000009 sec
    126x126 :    14112.00 MFlops   0.000009 sec
    127x127 :    14336.89 MFlops   0.000009 sec
    128x128 :    11915.64 MFlops   0.000011 sec
