From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        1.14 MFlops   0.000007 sec
      2x2 :         inf MFlops   0.000000 sec
      3x3 :         inf MFlops   0.000000 sec
      4x4 :         inf MFlops   0.000000 sec
      5x5 :         inf MFlops   0.000000 sec
      6x6 :         inf MFlops   0.000000 sec
      7x7 :         inf MFlops   0.000000 sec
      8x8 :         inf MFlops   0.000000 sec
      9x9 :         inf MFlops   0.000000 sec
     10x10 :         inf MFlops   0.000000 sec
     11x11 :         inf MFlops   0.000000 sec
     12x12 :         inf MFlops   0.000000 sec
     13x13 :     1352.00 MFlops   0.000001 sec
     14x14 :         inf MFlops   0.000000 sec
     15x15 :     1800.00 MFlops   0.000001 sec
     16x16 :     2048.00 MFlops   0.000001 sec
     17x17 :         inf MFlops   0.000000 sec
     18x18 :     2592.00 MFlops   0.000001 sec
     19x19 :         inf MFlops   0.000000 sec
     20x20 :     3200.00 MFlops   0.000001 sec
     21x21 :         inf MFlops   0.000000 sec
     22x22 :     3872.00 MFlops   0.000001 sec
     23x23 :     4232.00 MFlops   0.000001 sec
     24x24 :     4608.00 MFlops   0.000001 sec
     25x25 :         inf MFlops   0.000000 sec
     26x26 :     5408.00 MFlops   0.000001 sec
     27x27 :         inf MFlops   0.000000 sec
     28x28 :         inf MFlops   0.000000 sec
     29x29 :         inf MFlops   0.000000 sec
     30x30 :     7200.00 MFlops   0.000001 sec
     31x31 :         inf MFlops   0.000000 sec
     32x32 :         inf MFlops   0.000000 sec
     33x33 :         inf MFlops   0.000000 sec
     34x34 :         inf MFlops   0.000000 sec
     35x35 :         inf MFlops   0.000000 sec
     36x36 :         inf MFlops   0.000000 sec
     37x37 :    10952.00 MFlops   0.000001 sec
     38x38 :    11552.00 MFlops   0.000001 sec
     39x39 :         inf MFlops   0.000000 sec
     40x40 :         inf MFlops   0.000000 sec
     41x41 :    13448.00 MFlops   0.000001 sec
     42x42 :    14112.00 MFlops   0.000001 sec
     43x43 :    14792.00 MFlops   0.000001 sec
     44x44 :         inf MFlops   0.000000 sec
     45x45 :         inf MFlops   0.000000 sec
     46x46 :         inf MFlops   0.000000 sec
     47x47 :    17672.00 MFlops   0.000001 sec
     48x48 :         inf MFlops   0.000000 sec
     49x49 :         inf MFlops   0.000000 sec
     50x50 :    20000.00 MFlops   0.000001 sec
     51x51 :         inf MFlops   0.000000 sec
     52x52 :    21632.00 MFlops   0.000001 sec
     53x53 :    22472.00 MFlops   0.000001 sec
     54x54 :         inf MFlops   0.000000 sec
     55x55 :    24200.00 MFlops   0.000001 sec
     56x56 :    25088.00 MFlops   0.000001 sec
     57x57 :    25992.00 MFlops   0.000001 sec
     58x58 :    26912.00 MFlops   0.000001 sec
     59x59 :    27848.00 MFlops   0.000001 sec
     60x60 :    28800.00 MFlops   0.000001 sec
     61x61 :    29768.00 MFlops   0.000001 sec
     62x62 :    30752.00 MFlops   0.000001 sec
     63x63 :    31752.00 MFlops   0.000001 sec
     64x64 :    32768.00 MFlops   0.000001 sec
     65x65 :    33800.00 MFlops   0.000001 sec
     66x66 :    34848.00 MFlops   0.000001 sec
     67x67 :    35912.00 MFlops   0.000001 sec
     68x68 :    36992.00 MFlops   0.000001 sec
     69x69 :    19044.00 MFlops   0.000002 sec
     70x70 :    39200.00 MFlops   0.000001 sec
     71x71 :    40328.00 MFlops   0.000001 sec
     72x72 :    41472.00 MFlops   0.000001 sec
     73x73 :    21316.00 MFlops   0.000002 sec
     74x74 :    43808.00 MFlops   0.000001 sec
     75x75 :    45000.00 MFlops   0.000001 sec
     76x76 :    46208.00 MFlops   0.000001 sec
     77x77 :    47432.00 MFlops   0.000001 sec
     78x78 :    48672.00 MFlops   0.000001 sec
     79x79 :    24964.00 MFlops   0.000002 sec
     80x80 :    51200.00 MFlops   0.000001 sec
     81x81 :    26244.00 MFlops   0.000002 sec
     82x82 :    26896.00 MFlops   0.000002 sec
     83x83 :    27556.00 MFlops   0.000002 sec
     84x84 :    56448.00 MFlops   0.000001 sec
     85x85 :    57800.00 MFlops   0.000001 sec
     86x86 :    29584.00 MFlops   0.000002 sec
     87x87 :    60552.00 MFlops   0.000001 sec
     88x88 :    30976.00 MFlops   0.000002 sec
     89x89 :    31684.00 MFlops   0.000002 sec
     90x90 :    32400.00 MFlops   0.000002 sec
     91x91 :    33124.00 MFlops   0.000002 sec
     92x92 :    33856.00 MFlops   0.000002 sec
     93x93 :    34596.00 MFlops   0.000002 sec
     94x94 :    35344.00 MFlops   0.000002 sec
     95x95 :    36100.00 MFlops   0.000002 sec
     96x96 :    36864.00 MFlops   0.000002 sec
     97x97 :    37636.00 MFlops   0.000002 sec
     98x98 :    38416.00 MFlops   0.000002 sec
     99x99 :    39204.00 MFlops   0.000002 sec
    100x100 :    40000.00 MFlops   0.000002 sec
    101x101 :    40804.00 MFlops   0.000002 sec
    102x102 :    41616.00 MFlops   0.000002 sec
    103x103 :    28290.67 MFlops   0.000003 sec
    104x104 :    43264.00 MFlops   0.000002 sec
    105x105 :    29400.00 MFlops   0.000003 sec
    106x106 :    44944.00 MFlops   0.000002 sec
    107x107 :    30530.67 MFlops   0.000003 sec
    108x108 :    46656.00 MFlops   0.000002 sec
    109x109 :    47524.00 MFlops   0.000002 sec
    110x110 :    48400.00 MFlops   0.000002 sec
    111x111 :    32856.00 MFlops   0.000003 sec
    112x112 :    33450.67 MFlops   0.000003 sec
    113x113 :    34050.67 MFlops   0.000003 sec
    114x114 :    34656.00 MFlops   0.000003 sec
    115x115 :    52900.00 MFlops   0.000002 sec
    116x116 :    35882.67 MFlops   0.000003 sec
    117x117 :    36504.00 MFlops   0.000003 sec
    118x118 :    37130.67 MFlops   0.000003 sec
    119x119 :    37762.67 MFlops   0.000003 sec
    120x120 :    28800.00 MFlops   0.000004 sec
    121x121 :    29282.00 MFlops   0.000004 sec
    122x122 :    29768.00 MFlops   0.000004 sec
    123x123 :    30258.00 MFlops   0.000004 sec
    124x124 :    41002.67 MFlops   0.000003 sec
    125x125 :    31250.00 MFlops   0.000004 sec
    126x126 :    31752.00 MFlops   0.000004 sec
    127x127 :    32258.00 MFlops   0.000004 sec
    128x128 :    21845.33 MFlops   0.000006 sec
    129x129 :    33282.00 MFlops   0.000004 sec
    130x130 :    33800.00 MFlops   0.000004 sec
    131x131 :    34322.00 MFlops   0.000004 sec
    132x132 :    34848.00 MFlops   0.000004 sec
    133x133 :    28302.40 MFlops   0.000005 sec
    134x134 :    28729.60 MFlops   0.000005 sec
    135x135 :    29160.00 MFlops   0.000005 sec
    136x136 :    29593.60 MFlops   0.000005 sec
    137x137 :    30030.40 MFlops   0.000005 sec
    138x138 :    30470.40 MFlops   0.000005 sec
    139x139 :    30913.60 MFlops   0.000005 sec
    140x140 :    31360.00 MFlops   0.000005 sec
    141x141 :    31809.60 MFlops   0.000005 sec
    142x142 :    32262.40 MFlops   0.000005 sec
    143x143 :    32718.40 MFlops   0.000005 sec
    144x144 :    27648.00 MFlops   0.000006 sec
    145x145 :    28033.33 MFlops   0.000006 sec
    146x146 :    28421.33 MFlops   0.000006 sec
    147x147 :    28812.00 MFlops   0.000006 sec
    148x148 :    29205.33 MFlops   0.000006 sec
    149x149 :    29601.33 MFlops   0.000006 sec
    150x150 :    30000.00 MFlops   0.000006 sec
    151x151 :    30401.33 MFlops   0.000006 sec
    152x152 :    30805.33 MFlops   0.000006 sec
    153x153 :    31212.00 MFlops   0.000006 sec
    154x154 :    31621.33 MFlops   0.000006 sec
    155x155 :    32033.33 MFlops   0.000006 sec
    156x156 :    27812.57 MFlops   0.000007 sec
    157x157 :     7303.41 MFlops   0.000027 sec
    158x158 :    22190.22 MFlops   0.000009 sec
    159x159 :    25281.00 MFlops   0.000008 sec
    160x160 :    22755.56 MFlops   0.000009 sec
    161x161 :    23040.89 MFlops   0.000009 sec
    162x162 :    23328.00 MFlops   0.000009 sec
    163x163 :    17712.67 MFlops   0.000012 sec
    164x164 :    26896.00 MFlops   0.000008 sec
    165x165 :    21780.00 MFlops   0.000010 sec
    166x166 :    24494.22 MFlops   0.000009 sec
    167x167 :    24790.22 MFlops   0.000009 sec
    168x168 :    25088.00 MFlops   0.000009 sec
    169x169 :    25387.56 MFlops   0.000009 sec
    170x170 :    25688.89 MFlops   0.000009 sec
    171x171 :    17994.46 MFlops   0.000013 sec
    172x172 :    23667.20 MFlops   0.000010 sec
