From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       0.67 MFlops   0.000016 s
 2x2 :      12.19 MFlops   0.000007 s
 3x3 :      18.00 MFlops   0.000016 s
 4x4 :      62.06 MFlops   0.000011 s
 5x5 :       0.15 MFlops   0.008959 s
 6x6 :     128.00 MFlops   0.000018 s
 7x7 :      23.91 MFlops   0.000153 s
 8x8 :     109.23 MFlops   0.000050 s
 9x9 :    1296.00 MFlops   0.000006 s
 10x10 :     592.59 MFlops   0.000018 s
 11x11 :    1419.73 MFlops   0.000010 s
 12x12 :    1843.20 MFlops   0.000010 s
 13x13 :    1802.67 MFlops   0.000013 s
 14x14 :    2090.67 MFlops   0.000014 s
 15x15 :    2400.00 MFlops   0.000015 s
 16x16 :    2912.71 MFlops   0.000015 s
 17x17 :    2758.18 MFlops   0.000019 s
 18x18 :    2145.10 MFlops   0.000029 s
 19x19 :    3325.58 MFlops   0.000022 s
 20x20 :    3878.79 MFlops   0.000022 s
 21x21 :    4116.00 MFlops   0.000024 s
 22x22 :    4543.15 MFlops   0.000025 s
 23x23 :    4806.72 MFlops   0.000027 s
 24x24 :    5461.33 MFlops   0.000027 s
 25x25 :    5376.34 MFlops   0.000031 s
 26x26 :    5858.67 MFlops   0.000032 s
 27x27 :    5998.63 MFlops   0.000035 s
 28x28 :    6504.30 MFlops   0.000036 s
 29x29 :    6503.73 MFlops   0.000040 s
 30x30 :    7024.39 MFlops   0.000041 s
 31x31 :    7390.02 MFlops   0.000043 s
 32x32 :    7598.38 MFlops   0.000046 s
 33x33 :    7516.24 MFlops   0.000051 s
 34x34 :    8220.44 MFlops   0.000051 s
 35x35 :    7622.22 MFlops   0.000060 s
 36x36 :    8294.40 MFlops   0.000060 s
 37x37 :    8312.29 MFlops   0.000065 s
 38x38 :    9145.33 MFlops   0.000064 s
 39x39 :    9170.09 MFlops   0.000069 s
 40x40 :    9225.23 MFlops   0.000074 s
 41x41 :    9673.12 MFlops   0.000076 s
 42x42 :   11130.59 MFlops   0.000071 s
 43x43 :   11013.96 MFlops   0.000077 s
 44x44 :   11955.65 MFlops   0.000076 s
