From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       1.78 MFlops   0.000006 s
 2x2 :      14.22 MFlops   0.000006 s
 3x3 :        inf MFlops   0.000000 s
 4x4 :     682.67 MFlops   0.000001 s
 5x5 :    1333.33 MFlops   0.000001 s
 6x6 :    2304.00 MFlops   0.000001 s
 7x7 :    3658.67 MFlops   0.000001 s
 8x8 :    2730.67 MFlops   0.000002 s
 9x9 :    2592.00 MFlops   0.000003 s
 10x10 :    2666.67 MFlops   0.000004 s
 11x11 :    3549.33 MFlops   0.000004 s
 12x12 :    3072.00 MFlops   0.000006 s
 13x13 :    3905.78 MFlops   0.000006 s
 14x14 :    3658.67 MFlops   0.000008 s
 15x15 :    4000.00 MFlops   0.000009 s
 16x16 :    4369.07 MFlops   0.000010 s
 17x17 :    4367.11 MFlops   0.000012 s
 18x18 :    4785.23 MFlops   0.000013 s
 19x19 :    5225.90 MFlops   0.000014 s
 20x20 :    5333.33 MFlops   0.000016 s
 21x21 :    5488.00 MFlops   0.000018 s
 22x22 :    5678.93 MFlops   0.000020 s
 23x23 :    6180.06 MFlops   0.000021 s
 24x24 :    6144.00 MFlops   0.000024 s
 25x25 :    6172.84 MFlops   0.000027 s
 26x26 :    6464.74 MFlops   0.000029 s
 27x27 :    6772.65 MFlops   0.000031 s
 28x28 :    6886.90 MFlops   0.000034 s
 29x29 :    7031.06 MFlops   0.000037 s
 30x30 :    7200.00 MFlops   0.000040 s
 31x31 :    7222.06 MFlops   0.000044 s
 32x32 :    7281.78 MFlops   0.000048 s
 33x33 :    7516.24 MFlops   0.000051 s
 34x34 :    7622.59 MFlops   0.000055 s
 35x35 :    7751.41 MFlops   0.000059 s
 36x36 :    7899.43 MFlops   0.000063 s
 37x37 :    7830.42 MFlops   0.000069 s
 38x38 :    8129.19 MFlops   0.000072 s
 39x39 :    8217.35 MFlops   0.000077 s
 40x40 :    8126.98 MFlops   0.000084 s
 41x41 :    8354.06 MFlops   0.000088 s
 42x42 :    8407.15 MFlops   0.000094 s
 43x43 :    8396.78 MFlops   0.000101 s
 44x44 :    8491.86 MFlops   0.000107 s
 45x45 :    8601.77 MFlops   0.000113 s
 46x46 :    8724.80 MFlops   0.000119 s
 47x47 :    8720.04 MFlops   0.000127 s
 48x48 :    8869.53 MFlops   0.000133 s
 49x49 :    8837.48 MFlops   0.000142 s
 50x50 :    8948.55 MFlops   0.000149 s
 51x51 :    9012.38 MFlops   0.000157 s
 52x52 :    9145.24 MFlops   0.000164 s
 53x53 :    9126.56 MFlops   0.000174 s
 54x54 :    9128.35 MFlops   0.000184 s
 55x55 :    9195.16 MFlops   0.000193 s
 56x56 :    9049.46 MFlops   0.000207 s
 57x57 :    9274.14 MFlops   0.000213 s
 58x58 :    9291.05 MFlops   0.000224 s
 59x59 :    9362.01 MFlops   0.000234 s
 60x60 :    9404.08 MFlops   0.000245 s
 61x61 :    9420.74 MFlops   0.000257 s
 62x62 :    9485.69 MFlops   0.000268 s
 63x63 :    9424.62 MFlops   0.000283 s
 64x64 :    9510.89 MFlops   0.000294 s
 65x65 :   12205.56 MFlops   0.000240 s
 66x66 :   12672.00 MFlops   0.000242 s
 67x67 :   12730.71 MFlops   0.000252 s
 68x68 :   12899.77 MFlops   0.000260 s
 69x69 :   12788.67 MFlops   0.000274 s
 70x70 :   13020.17 MFlops   0.000281 s
 71x71 :   12355.07 MFlops   0.000309 s
 72x72 :   12760.62 MFlops   0.000312 s
 73x73 :   12886.69 MFlops   0.000322 s
 74x74 :   13258.86 MFlops   0.000326 s
 75x75 :   13235.29 MFlops   0.000340 s
 76x76 :   13378.32 MFlops   0.000350 s
 77x77 :   13305.15 MFlops   0.000366 s
 78x78 :   13462.47 MFlops   0.000376 s
 79x79 :   13280.51 MFlops   0.000396 s
 80x80 :   13585.41 MFlops   0.000402 s
 81x81 :   13659.53 MFlops   0.000415 s
 82x82 :   13838.26 MFlops   0.000425 s
 83x83 :   13736.62 MFlops   0.000444 s
 84x84 :   14018.13 MFlops   0.000451 s
 85x85 :   13997.15 MFlops   0.000468 s
 86x86 :   14134.58 MFlops   0.000480 s
 87x87 :   14104.48 MFlops   0.000498 s
 88x88 :   14309.12 MFlops   0.000508 s
 89x89 :   14350.51 MFlops   0.000524 s
 90x90 :   14400.00 MFlops   0.000540 s
 91x91 :   14328.15 MFlops   0.000561 s
 92x92 :   14495.65 MFlops   0.000573 s
 93x93 :   14591.51 MFlops   0.000588 s
 94x94 :   14815.32 MFlops   0.000598 s
 95x95 :   14726.78 MFlops   0.000621 s
 96x96 :   15003.47 MFlops   0.000629 s
 97x97 :   14954.19 MFlops   0.000651 s
 98x98 :   14939.56 MFlops   0.000672 s
 99x99 :   15065.29 MFlops   0.000687 s
 100x100 :   15216.36 MFlops   0.000701 s
 101x101 :   15095.99 MFlops   0.000728 s
 102x102 :   15317.39 MFlops   0.000739 s
 103x103 :   15256.22 MFlops   0.000764 s
 104x104 :   15402.50 MFlops   0.000779 s
 105x105 :   15358.21 MFlops   0.000804 s
 106x106 :   15511.81 MFlops   0.000819 s
 107x107 :   15500.74 MFlops   0.000843 s
 108x108 :   15552.00 MFlops   0.000864 s
 109x109 :   15608.64 MFlops   0.000885 s
 110x110 :   15722.41 MFlops   0.000903 s
 111x111 :   15719.90 MFlops   0.000928 s
 112x112 :   15891.73 MFlops   0.000943 s
 113x113 :   15817.99 MFlops   0.000973 s
 114x114 :   15898.53 MFlops   0.000994 s
 115x115 :   15998.69 MFlops   0.001014 s
 116x116 :   15947.85 MFlops   0.001044 s
 117x117 :   16116.86 MFlops   0.001060 s
 118x118 :   16152.70 MFlops   0.001085 s
 119x119 :   16193.72 MFlops   0.001110 s
 120x120 :   16282.69 MFlops   0.001132 s
 121x121 :   16276.18 MFlops   0.001161 s
 122x122 :   16181.32 MFlops   0.001197 s
 123x123 :   16390.79 MFlops   0.001211 s
 124x124 :   16427.56 MFlops   0.001238 s
 125x125 :   16469.04 MFlops   0.001265 s
 126x126 :   16553.41 MFlops   0.001289 s
 127x127 :   16666.22 MFlops   0.001311 s
 128x128 :   16781.41 MFlops   0.001333 s
 129x129 :   18955.31 MFlops   0.001208 s
 130x130 :   22255.14 MFlops   0.001053 s
 131x131 :   22141.86 MFlops   0.001083 s
 132x132 :   22242.06 MFlops   0.001103 s
 133x133 :   22346.21 MFlops   0.001123 s
 134x134 :   22434.54 MFlops   0.001144 s
 135x135 :   22392.49 MFlops   0.001172 s
 136x136 :   22700.11 MFlops   0.001182 s
 137x137 :   22592.89 MFlops   0.001214 s
 138x138 :   22809.41 MFlops   0.001229 s
 139x139 :   22807.80 MFlops   0.001256 s
 140x140 :   22902.45 MFlops   0.001278 s
 141x141 :   22930.23 MFlops   0.001304 s
 142x142 :   23102.68 MFlops   0.001322 s
 143x143 :   22968.73 MFlops   0.001358 s
 144x144 :   23488.57 MFlops   0.001356 s
 145x145 :   23411.57 MFlops   0.001389 s
 146x146 :   23560.05 MFlops   0.001409 s
 147x147 :   23595.34 MFlops   0.001436 s
 148x148 :   23782.06 MFlops   0.001454 s
 149x149 :   23744.81 MFlops   0.001486 s
 150x150 :   23920.27 MFlops   0.001505 s
 151x151 :   23971.81 MFlops   0.001532 s
 152x152 :   24214.15 MFlops   0.001547 s
 153x153 :   24210.07 MFlops   0.001578 s
 154x154 :   24333.22 MFlops   0.001601 s
 155x155 :   24294.39 MFlops   0.001635 s
 156x156 :   24512.77 MFlops   0.001652 s
 157x157 :   24512.39 MFlops   0.001684 s
 158x158 :   24676.05 MFlops   0.001705 s
 159x159 :   24712.72 MFlops   0.001735 s
 160x160 :   25181.94 MFlops   0.001735 s
 161x161 :   24634.75 MFlops   0.001807 s
 162x162 :   24972.26 MFlops   0.001816 s
 163x163 :   24983.58 MFlops   0.001849 s
 164x164 :   25173.93 MFlops   0.001869 s
 165x165 :   25218.95 MFlops   0.001900 s
 166x166 :   25373.11 MFlops   0.001923 s
 167x167 :   25398.57 MFlops   0.001956 s
 168x168 :   25569.97 MFlops   0.001978 s
 169x169 :   25589.44 MFlops   0.002012 s
 170x170 :   25764.67 MFlops   0.002034 s
 171x171 :   24703.84 MFlops   0.002159 s
 172x172 :   24482.08 MFlops   0.002217 s
 173x173 :   25990.11 MFlops   0.002125 s
 174x174 :   26099.52 MFlops   0.002153 s
 175x175 :   25996.67 MFlops   0.002199 s
 176x176 :   26444.87 MFlops   0.002199 s
 177x177 :   25953.99 MFlops   0.002279 s
 178x178 :   26442.79 MFlops   0.002275 s
 179x179 :   26552.50 MFlops   0.002304 s
 180x180 :   26561.91 MFlops   0.002342 s
 181x181 :   26665.50 MFlops   0.002372 s
 182x182 :   26583.19 MFlops   0.002419 s
 183x183 :   26879.33 MFlops   0.002432 s
 184x184 :   26989.46 MFlops   0.002462 s
 185x185 :   26950.25 MFlops   0.002506 s
 186x186 :   27119.11 MFlops   0.002531 s
 187x187 :   27130.10 MFlops   0.002571 s
 188x188 :   27270.68 MFlops   0.002599 s
 189x189 :   27423.28 MFlops   0.002626 s
 190x190 :   27587.73 MFlops   0.002652 s
 191x191 :   27670.87 MFlops   0.002686 s
 192x192 :   28076.41 MFlops   0.002689 s
 193x193 :   27683.49 MFlops   0.002770 s
 194x194 :   27549.14 MFlops   0.002827 s
 195x195 :   27625.57 MFlops   0.002863 s
 196x196 :   27713.96 MFlops   0.002898 s
 197x197 :   27597.51 MFlops   0.002955 s
 198x198 :   27710.46 MFlops   0.002988 s
