From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        4.00 MFlops :       0.00 Sec : 64
      2 :       40.00 MFlops :       0.00 Sec : 128
      3 :      128.00 MFlops :       0.00 Sec : 192
      4 :      304.00 MFlops :       0.00 Sec : 256
      5 :      600.00 MFlops :       0.00 Sec : 320
      6 :     1048.00 MFlops :       0.00 Sec : 384
      7 :     1680.00 MFlops :       0.00 Sec : 448
      8 :     1264.00 MFlops :       0.00 Sec : 512
      9 :     1812.00 MFlops :       0.00 Sec : 576
     10 :     2500.00 MFlops :       0.00 Sec : 640
     11 :     2229.33 MFlops :       0.00 Sec : 704
     12 :     2906.67 MFlops :       0.00 Sec : 768
     13 :     3709.33 MFlops :       0.00 Sec : 832
     14 :     2788.80 MFlops :       0.00 Sec : 896
     15 :     3440.00 MFlops :       0.00 Sec : 960
     16 :     3488.00 MFlops :       0.00 Sec : 1024
     17 :     4193.33 MFlops :       0.00 Sec : 1088
     18 :     4275.43 MFlops :       0.00 Sec : 1152
     19 :     5037.71 MFlops :       0.00 Sec : 1216
     20 :     4577.78 MFlops :       0.00 Sec : 1280
     21 :     4776.80 MFlops :       0.00 Sec : 1344
     22 :     5000.00 MFlops :       0.00 Sec : 1408
     23 :     4840.62 MFlops :       0.00 Sec : 1472
     24 :     5113.14 MFlops :       0.00 Sec : 1536
     25 :     5400.00 MFlops :       0.00 Sec : 1600
     26 :     7016.00 MFlops :       0.00 Sec : 1664
     27 :     6014.12 MFlops :       0.00 Sec : 1728
     28 :     7608.53 MFlops :       0.00 Sec : 1792
     29 :     7464.94 MFlops :       0.00 Sec : 1856
     30 :     8270.59 MFlops :       0.00 Sec : 1920
     31 :     8624.89 MFlops :       0.00 Sec : 1984
     32 :     7767.27 MFlops :       0.00 Sec : 2048
     33 :     8524.00 MFlops :       0.00 Sec : 2112
     34 :     8551.00 MFlops :       0.00 Sec : 2176
     35 :     8960.00 MFlops :       0.00 Sec : 2240
     36 :     9032.89 MFlops :       0.00 Sec : 2304
     37 :     9135.17 MFlops :       0.00 Sec : 2368
     38 :     9262.19 MFlops :       0.00 Sec : 2432
     39 :     9704.50 MFlops :       0.00 Sec : 2496
