From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        2.67 MFlops :       0.00 Sec : 64
      2 :       40.00 MFlops :       0.00 Sec : 128
      3 :      128.00 MFlops :       0.00 Sec : 192
      4 :      152.00 MFlops :       0.00 Sec : 256
      5 :      600.00 MFlops :       0.00 Sec : 320
      6 :     1048.00 MFlops :       0.00 Sec : 384
      7 :     1680.00 MFlops :       0.00 Sec : 448
      8 :     2528.00 MFlops :       0.00 Sec : 512
      9 :     1812.00 MFlops :       0.00 Sec : 576
     10 :     2500.00 MFlops :       0.00 Sec : 640
     11 :     3344.00 MFlops :       0.00 Sec : 704
     12 :     2906.67 MFlops :       0.00 Sec : 768
     13 :     3709.33 MFlops :       0.00 Sec : 832
     14 :     4648.00 MFlops :       0.00 Sec : 896
     15 :     4300.00 MFlops :       0.00 Sec : 960
     16 :     5232.00 MFlops :       0.00 Sec : 1024
     17 :     5032.00 MFlops :       0.00 Sec : 1088
     18 :     5985.60 MFlops :       0.00 Sec : 1152
     19 :     5877.33 MFlops :       0.00 Sec : 1216
     20 :     6866.67 MFlops :       0.00 Sec : 1280
     21 :     7961.33 MFlops :       0.00 Sec : 1344
     22 :     9166.67 MFlops :       0.00 Sec : 1408
     23 :     8989.71 MFlops :       0.00 Sec : 1472
     24 :    10226.29 MFlops :       0.00 Sec : 1536
     25 :    10125.00 MFlops :       0.00 Sec : 1600
     26 :    10134.22 MFlops :       0.00 Sec : 1664
     27 :    10224.00 MFlops :       0.00 Sec : 1728
     28 :    11412.80 MFlops :       0.00 Sec : 1792
     29 :    11536.73 MFlops :       0.00 Sec : 1856
     30 :    12781.82 MFlops :       0.00 Sec : 1920
     31 :    11942.15 MFlops :       0.00 Sec : 1984
     32 :    12205.71 MFlops :       0.00 Sec : 2048
     33 :    12501.87 MFlops :       0.00 Sec : 2112
     34 :    12826.50 MFlops :       0.00 Sec : 2176
     35 :    13176.47 MFlops :       0.00 Sec : 2240
     36 :    13549.33 MFlops :       0.00 Sec : 2304
     37 :    13246.00 MFlops :       0.00 Sec : 2368
     38 :    14356.40 MFlops :       0.00 Sec : 2432
     39 :    14787.81 MFlops :       0.00 Sec : 2496
