From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.13 MFlops
      2 :       32.00 MFlops
      3 :       36.00 MFlops
      4 :      170.67 MFlops
      5 :       76.92 MFlops
      6 :      576.00 MFlops
      7 :      686.00 MFlops
      8 :     1365.33 MFlops
      9 :        3.22 MFlops
     10 :     1600.00 MFlops
     11 :     2662.00 MFlops
     12 :     3456.00 MFlops
     13 :     2197.00 MFlops
     14 :     5488.00 MFlops
     15 :     5400.00 MFlops
     16 :     4681.14 MFlops
     17 :     4913.00 MFlops
     18 :     6665.14 MFlops
     19 :     6096.89 MFlops
     20 :     8000.00 MFlops
     21 :     8232.00 MFlops
     22 :     9464.89 MFlops
     23 :    10815.11 MFlops
     24 :    12288.00 MFlops
     25 :    13888.89 MFlops
     26 :    14060.80 MFlops
     27 :    15746.40 MFlops
     28 :    15965.09 MFlops
     29 :    19511.20 MFlops
     30 :    19636.36 MFlops
     31 :    23832.80 MFlops
     32 :    29127.11 MFlops
     33 :    26136.00 MFlops
     34 :    26202.67 MFlops
     35 :    26384.62 MFlops
     36 :    28711.38 MFlops
     37 :    28944.57 MFlops
     38 :    29265.07 MFlops
     39 :    29659.50 MFlops
     40 :    32000.00 MFlops
     41 :    32433.41 MFlops
     42 :    34864.94 MFlops
     43 :    35336.44 MFlops
     44 :    37859.56 MFlops
     45 :    36450.00 MFlops
     46 :    38934.40 MFlops
     47 :    39551.62 MFlops
     48 :     9513.29 MFlops
     49 :    33614.00 MFlops
     50 :    35714.29 MFlops
     51 :    36593.38 MFlops
     52 :    38788.41 MFlops
     53 :    41069.52 MFlops
     54 :    44989.71 MFlops
     55 :    45896.55 MFlops
     56 :    48445.79 MFlops
     57 :    51087.72 MFlops
     58 :    55746.29 MFlops
     59 :    54767.73 MFlops
     60 :    57600.00 MFlops
     61 :    62615.45 MFlops
     62 :    65745.66 MFlops
     63 :    86972.87 MFlops
     64 :    95325.09 MFlops
     65 :    68656.25 MFlops
     66 :    74192.52 MFlops
     67 :    66836.22 MFlops
     68 :    78608.00 MFlops
     69 :    71028.97 MFlops
     70 :    72210.53 MFlops
     71 :    73417.64 MFlops
     72 :    80702.27 MFlops
     73 :    79798.36 MFlops
     74 :    81044.80 MFlops
     75 :    82317.07 MFlops
     76 :    83614.48 MFlops
     77 :    84936.37 MFlops
     78 :    61232.52 MFlops
     79 :    87651.38 MFlops
     80 :    89043.48 MFlops
     81 :    90458.04 MFlops
     82 :    72310.56 MFlops
     83 :    73778.97 MFlops
     84 :    75264.00 MFlops
     85 :    75584.62 MFlops
     86 :    78283.82 MFlops
     87 :    79818.55 MFlops
     88 :    80173.18 MFlops
     89 :    80567.89 MFlops
     90 :    83314.29 MFlops
     91 :    86122.40 MFlops
     92 :    87739.49 MFlops
     93 :    88148.71 MFlops
     94 :    92287.11 MFlops
     95 :    95263.89 MFlops
     96 :   119964.20 MFlops
     97 :    44793.77 MFlops
     98 :    94119.20 MFlops
     99 :    94663.32 MFlops
    100 :    96385.54 MFlops
    101 :    98123.90 MFlops
    102 :    99878.40 MFlops
    103 :   100480.64 MFlops
    104 :    98889.14 MFlops
    105 :    98521.28 MFlops
    106 :   100296.08 MFlops
    107 :   102086.92 MFlops
    108 :   101794.91 MFlops
    109 :   103602.32 MFlops
    110 :   103378.64 MFlops
    111 :    59462.22 MFlops
    112 :   104068.74 MFlops
    113 :    88115.85 MFlops
    114 :    89115.43 MFlops
    115 :    90798.51 MFlops
    116 :    84372.76 MFlops
    117 :    92179.17 MFlops
    118 :    95248.23 MFlops
    119 :    96294.80 MFlops
    120 :    99453.24 MFlops
    121 :   100514.10 MFlops
    122 :   104509.24 MFlops
    123 :   106335.26 MFlops
    124 :    50674.39 MFlops
    125 :    20917.00 MFlops
    126 :   115963.83 MFlops
    127 :   142496.21 MFlops
    128 :   149796.57 MFlops
    129 :    85867.56 MFlops
    130 :    66828.90 MFlops
    131 :   123183.07 MFlops
    132 :   123488.21 MFlops
    133 :   123823.00 MFlops
    134 :   124992.42 MFlops
    135 :   125369.43 MFlops
    136 :    37404.55 MFlops
    137 :   126980.40 MFlops
    138 :   126654.07 MFlops
    139 :   128652.41 MFlops
    140 :   123325.84 MFlops
    141 :   110471.76 MFlops
    142 :   129414.15 MFlops
    143 :   129246.72 MFlops
    144 :    19279.96 MFlops
    145 :    21393.86 MFlops
    146 :   133855.31 MFlops
    147 :   110970.24 MFlops
    148 :   113250.38 MFlops
    149 :   114067.21 MFlops
    150 :   114406.78 MFlops
    151 :   108014.15 MFlops
    152 :   117060.27 MFlops
    153 :   118890.52 MFlops
    154 :   121236.98 MFlops
    155 :   122094.26 MFlops
    156 :   124472.66 MFlops
    157 :   123836.58 MFlops
    158 :   140868.29 MFlops
    159 :   138609.62 MFlops
    160 :   151004.61 MFlops
    161 :   152448.62 MFlops
    162 :   151840.29 MFlops
    163 :   127844.93 MFlops
    164 :   127391.88 MFlops
    165 :   128346.43 MFlops
    166 :   127952.34 MFlops
    167 :    35999.71 MFlops
    168 :    82106.18 MFlops
    169 :   111602.52 MFlops
    170 :   125571.88 MFlops
    171 :   130298.66 MFlops
    172 :   114993.18 MFlops
    173 :   121116.19 MFlops
    174 :   130477.37 MFlops
    175 :   133152.17 MFlops
    176 :   133785.91 MFlops
    177 :   116435.34 MFlops
    178 :    30078.68 MFlops
    179 :   115865.43 MFlops
    180 :   119020.41 MFlops
    181 :   113487.87 MFlops
    182 :   122718.94 MFlops
    183 :   124121.26 MFlops
    184 :   106260.20 MFlops
    185 :   128888.04 MFlops
