From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.62 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :         inf MFlops
      7 :     2744.00 MFlops
      8 :     4096.00 MFlops
      9 :     5832.00 MFlops
     10 :     4000.00 MFlops
     11 :     2662.00 MFlops
     12 :    13824.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :     6750.00 MFlops
     16 :     4681.14 MFlops
     17 :    13101.33 MFlops
     18 :    15552.00 MFlops
     19 :    18290.67 MFlops
     20 :    21333.33 MFlops
     21 :    24696.00 MFlops
     22 :    28394.67 MFlops
     23 :    19467.20 MFlops
     24 :    36864.00 MFlops
     25 :    25000.00 MFlops
     26 :    28121.60 MFlops
     27 :    26244.00 MFlops
     28 :    43904.00 MFlops
     29 :    39022.40 MFlops
     30 :    43200.00 MFlops
     31 :    47665.60 MFlops
     32 :    52428.80 MFlops
     33 :    41070.86 MFlops
     34 :    44918.86 MFlops
     35 :    49000.00 MFlops
     36 :    46656.00 MFlops
     37 :    33768.67 MFlops
     38 :    54872.00 MFlops
     39 :    59319.00 MFlops
     40 :    73142.86 MFlops
     41 :    55136.80 MFlops
     42 :    65856.00 MFlops
     43 :    63605.60 MFlops
     44 :    68147.20 MFlops
     45 :    72900.00 MFlops
     46 :    48668.00 MFlops
     47 :    55372.27 MFlops
     48 :    88473.60 MFlops
     49 :    78432.67 MFlops
     50 :    62500.00 MFlops
     51 :    88434.00 MFlops
     52 :    93738.67 MFlops
     53 :    99251.33 MFlops
     54 :    96900.92 MFlops
     55 :   102384.62 MFlops
     56 :   117077.33 MFlops
     57 :   105824.57 MFlops
     58 :   104059.73 MFlops
     59 :   109535.47 MFlops
     60 :   123428.57 MFlops
     61 :    82538.55 MFlops
     62 :   119164.00 MFlops
     63 :   125023.50 MFlops
     64 :   139810.13 MFlops
     65 :   115631.58 MFlops
     66 :   121050.95 MFlops
     67 :   120305.20 MFlops
     68 :   132392.42 MFlops
     69 :   125146.29 MFlops
     70 :   137200.00 MFlops
     71 :    95442.93 MFlops
     72 :   149299.20 MFlops
     73 :   141460.73 MFlops
     74 :   135074.67 MFlops
     75 :   153409.09 MFlops
     76 :   159627.64 MFlops
     77 :   152177.67 MFlops
     78 :   151856.64 MFlops
     79 :   157772.48 MFlops
     80 :   195047.62 MFlops
     81 :   163520.31 MFlops
     82 :   169651.69 MFlops
     83 :   175934.46 MFlops
     84 :   175616.00 MFlops
     85 :   181962.96 MFlops
     86 :   181730.29 MFlops
     87 :   125429.14 MFlops
     88 :   201917.63 MFlops
     89 :   187991.73 MFlops
     90 :   182250.00 MFlops
     91 :   194469.94 MFlops
     92 :   200951.74 MFlops
     93 :   194995.64 MFlops
     94 :   201353.70 MFlops
     95 :   207848.48 MFlops
     96 :   244065.10 MFlops
     97 :   192141.68 MFlops
     98 :   198145.68 MFlops
     99 :   204273.47 MFlops
    100 :   190476.19 MFlops
    101 :   201034.34 MFlops
    102 :   207064.98 MFlops
    103 :   208138.48 MFlops
    104 :   230741.33 MFlops
    105 :   144703.12 MFlops
    106 :   221584.37 MFlops
    107 :   227914.98 MFlops
    108 :   234365.02 MFlops
    109 :   230227.38 MFlops
    110 :   226553.19 MFlops
    111 :   243134.40 MFlops
    112 :   280985.60 MFlops
    113 :   240482.83 MFlops
    114 :   237047.04 MFlops
    115 :   248306.12 MFlops
    116 :   260149.33 MFlops
    117 :   256258.08 MFlops
    118 :   268250.12 MFlops
    119 :   264338.67 MFlops
    120 :   276480.00 MFlops
    121 :   267405.43 MFlops
    122 :   274090.26 MFlops
    123 :   183789.33 MFlops
    124 :   287792.30 MFlops
    125 :   284090.91 MFlops
    126 :   290963.78 MFlops
    127 :   287492.35 MFlops
    128 :   279620.27 MFlops
    129 :   256321.07 MFlops
    130 :   258470.59 MFlops
    131 :   260648.23 MFlops
    132 :   270584.47 MFlops
    133 :   265085.86 MFlops
    134 :   271110.31 MFlops
    135 :   273375.00 MFlops
    136 :   287480.69 MFlops
    137 :   274277.65 MFlops
    138 :   284115.89 MFlops
    139 :   282696.74 MFlops
    140 :   292693.33 MFlops
    141 :   287509.85 MFlops
    142 :   297484.47 MFlops
    143 :   205207.51 MFlops
    144 :   341255.31 MFlops
    145 :   277147.73 MFlops
    146 :   286173.43 MFlops
    147 :   292094.07 MFlops
    148 :   316272.39 MFlops
    149 :   307716.19 MFlops
    150 :   317647.06 MFlops
    151 :   316593.20 MFlops
    152 :   334457.90 MFlops
    153 :   321939.51 MFlops
    154 :   328293.39 MFlops
    155 :   331011.11 MFlops
    156 :   337459.20 MFlops
    157 :   309591.44 MFlops
    158 :   306354.33 MFlops
    159 :   324822.55 MFlops
    160 :   385505.88 MFlops
    161 :   303511.35 MFlops
    162 :   309202.04 MFlops
    163 :   314963.42 MFlops
    164 :   323739.01 MFlops
    165 :   326700.00 MFlops
    166 :   329678.99 MFlops
    167 :   323997.43 MFlops
    168 :   194528.49 MFlops
    169 :   311407.03 MFlops
    170 :   319544.72 MFlops
    171 :   317473.71 MFlops
    172 :   328286.97 MFlops
    173 :   331373.89 MFlops
    174 :   339872.52 MFlops
    175 :   351434.43 MFlops
    176 :   392920.79 MFlops
    177 :   336074.73 MFlops
    178 :   358079.49 MFlops
    179 :   361281.20 MFlops
    180 :   376258.06 MFlops
    181 :   367735.88 MFlops
    182 :   376785.50 MFlops
    183 :   350199.26 MFlops
    184 :   317426.96 MFlops
