From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        4.00 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :      512.00 MFlops
      9x9 :      648.00 MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :     2048.00 MFlops
     17x17 :     2312.00 MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :     3200.00 MFlops
     21x21 :     3528.00 MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :     5000.00 MFlops
     26x26 :     5408.00 MFlops
     27x27 :     5832.00 MFlops
     28x28 :     6272.00 MFlops
     29x29 :     6728.00 MFlops
     30x30 :     7200.00 MFlops
     31x31 :     7688.00 MFlops
     32x32 :     8192.00 MFlops
     33x33 :     8712.00 MFlops
     34x34 :     9248.00 MFlops
     35x35 :     4900.00 MFlops
     36x36 :    10368.00 MFlops
     37x37 :    10952.00 MFlops
     38x38 :    11552.00 MFlops
     39x39 :     6084.00 MFlops
     40x40 :     6400.00 MFlops
     41x41 :     6724.00 MFlops
     42x42 :    14112.00 MFlops
     43x43 :     7396.00 MFlops
     44x44 :    15488.00 MFlops
     45x45 :     8100.00 MFlops
     46x46 :     8464.00 MFlops
     47x47 :     8836.00 MFlops
     48x48 :     9216.00 MFlops
     49x49 :     9604.00 MFlops
     50x50 :    10000.00 MFlops
     51x51 :    10404.00 MFlops
     52x52 :    10816.00 MFlops
     53x53 :    11236.00 MFlops
     54x54 :    11664.00 MFlops
     55x55 :    12100.00 MFlops
     56x56 :     8362.67 MFlops
     57x57 :    12996.00 MFlops
     58x58 :     8970.67 MFlops
     59x59 :    13924.00 MFlops
     60x60 :     9600.00 MFlops
     61x61 :     9922.67 MFlops
     62x62 :    10250.67 MFlops
     63x63 :    10584.00 MFlops
     64x64 :    10922.67 MFlops
     65x65 :    11266.67 MFlops
     66x66 :    11616.00 MFlops
     67x67 :    11970.67 MFlops
     68x68 :    12330.67 MFlops
     69x69 :    12696.00 MFlops
     70x70 :    13066.67 MFlops
     71x71 :    13442.67 MFlops
     72x72 :    13824.00 MFlops
     73x73 :    10658.00 MFlops
     74x74 :    14602.67 MFlops
     75x75 :    11250.00 MFlops
     76x76 :    11552.00 MFlops
     77x77 :    15810.67 MFlops
     78x78 :    12168.00 MFlops
     79x79 :    12482.00 MFlops
     80x80 :    12800.00 MFlops
     81x81 :    13122.00 MFlops
     82x82 :    13448.00 MFlops
     83x83 :    13778.00 MFlops
     84x84 :    14112.00 MFlops
     85x85 :    14450.00 MFlops
     86x86 :    11833.60 MFlops
     87x87 :    12110.40 MFlops
     88x88 :    12390.40 MFlops
     89x89 :    12673.60 MFlops
     90x90 :    12960.00 MFlops
     91x91 :    13249.60 MFlops
     92x92 :    13542.40 MFlops
     93x93 :    13838.40 MFlops
     94x94 :    14137.60 MFlops
     95x95 :    14440.00 MFlops
     96x96 :    12288.00 MFlops
     97x97 :    12545.33 MFlops
     98x98 :    15366.40 MFlops
     99x99 :    13068.00 MFlops
    100x100 :    13333.33 MFlops
    101x101 :    13601.33 MFlops
    102x102 :    13872.00 MFlops
    103x103 :    14145.33 MFlops
    104x104 :    14421.33 MFlops
    105x105 :    14700.00 MFlops
    106x106 :    12841.14 MFlops
    107x107 :    13084.57 MFlops
    108x108 :    15552.00 MFlops
    109x109 :    13578.29 MFlops
    110x110 :    16133.33 MFlops
    111x111 :    14081.14 MFlops
    112x112 :    14336.00 MFlops
    113x113 :    14593.14 MFlops
    114x114 :    12996.00 MFlops
    115x115 :    15114.29 MFlops
    116x116 :    15378.29 MFlops
    117x117 :    13689.00 MFlops
    118x118 :    13924.00 MFlops
    119x119 :    14161.00 MFlops
    120x120 :    14400.00 MFlops
    121x121 :    14641.00 MFlops
    122x122 :    14884.00 MFlops
    123x123 :    15129.00 MFlops
    124x124 :    15376.00 MFlops
    125x125 :    15625.00 MFlops
    126x126 :    15876.00 MFlops
    127x127 :    14336.89 MFlops
    128x128 :    14563.56 MFlops
    129x129 :    14792.00 MFlops
    130x130 :    13520.00 MFlops
    131x131 :    15254.22 MFlops
    132x132 :    15488.00 MFlops
    133x133 :    14151.20 MFlops
    134x134 :    15960.89 MFlops
    135x135 :    14580.00 MFlops
    136x136 :    14796.80 MFlops
    137x137 :    15015.20 MFlops
    138x138 :    13850.18 MFlops
    139x139 :    14051.64 MFlops
    140x140 :    15680.00 MFlops
    141x141 :    15904.80 MFlops
    142x142 :    14664.73 MFlops
    143x143 :    14872.00 MFlops
    144x144 :    15080.73 MFlops
    145x145 :    15290.91 MFlops
    146x146 :    15502.55 MFlops
    147x147 :    15715.64 MFlops
    148x148 :    15930.18 MFlops
    149x149 :    16146.18 MFlops
    150x150 :    15000.00 MFlops
    151x151 :    14031.38 MFlops
    152x152 :    15402.67 MFlops
    153x153 :    15606.00 MFlops
    154x154 :    14594.46 MFlops
    155x155 :    14784.62 MFlops
    156x156 :    14976.00 MFlops
    157x157 :    15168.62 MFlops
    158x158 :    15362.46 MFlops
    159x159 :    15557.54 MFlops
    160x160 :    15753.85 MFlops
    161x161 :    15951.38 MFlops
    162x162 :    16150.15 MFlops
    163x163 :    15182.29 MFlops
    164x164 :    15369.14 MFlops
    165x165 :    15557.14 MFlops
    166x166 :    15746.29 MFlops
    167x167 :    14874.13 MFlops
    168x168 :    16128.00 MFlops
    169x169 :    15232.53 MFlops
    170x170 :    15413.33 MFlops
    171x171 :    14620.50 MFlops
    172x172 :    15778.13 MFlops
    173x173 :    15962.13 MFlops
    174x174 :    16147.20 MFlops
    175x175 :    15312.50 MFlops
    176x176 :    16520.53 MFlops
    177x177 :    15664.50 MFlops
    178x178 :    15842.00 MFlops
    179x179 :    15078.12 MFlops
    180x180 :    16200.00 MFlops
    181x181 :    15416.94 MFlops
    182x182 :    15587.76 MFlops
    183x183 :    15759.53 MFlops
    184x184 :    15932.24 MFlops
    185x185 :    15211.11 MFlops
    186x186 :     6589.71 MFlops
    187x187 :     7173.13 MFlops
    188x188 :     7440.84 MFlops
    189x189 :     7327.38 MFlops
    190x190 :     7220.00 MFlops
    191x191 :     7118.24 MFlops
    192x192 :     7760.84 MFlops
    193x193 :     7268.10 MFlops
    194x194 :     5474.33 MFlops
    195x195 :     7242.86 MFlops
    196x196 :     7495.80 MFlops
    197x197 :     7392.19 MFlops
    198x198 :     7467.43 MFlops
    199x199 :     7200.18 MFlops
    200x200 :    16000.00 MFlops
