From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        2.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :      576.00 MFlops
     13 :      676.00 MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :     1156.00 MFlops
     18 :     1296.00 MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :     2500.00 MFlops
     26 :         inf MFlops
     27 :     2916.00 MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :     3844.00 MFlops
     32 :         inf MFlops
     33 :         inf MFlops
     34 :         inf MFlops
     35 :         inf MFlops
     36 :         inf MFlops
     37 :     5476.00 MFlops
     38 :         inf MFlops
     39 :     6084.00 MFlops
     40 :         inf MFlops
     41 :     6724.00 MFlops
     42 :         inf MFlops
     43 :     7396.00 MFlops
     44 :         inf MFlops
     45 :     8100.00 MFlops
     46 :         inf MFlops
     47 :         inf MFlops
     48 :         inf MFlops
     49 :      320.13 MFlops
     50 :    10000.00 MFlops
     51 :    10404.00 MFlops
     52 :    10816.00 MFlops
     53 :    11236.00 MFlops
     54 :    11664.00 MFlops
     55 :     6050.00 MFlops
     56 :    12544.00 MFlops
     57 :    12996.00 MFlops
     58 :    13456.00 MFlops
     59 :    13924.00 MFlops
     60 :    14400.00 MFlops
     61 :    14884.00 MFlops
     62 :     7688.00 MFlops
     63 :     7938.00 MFlops
     64 :    16384.00 MFlops
     65 :     8450.00 MFlops
     66 :     8712.00 MFlops
     67 :    17956.00 MFlops
     68 :     9248.00 MFlops
     69 :     9522.00 MFlops
     70 :     9800.00 MFlops
     71 :     6721.33 MFlops
     72 :    10368.00 MFlops
     73 :     7105.33 MFlops
     74 :    10952.00 MFlops
     75 :    11250.00 MFlops
     76 :    11552.00 MFlops
     77 :    11858.00 MFlops
     78 :     8112.00 MFlops
     79 :     8321.33 MFlops
     80 :     8533.33 MFlops
     81 :    13122.00 MFlops
     82 :     2068.92 MFlops
     83 :     9185.33 MFlops
     84 :     9408.00 MFlops
     85 :     9633.33 MFlops
     86 :    14792.00 MFlops
     87 :    10092.00 MFlops
     88 :    10325.33 MFlops
     89 :    10561.33 MFlops
     90 :    10800.00 MFlops
     91 :    11041.33 MFlops
     92 :    11285.33 MFlops
     93 :    11532.00 MFlops
     94 :    11781.33 MFlops
     95 :    12033.33 MFlops
     96 :    12288.00 MFlops
     97 :    12545.33 MFlops
     98 :    12805.33 MFlops
     99 :    13068.00 MFlops
    100 :    13333.33 MFlops
    101 :    10201.00 MFlops
    102 :    10404.00 MFlops
    103 :    14145.33 MFlops
    104 :    10816.00 MFlops
    105 :    11025.00 MFlops
    106 :    14981.33 MFlops
    107 :    15265.33 MFlops
    108 :    15552.00 MFlops
    109 :    15841.33 MFlops
    110 :    24200.00 MFlops
    111 :    16428.00 MFlops
    112 :    16725.33 MFlops
    113 :    17025.33 MFlops
    114 :    17328.00 MFlops
    115 :    17633.33 MFlops
    116 :    17941.33 MFlops
    117 :    18252.00 MFlops
    118 :    18565.33 MFlops
    119 :    14161.00 MFlops
    120 :    14400.00 MFlops
    121 :    14641.00 MFlops
    122 :    19845.33 MFlops
    123 :    15129.00 MFlops
    124 :    15376.00 MFlops
    125 :    12500.00 MFlops
    126 :    12700.80 MFlops
    127 :    12903.20 MFlops
    128 :    13107.20 MFlops
    129 :    13312.80 MFlops
    130 :     9657.14 MFlops
    131 :    11440.67 MFlops
    132 :    11616.00 MFlops
    133 :    14151.20 MFlops
    134 :    14364.80 MFlops
    135 :    14580.00 MFlops
    136 :    14796.80 MFlops
    137 :    12512.67 MFlops
    138 :    15235.20 MFlops
    139 :    15456.80 MFlops
    140 :    15680.00 MFlops
    141 :    15904.80 MFlops
    142 :    20164.00 MFlops
    143 :    16359.20 MFlops
    144 :    16588.80 MFlops
    145 :    21025.00 MFlops
    146 :    21316.00 MFlops
    147 :    17287.20 MFlops
    148 :    17523.20 MFlops
    149 :    22201.00 MFlops
    150 :    18000.00 MFlops
    151 :    18240.80 MFlops
    152 :    18483.20 MFlops
    153 :     5852.25 MFlops
    154 :    23716.00 MFlops
    155 :    19220.00 MFlops
    156 :    19468.80 MFlops
    157 :    19719.20 MFlops
    158 :    19971.20 MFlops
    159 :    20224.80 MFlops
    160 :    20480.00 MFlops
    161 :    20736.80 MFlops
