From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        4.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :         inf MFlops
     33 :      484.00 MFlops
     34 :     4624.00 MFlops
     35 :     4900.00 MFlops
     36 :         inf MFlops
     37 :         inf MFlops
     38 :     5776.00 MFlops
     39 :     6084.00 MFlops
     40 :     6400.00 MFlops
     41 :         inf MFlops
     42 :         inf MFlops
     43 :         inf MFlops
     44 :     7744.00 MFlops
     45 :     8100.00 MFlops
     46 :     8464.00 MFlops
     47 :     8836.00 MFlops
     48 :     9216.00 MFlops
     49 :     9604.00 MFlops
     50 :         inf MFlops
     51 :         inf MFlops
     52 :    10816.00 MFlops
     53 :    11236.00 MFlops
     54 :    11664.00 MFlops
     55 :    12100.00 MFlops
     56 :         inf MFlops
     57 :    12996.00 MFlops
     58 :         inf MFlops
     59 :    13924.00 MFlops
     60 :    14400.00 MFlops
     61 :    14884.00 MFlops
     62 :    15376.00 MFlops
     63 :    15876.00 MFlops
     64 :         inf MFlops
     65 :    16900.00 MFlops
     66 :    17424.00 MFlops
     67 :    17956.00 MFlops
     68 :    18496.00 MFlops
     69 :     9522.00 MFlops
     70 :    19600.00 MFlops
     71 :    10082.00 MFlops
     72 :    20736.00 MFlops
     73 :    21316.00 MFlops
     74 :    21904.00 MFlops
     75 :    22500.00 MFlops
     76 :    23104.00 MFlops
     77 :    23716.00 MFlops
     78 :    12168.00 MFlops
     79 :    12482.00 MFlops
     80 :    12800.00 MFlops
     81 :    26244.00 MFlops
