From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        8.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :     1352.00 MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :     2592.00 MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :     5832.00 MFlops
     28 :         inf MFlops
     29 :     6728.00 MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :     8192.00 MFlops
     33 :     8712.00 MFlops
     34 :     9248.00 MFlops
     35 :     9800.00 MFlops
     36 :    10368.00 MFlops
     37 :    10952.00 MFlops
     38 :    11552.00 MFlops
     39 :    12168.00 MFlops
     40 :    12800.00 MFlops
     41 :         inf MFlops
     42 :    14112.00 MFlops
     43 :    14792.00 MFlops
     44 :         inf MFlops
     45 :    16200.00 MFlops
     46 :         inf MFlops
     47 :    17672.00 MFlops
     48 :    18432.00 MFlops
     49 :         inf MFlops
     50 :         inf MFlops
     51 :    20808.00 MFlops
     52 :    21632.00 MFlops
     53 :    22472.00 MFlops
     54 :    23328.00 MFlops
     55 :    24200.00 MFlops
     56 :    25088.00 MFlops
     57 :    25992.00 MFlops
     58 :    26912.00 MFlops
     59 :    27848.00 MFlops
     60 :    28800.00 MFlops
     61 :    29768.00 MFlops
     62 :    30752.00 MFlops
     63 :    31752.00 MFlops
     64 :    16384.00 MFlops
     65 :    33800.00 MFlops
     66 :    34848.00 MFlops
     67 :    35912.00 MFlops
     68 :    36992.00 MFlops
     69 :    38088.00 MFlops
     70 :    39200.00 MFlops
     71 :    20164.00 MFlops
     72 :    20736.00 MFlops
     73 :    42632.00 MFlops
     74 :    21904.00 MFlops
     75 :    45000.00 MFlops
     76 :    23104.00 MFlops
     77 :    23716.00 MFlops
     78 :    24336.00 MFlops
     79 :    49928.00 MFlops
     80 :    51200.00 MFlops
     81 :    26244.00 MFlops
     82 :    26896.00 MFlops
     83 :    18370.67 MFlops
     84 :    18816.00 MFlops
     85 :    19266.67 MFlops
     86 :    19722.67 MFlops
     87 :    20184.00 MFlops
     88 :    15488.00 MFlops
     89 :    21122.67 MFlops
     90 :    16200.00 MFlops
     91 :    16562.00 MFlops
     92 :    16928.00 MFlops
     93 :    13838.40 MFlops
     94 :    14137.60 MFlops
     95 :    14440.00 MFlops
     96 :    14745.60 MFlops
     97 :    15054.40 MFlops
     98 :    15366.40 MFlops
     99 :    13068.00 MFlops
    100 :    13333.33 MFlops
    101 :    13601.33 MFlops
    102 :    13872.00 MFlops
    103 :    12124.57 MFlops
    104 :    17305.60 MFlops
    105 :    14700.00 MFlops
    106 :    14981.33 MFlops
    107 :    15265.33 MFlops
    108 :    15552.00 MFlops
    109 :    15841.33 MFlops
    110 :    16133.33 MFlops
    111 :    14081.14 MFlops
    112 :    14336.00 MFlops
    113 :    14593.14 MFlops
    114 :    14852.57 MFlops
    115 :    15114.29 MFlops
    116 :    15378.29 MFlops
    117 :    13689.00 MFlops
    118 :    13924.00 MFlops
    119 :    14161.00 MFlops
    120 :    16457.14 MFlops
    121 :    14641.00 MFlops
    122 :    14884.00 MFlops
    123 :    13448.00 MFlops
    124 :    20501.33 MFlops
    125 :    20833.33 MFlops
    126 :    21168.00 MFlops
    127 :    16129.00 MFlops
    128 :    18724.57 MFlops
    129 :    14792.00 MFlops
    130 :    19314.29 MFlops
    131 :    22881.33 MFlops
    132 :    27878.40 MFlops
    133 :    23585.33 MFlops
    134 :    23941.33 MFlops
    135 :    24300.00 MFlops
    136 :    29593.60 MFlops
    137 :     8341.78 MFlops
    138 :    25392.00 MFlops
    139 :    30913.60 MFlops
    140 :    26133.33 MFlops
    141 :    26508.00 MFlops
    142 :    26885.33 MFlops
    143 :    27265.33 MFlops
    144 :    27648.00 MFlops
    145 :    28033.33 MFlops
    146 :    28421.33 MFlops
    147 :    28812.00 MFlops
    148 :    29205.33 MFlops
    149 :    29601.33 MFlops
    150 :    36000.00 MFlops
    151 :    30401.33 MFlops
    152 :    30805.33 MFlops
    153 :    31212.00 MFlops
    154 :    31621.33 MFlops
    155 :    32033.33 MFlops
    156 :     7787.52 MFlops
    157 :    28170.29 MFlops
    158 :    33285.33 MFlops
    159 :    28892.57 MFlops
    160 :    18618.18 MFlops
    161 :    18851.64 MFlops
    162 :    19086.55 MFlops
    163 :    17712.67 MFlops
    164 :    19560.73 MFlops
    165 :    19800.00 MFlops
    166 :    20040.73 MFlops
    167 :    20282.91 MFlops
    168 :    20526.55 MFlops
    169 :    19040.67 MFlops
    170 :    21018.18 MFlops
    171 :    38988.00 MFlops
