From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        8.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :     2048.00 MFlops
     17 :     2312.00 MFlops
     18 :         inf MFlops
     19 :     2888.00 MFlops
     20 :         inf MFlops
     21 :     3528.00 MFlops
     22 :         inf MFlops
     23 :     4232.00 MFlops
     24 :         inf MFlops
     25 :     5000.00 MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :     6272.00 MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :         inf MFlops
     33 :         inf MFlops
     34 :         inf MFlops
     35 :         inf MFlops
     36 :    10368.00 MFlops
     37 :         inf MFlops
     38 :         inf MFlops
     39 :    12168.00 MFlops
     40 :    12800.00 MFlops
     41 :         inf MFlops
     42 :         inf MFlops
     43 :    14792.00 MFlops
     44 :    15488.00 MFlops
     45 :         inf MFlops
     46 :         inf MFlops
     47 :    17672.00 MFlops
     48 :    18432.00 MFlops
     49 :         inf MFlops
     50 :    20000.00 MFlops
     51 :         inf MFlops
     52 :         inf MFlops
     53 :         inf MFlops
     54 :    23328.00 MFlops
     55 :    24200.00 MFlops
     56 :    25088.00 MFlops
     57 :    25992.00 MFlops
     58 :    26912.00 MFlops
     59 :         inf MFlops
     60 :    28800.00 MFlops
     61 :    29768.00 MFlops
     62 :    30752.00 MFlops
     63 :    31752.00 MFlops
     64 :    32768.00 MFlops
     65 :    33800.00 MFlops
     66 :    34848.00 MFlops
     67 :    35912.00 MFlops
     68 :    36992.00 MFlops
     69 :    19044.00 MFlops
     70 :    39200.00 MFlops
     71 :    20164.00 MFlops
     72 :    41472.00 MFlops
     73 :    42632.00 MFlops
     74 :    43808.00 MFlops
     75 :    45000.00 MFlops
     76 :    23104.00 MFlops
     77 :    23716.00 MFlops
     78 :    48672.00 MFlops
     79 :    49928.00 MFlops
     80 :    25600.00 MFlops
     81 :    26244.00 MFlops
     82 :    26896.00 MFlops
     83 :    27556.00 MFlops
     84 :    56448.00 MFlops
     85 :    57800.00 MFlops
     86 :    29584.00 MFlops
     87 :    30276.00 MFlops
     88 :    30976.00 MFlops
     89 :    31684.00 MFlops
     90 :    32400.00 MFlops
     91 :    33124.00 MFlops
     92 :    33856.00 MFlops
     93 :    34596.00 MFlops
     94 :    35344.00 MFlops
     95 :    24066.67 MFlops
     96 :    36864.00 MFlops
     97 :    37636.00 MFlops
     98 :    38416.00 MFlops
     99 :    39204.00 MFlops
    100 :    40000.00 MFlops
    101 :    40804.00 MFlops
    102 :    41616.00 MFlops
    103 :    28290.67 MFlops
    104 :    28842.67 MFlops
    105 :    44100.00 MFlops
    106 :    44944.00 MFlops
    107 :    45796.00 MFlops
    108 :    31104.00 MFlops
    109 :    47524.00 MFlops
    110 :    48400.00 MFlops
    111 :    49284.00 MFlops
    112 :    50176.00 MFlops
    113 :    51076.00 MFlops
    114 :    34656.00 MFlops
    115 :    35266.67 MFlops
    116 :    35882.67 MFlops
    117 :    36504.00 MFlops
    118 :    27848.00 MFlops
    119 :    37762.67 MFlops
    120 :    38400.00 MFlops
    121 :    39042.67 MFlops
    122 :    39690.67 MFlops
    123 :    30258.00 MFlops
    124 :    41002.67 MFlops
    125 :    41666.67 MFlops
    126 :    31752.00 MFlops
    127 :    32258.00 MFlops
    128 :    32768.00 MFlops
    129 :    33282.00 MFlops
    130 :    33800.00 MFlops
    131 :    34322.00 MFlops
    132 :    34848.00 MFlops
    133 :    35378.00 MFlops
    134 :    35912.00 MFlops
    135 :    36450.00 MFlops
    136 :    29593.60 MFlops
    137 :    37538.00 MFlops
    138 :    38088.00 MFlops
    139 :    38642.00 MFlops
    140 :    31360.00 MFlops
    141 :    39762.00 MFlops
    142 :    32262.40 MFlops
    143 :    32718.40 MFlops
    144 :    33177.60 MFlops
    145 :    33640.00 MFlops
    146 :    34105.60 MFlops
    147 :    34574.40 MFlops
    148 :    29205.33 MFlops
    149 :    35521.60 MFlops
    150 :    36000.00 MFlops
    151 :    30401.33 MFlops
    152 :    36966.40 MFlops
    153 :    31212.00 MFlops
    154 :    31621.33 MFlops
    155 :    32033.33 MFlops
    156 :    38937.60 MFlops
    157 :    32865.33 MFlops
    158 :    33285.33 MFlops
    159 :    33708.00 MFlops
    160 :    34133.33 MFlops
    161 :    34561.33 MFlops
    162 :    34992.00 MFlops
    163 :    35425.33 MFlops
    164 :    35861.33 MFlops
    165 :    36300.00 MFlops
    166 :    31492.57 MFlops
    167 :    37185.33 MFlops
    168 :    37632.00 MFlops
    169 :    32641.14 MFlops
    170 :    33028.57 MFlops
    171 :    33418.29 MFlops
    172 :    33810.29 MFlops
    173 :    39905.33 MFlops
