From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        1.33 MFlops
      2 :       64.00 MFlops
      3 :         inf MFlops
      4 :      512.00 MFlops
      5 :     1000.00 MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :     4096.00 MFlops
      9 :     1458.00 MFlops
     10 :     8000.00 MFlops
     11 :         inf MFlops
     12 :    13824.00 MFlops
     13 :    17576.00 MFlops
     14 :         inf MFlops
     15 :    27000.00 MFlops
     16 :    32768.00 MFlops
     17 :     9826.00 MFlops
     18 :    46656.00 MFlops
     19 :    54872.00 MFlops
     20 :    64000.00 MFlops
     21 :    74088.00 MFlops
     22 :    42592.00 MFlops
     23 :    48668.00 MFlops
     24 :   110592.00 MFlops
     25 :    25000.00 MFlops
     26 :   140608.00 MFlops
     27 :   157464.00 MFlops
     28 :    87808.00 MFlops
     29 :    97556.00 MFlops
     30 :   108000.00 MFlops
     31 :    79442.67 MFlops
     32 :    87381.33 MFlops
     33 :    95832.00 MFlops
     34 :   104810.67 MFlops
     35 :   114333.33 MFlops
     36 :   124416.00 MFlops
     37 :   135074.67 MFlops
     38 :   146325.33 MFlops
     39 :   118638.00 MFlops
     40 :   128000.00 MFlops
     41 :    34460.50 MFlops
     42 :    74088.00 MFlops
     43 :    63605.60 MFlops
     44 :    56789.33 MFlops
     45 :    56076.92 MFlops
     46 :    45805.18 MFlops
     47 :    46143.56 MFlops
     48 :    49152.00 MFlops
     49 :   117649.00 MFlops
     50 :   111111.11 MFlops
     51 :    88434.00 MFlops
     52 :    86528.00 MFlops
     53 :    74438.50 MFlops
     54 :    62985.60 MFlops
     55 :    57869.57 MFlops
     56 :    58538.67 MFlops
     57 :    18994.15 MFlops
     58 :    67865.04 MFlops
     59 :    68459.67 MFlops
     60 :    72000.00 MFlops
     61 :    75660.33 MFlops
     62 :    76264.96 MFlops
     63 :    68978.48 MFlops
     64 :    74898.29 MFlops
     65 :    68656.25 MFlops
     66 :    76665.60 MFlops
     67 :    80203.47 MFlops
     68 :    81143.74 MFlops
     69 :    84776.52 MFlops
     70 :    85750.00 MFlops
     71 :    79535.78 MFlops
     72 :    80702.27 MFlops
     73 :    84111.78 MFlops
     74 :    87616.00 MFlops
     75 :    88815.79 MFlops
     76 :    90046.36 MFlops
     77 :    93647.79 MFlops
     78 :    97344.00 MFlops
     79 :    83921.53 MFlops
     80 :    91022.22 MFlops
     81 :    94478.40 MFlops
     82 :    95890.09 MFlops
     83 :    99441.22 MFlops
     84 :   100885.79 MFlops
     85 :   102354.17 MFlops
     86 :   106009.33 MFlops
     87 :    97556.00 MFlops
     88 :    97353.14 MFlops
     89 :    67139.90 MFlops
     90 :    83314.29 MFlops
     91 :    91341.94 MFlops
     92 :    94386.42 MFlops
     93 :    91926.51 MFlops
     94 :    82032.99 MFlops
     95 :    86822.78 MFlops
     96 :    91920.62 MFlops
     97 :    91267.30 MFlops
     98 :    92957.23 MFlops
     99 :    53905.50 MFlops
    100 :    96385.54 MFlops
    101 :    98123.90 MFlops
    102 :    98717.02 MFlops
    103 :   102844.89 MFlops
    104 :   108420.63 MFlops
    105 :    84190.91 MFlops
    106 :    85072.57 MFlops
    107 :    87503.07 MFlops
    108 :    89183.15 MFlops
    109 :    90879.23 MFlops
    110 :    93403.51 MFlops
    111 :    93513.23 MFlops
    112 :    96891.59 MFlops
    113 :    97823.53 MFlops
    114 :    97953.32 MFlops
    115 :    90798.51 MFlops
    116 :    94599.76 MFlops
    117 :    96337.62 MFlops
    118 :    97364.86 MFlops
    119 :    99861.27 MFlops
    120 :    92778.52 MFlops
    121 :    88578.05 MFlops
    122 :   120056.07 MFlops
    123 :   129451.62 MFlops
    124 :   108177.25 MFlops
    125 :   113224.64 MFlops
    126 :   115129.55 MFlops
    127 :   117050.46 MFlops
    128 :    46091.25 MFlops
    129 :   112983.63 MFlops
    130 :   122055.56 MFlops
    131 :   122345.09 MFlops
    132 :    96333.74 MFlops
    133 :    99058.40 MFlops
    134 :    98208.33 MFlops
    135 :    90705.07 MFlops
    136 :    91057.23 MFlops
    137 :    93930.70 MFlops
    138 :    83101.09 MFlops
    139 :   101824.42 MFlops
    140 :   102579.44 MFlops
    141 :   104793.31 MFlops
    142 :   105559.00 MFlops
    143 :    26735.61 MFlops
    144 :   101219.80 MFlops
    145 :   100780.99 MFlops
    146 :   102457.15 MFlops
    147 :   103723.20 MFlops
    148 :   106288.26 MFlops
    149 :   106279.49 MFlops
    150 :   105468.75 MFlops
    151 :   118722.45 MFlops
    152 :   120061.81 MFlops
    153 :   123502.66 MFlops
    154 :   124863.73 MFlops
