From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        1.00 MFlops
      2 :         inf MFlops
      3 :      108.00 MFlops
      4 :      102.40 MFlops
      5 :      500.00 MFlops
      6 :         inf MFlops
      7 :     2744.00 MFlops
      8 :     4096.00 MFlops
      9 :     5832.00 MFlops
     10 :     8000.00 MFlops
     11 :     3549.33 MFlops
     12 :    13824.00 MFlops
     13 :     8788.00 MFlops
     14 :     7317.33 MFlops
     15 :     6750.00 MFlops
     16 :     4681.14 MFlops
     17 :    13101.33 MFlops
     18 :    23328.00 MFlops
     19 :    18290.67 MFlops
     20 :    32000.00 MFlops
     21 :    24696.00 MFlops
     22 :    28394.67 MFlops
     23 :    19467.20 MFlops
     24 :    36864.00 MFlops
     25 :    31250.00 MFlops
     26 :    28121.60 MFlops
     27 :    26244.00 MFlops
     28 :    58538.67 MFlops
     29 :    48778.00 MFlops
     30 :    54000.00 MFlops
     31 :    59582.00 MFlops
     32 :    65536.00 MFlops
     33 :    47916.00 MFlops
     34 :    62886.40 MFlops
     35 :    68600.00 MFlops
     36 :    74649.60 MFlops
     37 :    57889.14 MFlops
     38 :    87795.20 MFlops
     39 :    79092.00 MFlops
     40 :    85333.33 MFlops
     41 :    78766.86 MFlops
     42 :    98784.00 MFlops
     43 :    90865.14 MFlops
     44 :    97353.14 MFlops
     45 :   104142.86 MFlops
     46 :    59899.08 MFlops
     47 :    69215.33 MFlops
     48 :    98304.00 MFlops
     49 :   104576.89 MFlops
     50 :    90909.09 MFlops
     51 :   106120.80 MFlops
     52 :   124984.89 MFlops
     53 :   119101.60 MFlops
     54 :   125971.20 MFlops
     55 :   110916.67 MFlops
     56 :   127720.73 MFlops
     57 :   134685.82 MFlops
     58 :   130074.67 MFlops
     59 :   136919.33 MFlops
     60 :   132923.08 MFlops
     61 :    86468.95 MFlops
     62 :   146663.38 MFlops
     63 :   153875.08 MFlops
     64 :   161319.38 MFlops
     65 :   137312.50 MFlops
     66 :   135292.24 MFlops
     67 :   141535.53 MFlops
     68 :   157216.00 MFlops
     69 :   146004.00 MFlops
     70 :   152444.44 MFlops
     71 :   102260.29 MFlops
     72 :   175646.12 MFlops
     73 :   163796.63 MFlops
     74 :   147354.18 MFlops
     75 :   168750.00 MFlops
     76 :   175590.40 MFlops
     77 :   173917.33 MFlops
     78 :   172564.36 MFlops
     79 :   179286.91 MFlops
     80 :   204800.00 MFlops
     81 :   177147.00 MFlops
     82 :   183789.33 MFlops
     83 :   182971.84 MFlops
     84 :   206157.91 MFlops
     85 :   204708.33 MFlops
     86 :   195709.54 MFlops
     87 :   128488.39 MFlops
     88 :   218071.04 MFlops
     89 :   208879.70 MFlops
     90 :   194400.00 MFlops
     91 :   207881.66 MFlops
     92 :   214810.48 MFlops
     93 :   214495.20 MFlops
     94 :   214344.26 MFlops
     95 :   228633.33 MFlops
     96 :   283115.52 MFlops
     97 :   214746.59 MFlops
     98 :   221456.94 MFlops
     99 :   221782.63 MFlops
    100 :   242424.24 MFlops
    101 :   228955.78 MFlops
    102 :   229450.38 MFlops
    103 :   236265.30 MFlops
    104 :   272694.30 MFlops
    105 :   154350.00 MFlops
    106 :   257516.97 MFlops
    107 :   251290.87 MFlops
    108 :   272370.16 MFlops
    109 :   265646.97 MFlops
    110 :   253523.81 MFlops
    111 :   273526.20 MFlops
    112 :   321126.40 MFlops
    113 :   262344.91 MFlops
    114 :   263385.60 MFlops
    115 :   270377.78 MFlops
    116 :   283799.27 MFlops
    117 :   284731.20 MFlops
    118 :   292094.58 MFlops
    119 :   293071.13 MFlops
    120 :   307200.00 MFlops
    121 :   295260.17 MFlops
    122 :   302641.33 MFlops
    123 :   181548.00 MFlops
    124 :   311285.55 MFlops
    125 :   306372.55 MFlops
    126 :   307750.15 MFlops
    127 :   315135.85 MFlops
    128 :   349525.33 MFlops
    129 :   281532.98 MFlops
    130 :   288131.15 MFlops
    131 :   285471.87 MFlops
    132 :   306662.40 MFlops
    133 :   289555.32 MFlops
    134 :   300763.00 MFlops
    135 :   298227.27 MFlops
    136 :   341078.78 MFlops
    137 :   302512.12 MFlops
    138 :   313799.64 MFlops
    139 :   311376.12 MFlops
    140 :   327641.79 MFlops
    141 :   315855.89 MFlops
    142 :   327232.91 MFlops
    143 :   208871.93 MFlops
    144 :   367505.72 MFlops
    145 :   316740.26 MFlops
    146 :   319193.44 MFlops
    147 :   313730.67 MFlops
    148 :   336809.56 MFlops
    149 :   330794.90 MFlops
    150 :   341772.15 MFlops
    151 :   344295.10 MFlops
    152 :   364863.17 MFlops
    153 :   349422.15 MFlops
    154 :   352025.45 MFlops
    155 :   350482.35 MFlops
    156 :   357309.74 MFlops
    157 :   329352.60 MFlops
    158 :   342983.65 MFlops
    159 :   345778.84 MFlops
    160 :   420102.56 MFlops
    161 :   327316.16 MFlops
    162 :   336754.69 MFlops
    163 :   336368.70 MFlops
    164 :   356439.92 MFlops
    165 :   352323.53 MFlops
    166 :   358768.31 MFlops
    167 :   348221.53 MFlops
    168 :   198602.39 MFlops
    169 :   324491.36 MFlops
    170 :   338827.59 MFlops
    171 :   333347.40 MFlops
    172 :   353978.99 MFlops
    173 :   348081.82 MFlops
    174 :   369685.89 MFlops
    175 :   382812.50 MFlops
    176 :   419367.38 MFlops
    177 :   343890.42 MFlops
    178 :   385624.07 MFlops
    179 :   385569.01 MFlops
    180 :   402206.90 MFlops
    181 :   388835.48 MFlops
    182 :   401904.53 MFlops
    183 :   371423.45 MFlops
    184 :   355971.66 MFlops
    185 :   322630.57 MFlops
    186 :   381324.80 MFlops
    187 :   365829.54 MFlops
    188 :   352035.60 MFlops
    189 :   346218.92 MFlops
    190 :   428687.50 MFlops
    191 :   401028.55 MFlops
    192 :   413307.33 MFlops
