From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.06 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :      500.00 MFlops
      6 :      864.00 MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     3456.00 MFlops
     13 :     4394.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :     2730.67 MFlops
     17 :     6550.67 MFlops
     18 :     7776.00 MFlops
     19 :     9145.33 MFlops
     20 :    10666.67 MFlops
     21 :    12348.00 MFlops
     22 :    10648.00 MFlops
     23 :      918.26 MFlops
     24 :     4608.00 MFlops
     25 :    15625.00 MFlops
     26 :     8788.00 MFlops
     27 :    13122.00 MFlops
     28 :    17561.60 MFlops
     29 :    13936.57 MFlops
     30 :    15428.57 MFlops
     31 :    14895.50 MFlops
     32 :    26214.40 MFlops
     33 :    17968.50 MFlops
     34 :    26202.67 MFlops
     35 :    24500.00 MFlops
     36 :    26660.57 MFlops
     37 :    22512.44 MFlops
     38 :    24387.56 MFlops
     39 :    21570.55 MFlops
     40 :    23272.73 MFlops
     41 :    34460.50 MFlops
     42 :    37044.00 MFlops
     43 :    39753.50 MFlops
     44 :    42592.00 MFlops
     45 :    40500.00 MFlops
     46 :    43260.44 MFlops
     47 :    46143.56 MFlops
     48 :    40215.27 MFlops
     49 :    47059.60 MFlops
     50 :    50000.00 MFlops
     51 :    44217.00 MFlops
     52 :    51130.18 MFlops
     53 :    49625.67 MFlops
     54 :    52488.00 MFlops
     55 :    55458.33 MFlops
     56 :    54035.69 MFlops
     57 :    56982.46 MFlops
     58 :    60034.46 MFlops
     59 :    58679.71 MFlops
     60 :    57600.00 MFlops
     61 :    60528.27 MFlops
     62 :    63554.13 MFlops
     63 :    66679.20 MFlops
     64 :    69905.07 MFlops
     65 :    68656.25 MFlops
     66 :    71874.00 MFlops
     67 :    70767.76 MFlops
     68 :    73984.00 MFlops
