From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.40 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      128.00 MFlops
      5 :      250.00 MFlops
      6 :      432.00 MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     2662.00 MFlops
     12 :     3456.00 MFlops
     13 :     8788.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :     2730.67 MFlops
     17 :     9826.00 MFlops
     18 :    11664.00 MFlops
     19 :    13718.00 MFlops
     20 :    16000.00 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :    16222.67 MFlops
     24 :    27648.00 MFlops
     25 :    31250.00 MFlops
     26 :    35152.00 MFlops
     27 :    26244.00 MFlops
     28 :    29269.33 MFlops
     29 :    24389.00 MFlops
     30 :    36000.00 MFlops
     31 :    39721.33 MFlops
     32 :    32768.00 MFlops
     33 :    23958.00 MFlops
     34 :    39304.00 MFlops
     35 :    57166.67 MFlops
     36 :    62208.00 MFlops
     37 :    50653.00 MFlops
     38 :    54872.00 MFlops
     39 :    59319.00 MFlops
     40 :    64000.00 MFlops
     41 :    68921.00 MFlops
     42 :    74088.00 MFlops
     43 :    79507.00 MFlops
     44 :    85184.00 MFlops
     45 :    72900.00 MFlops
     46 :    55620.57 MFlops
     47 :    83058.40 MFlops
     48 :    88473.60 MFlops
     49 :    78432.67 MFlops
     50 :   100000.00 MFlops
     51 :    88434.00 MFlops
     52 :   112486.40 MFlops
     53 :    99251.33 MFlops
     54 :    89979.43 MFlops
     55 :    95071.43 MFlops
     56 :    58538.67 MFlops
     57 :    56982.46 MFlops
     58 :    86716.44 MFlops
     59 :   102689.50 MFlops
     60 :    66461.54 MFlops
     61 :   113490.50 MFlops
     62 :   119164.00 MFlops
     63 :   111132.00 MFlops
     64 :   131072.00 MFlops
     65 :   109850.00 MFlops
     66 :   127776.00 MFlops
     67 :   120305.20 MFlops
     68 :   125772.80 MFlops
     69 :   119457.82 MFlops
     70 :   124727.27 MFlops
     71 :   119303.67 MFlops
     72 :    78578.53 MFlops
     73 :   129672.33 MFlops
     74 :   135074.67 MFlops
     75 :   112500.00 MFlops
     76 :   146325.33 MFlops
     77 :   140471.69 MFlops
     78 :   146016.00 MFlops
     79 :   151704.31 MFlops
     80 :   170666.67 MFlops
     81 :   163520.31 MFlops
     82 :   157533.71 MFlops
     83 :   175934.46 MFlops
     84 :   169344.00 MFlops
     85 :   163766.67 MFlops
     86 :   101768.96 MFlops
     87 :   175600.80 MFlops
     88 :   194706.29 MFlops
     89 :   148414.53 MFlops
     90 :   182250.00 MFlops
     91 :   188392.75 MFlops
     92 :   207650.13 MFlops
     93 :   189260.47 MFlops
     94 :   195431.53 MFlops
     95 :   201735.29 MFlops
     96 :   235929.60 MFlops
     97 :   192141.68 MFlops
     98 :   188238.40 MFlops
     99 :   194059.80 MFlops
    100 :   210526.32 MFlops
    101 :   196247.81 MFlops
    102 :   202134.86 MFlops
    103 :   190039.48 MFlops
