From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.67 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :      200.00 MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :      800.00 MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :     1568.00 MFlops
     15x15 :     1800.00 MFlops
     16x16 :         inf MFlops
     17x17 :     2312.00 MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :     5000.00 MFlops
     26x26 :     5408.00 MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :     6728.00 MFlops
     30x30 :         inf MFlops
     31x31 :     7688.00 MFlops
     32x32 :     8192.00 MFlops
     33x33 :     8712.00 MFlops
     34x34 :     9248.00 MFlops
     35x35 :         inf MFlops
     36x36 :    10368.00 MFlops
     37x37 :         inf MFlops
     38x38 :    11552.00 MFlops
     39x39 :    12168.00 MFlops
     40x40 :         inf MFlops
     41x41 :    13448.00 MFlops
     42x42 :         inf MFlops
     43x43 :    14792.00 MFlops
     44x44 :    15488.00 MFlops
     45x45 :    16200.00 MFlops
     46x46 :    16928.00 MFlops
     47x47 :    17672.00 MFlops
     48x48 :    18432.00 MFlops
     49x49 :         inf MFlops
     50x50 :    10000.00 MFlops
     51x51 :    20808.00 MFlops
     52x52 :    21632.00 MFlops
     53x53 :    22472.00 MFlops
     54x54 :    11664.00 MFlops
     55x55 :    24200.00 MFlops
     56x56 :    25088.00 MFlops
     57x57 :    25992.00 MFlops
     58x58 :    26912.00 MFlops
     59x59 :    27848.00 MFlops
     60x60 :    28800.00 MFlops
     61x61 :    14884.00 MFlops
     62x62 :    30752.00 MFlops
     63x63 :    15876.00 MFlops
     64x64 :    16384.00 MFlops
     65x65 :    16900.00 MFlops
     66x66 :    17424.00 MFlops
     67x67 :    17956.00 MFlops
     68x68 :    36992.00 MFlops
     69x69 :    19044.00 MFlops
     70x70 :    19600.00 MFlops
     71x71 :    20164.00 MFlops
     72x72 :    20736.00 MFlops
     73x73 :    21316.00 MFlops
     74x74 :    14602.67 MFlops
     75x75 :    15000.00 MFlops
     76x76 :    15402.67 MFlops
     77x77 :    15810.67 MFlops
     78x78 :    16224.00 MFlops
     79x79 :    16642.67 MFlops
     80x80 :    25600.00 MFlops
     81x81 :    17496.00 MFlops
     82x82 :    17930.67 MFlops
     83x83 :    13778.00 MFlops
     84x84 :    14112.00 MFlops
     85x85 :    14450.00 MFlops
     86x86 :    14792.00 MFlops
     87x87 :    15138.00 MFlops
     88x88 :    15488.00 MFlops
     89x89 :    15842.00 MFlops
     90x90 :    16200.00 MFlops
     91x91 :    13249.60 MFlops
     92x92 :    16928.00 MFlops
     93x93 :    17298.00 MFlops
     94x94 :    17672.00 MFlops
     95x95 :    18050.00 MFlops
     96x96 :    18432.00 MFlops
     97x97 :    18818.00 MFlops
     98x98 :    19208.00 MFlops
     99x99 :    19602.00 MFlops
    100x100 :    16000.00 MFlops
    101x101 :    16321.60 MFlops
    102x102 :    16646.40 MFlops
    103x103 :    21218.00 MFlops
    104x104 :    17305.60 MFlops
    105x105 :    17640.00 MFlops
    106x106 :    17977.60 MFlops
    107x107 :    18318.40 MFlops
    108x108 :    18662.40 MFlops
    109x109 :    19009.60 MFlops
    110x110 :    19360.00 MFlops
    111x111 :    19713.60 MFlops
    112x112 :    20070.40 MFlops
    113x113 :      268.82 MFlops
    114x114 :    20793.60 MFlops
    115x115 :    21160.00 MFlops
    116x116 :    21529.60 MFlops
    117x117 :    18252.00 MFlops
    118x118 :    22278.40 MFlops
    119x119 :    22657.60 MFlops
    120x120 :     1280.00 MFlops
    121x121 :    13014.22 MFlops
    122x122 :    14884.00 MFlops
    123x123 :    17290.29 MFlops
    124x124 :    20501.33 MFlops
    125x125 :    12500.00 MFlops
    126x126 :    21168.00 MFlops
    127x127 :    21505.33 MFlops
    128x128 :    21845.33 MFlops
    129x129 :    22188.00 MFlops
    130x130 :    22533.33 MFlops
    131x131 :    22881.33 MFlops
    132x132 :       72.11 MFlops
    133x133 :    20216.00 MFlops
    134x134 :     4352.97 MFlops
    135x135 :    24300.00 MFlops
    136x136 :    24661.33 MFlops
    137x137 :    25025.33 MFlops
    138x138 :    21764.57 MFlops
    139x139 :    25761.33 MFlops
    140x140 :    22400.00 MFlops
    141x141 :    22721.14 MFlops
    142x142 :      570.01 MFlops
    143x143 :    23370.29 MFlops
    144x144 :    23698.29 MFlops
    145x145 :    24028.57 MFlops
    146x146 :    24361.14 MFlops
    147x147 :    24696.00 MFlops
    148x148 :    29205.33 MFlops
    149x149 :    29601.33 MFlops
    150x150 :    36000.00 MFlops
    151x151 :    36481.60 MFlops
    152x152 :    36966.40 MFlops
    153x153 :    31212.00 MFlops
    154x154 :    37945.60 MFlops
    155x155 :    38440.00 MFlops
    156x156 :    32448.00 MFlops
    157x157 :    39438.40 MFlops
    158x158 :    33285.33 MFlops
    159x159 :    33708.00 MFlops
    160x160 :    34133.33 MFlops
    161x161 :    34561.33 MFlops
    162x162 :    34992.00 MFlops
    163x163 :    35425.33 MFlops
    164x164 :    35861.33 MFlops
    165x165 :    36300.00 MFlops
    166x166 :    36741.33 MFlops
    167x167 :    37185.33 MFlops
    168x168 :    37632.00 MFlops
    169x169 :    38081.33 MFlops
    170x170 :    33028.57 MFlops
    171x171 :    38988.00 MFlops
    172x172 :    39445.33 MFlops
    173x173 :    39905.33 MFlops
    174x174 :    34601.14 MFlops
    175x175 :    40833.33 MFlops
    176x176 :      769.59 MFlops
    177x177 :    25063.20 MFlops
    178x178 :    31684.00 MFlops
    179x179 :      257.36 MFlops
    180x180 :    32400.00 MFlops
    181x181 :    32761.00 MFlops
    182x182 :    29443.56 MFlops
    183x183 :    33489.00 MFlops
    184x184 :    33856.00 MFlops
    185x185 :    34225.00 MFlops
    186x186 :    34596.00 MFlops
    187x187 :    31083.56 MFlops
    188x188 :    31416.89 MFlops
    189x189 :    31752.00 MFlops
    190x190 :    32088.89 MFlops
    191x191 :    32427.56 MFlops
    192x192 :    36864.00 MFlops
    193x193 :    37249.00 MFlops
    194x194 :    33454.22 MFlops
    195x195 :    33800.00 MFlops
    196x196 :    38416.00 MFlops
    197x197 :    38809.00 MFlops
    198x198 :    34848.00 MFlops
    199x199 :    35200.89 MFlops
    200x200 :    35555.56 MFlops
