From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        4.00 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :      800.00 MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :     1352.00 MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :     3200.00 MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :     4232.00 MFlops
     24x24 :         inf MFlops
     25x25 :         inf MFlops
     26x26 :         inf MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :     7200.00 MFlops
     31x31 :     7688.00 MFlops
     32x32 :     8192.00 MFlops
     33x33 :         inf MFlops
     34x34 :         inf MFlops
     35x35 :         inf MFlops
     36x36 :         inf MFlops
     37x37 :         inf MFlops
     38x38 :         inf MFlops
     39x39 :    12168.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :         inf MFlops
     42x42 :    14112.00 MFlops
     43x43 :    14792.00 MFlops
     44x44 :         inf MFlops
     45x45 :    16200.00 MFlops
     46x46 :    16928.00 MFlops
     47x47 :    17672.00 MFlops
     48x48 :    18432.00 MFlops
     49x49 :    19208.00 MFlops
     50x50 :         inf MFlops
     51x51 :    20808.00 MFlops
     52x52 :    21632.00 MFlops
     53x53 :    22472.00 MFlops
     54x54 :    23328.00 MFlops
     55x55 :    24200.00 MFlops
     56x56 :    25088.00 MFlops
     57x57 :    25992.00 MFlops
     58x58 :    26912.00 MFlops
     59x59 :    27848.00 MFlops
     60x60 :    28800.00 MFlops
     61x61 :    29768.00 MFlops
     62x62 :    30752.00 MFlops
     63x63 :    15876.00 MFlops
     64x64 :    32768.00 MFlops
     65x65 :    33800.00 MFlops
     66x66 :    34848.00 MFlops
     67x67 :    35912.00 MFlops
     68x68 :    36992.00 MFlops
     69x69 :    19044.00 MFlops
     70x70 :    19600.00 MFlops
     71x71 :    40328.00 MFlops
     72x72 :    20736.00 MFlops
     73x73 :    21316.00 MFlops
     74x74 :    21904.00 MFlops
     75x75 :    45000.00 MFlops
     76x76 :    23104.00 MFlops
     77x77 :    23716.00 MFlops
     78x78 :    24336.00 MFlops
     79x79 :    24964.00 MFlops
     80x80 :    25600.00 MFlops
     81x81 :    26244.00 MFlops
     82x82 :    26896.00 MFlops
     83x83 :    27556.00 MFlops
     84x84 :    18816.00 MFlops
     85x85 :    28900.00 MFlops
     86x86 :    19722.67 MFlops
     87x87 :    30276.00 MFlops
     88x88 :    30976.00 MFlops
     89x89 :    31684.00 MFlops
     90x90 :    32400.00 MFlops
     91x91 :    22082.67 MFlops
     92x92 :    33856.00 MFlops
     93x93 :    34596.00 MFlops
     94x94 :    23562.67 MFlops
     95x95 :    24066.67 MFlops
     96x96 :    24576.00 MFlops
     97x97 :    25090.67 MFlops
     98x98 :    38416.00 MFlops
     99x99 :    39204.00 MFlops
    100x100 :    40000.00 MFlops
    101x101 :    27202.67 MFlops
    102x102 :    27744.00 MFlops
    103x103 :    28290.67 MFlops
    104x104 :    28842.67 MFlops
    105x105 :    29400.00 MFlops
    106x106 :    29962.67 MFlops
    107x107 :    30530.67 MFlops
    108x108 :    31104.00 MFlops
    109x109 :    31682.67 MFlops
    110x110 :    32266.67 MFlops
    111x111 :    32856.00 MFlops
    112x112 :    33450.67 MFlops
    113x113 :    34050.67 MFlops
    114x114 :    25992.00 MFlops
    115x115 :    35266.67 MFlops
    116x116 :    35882.67 MFlops
    117x117 :    27378.00 MFlops
    118x118 :    27848.00 MFlops
    119x119 :    28322.00 MFlops
    120x120 :    28800.00 MFlops
    121x121 :    29282.00 MFlops
    122x122 :    29768.00 MFlops
    123x123 :    30258.00 MFlops
    124x124 :    30752.00 MFlops
    125x125 :    31250.00 MFlops
    126x126 :    25401.60 MFlops
    127x127 :    25806.40 MFlops
    128x128 :    26214.40 MFlops
    129x129 :    26625.60 MFlops
    130x130 :    33800.00 MFlops
    131x131 :    27457.60 MFlops
    132x132 :    27878.40 MFlops
    133x133 :    28302.40 MFlops
    134x134 :    35912.00 MFlops
    135x135 :    29160.00 MFlops
    136x136 :    29593.60 MFlops
    137x137 :    30030.40 MFlops
    138x138 :    25392.00 MFlops
    139x139 :    30913.60 MFlops
    140x140 :    31360.00 MFlops
    141x141 :    26508.00 MFlops
    142x142 :    26885.33 MFlops
    143x143 :    32718.40 MFlops
    144x144 :    27648.00 MFlops
    145x145 :    28033.33 MFlops
    146x146 :    28421.33 MFlops
    147x147 :    28812.00 MFlops
    148x148 :    29205.33 MFlops
    149x149 :    25372.57 MFlops
    150x150 :    30000.00 MFlops
    151x151 :    30401.33 MFlops
    152x152 :    30805.33 MFlops
    153x153 :    31212.00 MFlops
    154x154 :    31621.33 MFlops
    155x155 :    32033.33 MFlops
    156x156 :    27812.57 MFlops
    157x157 :    32865.33 MFlops
    158x158 :    28530.29 MFlops
    159x159 :    28892.57 MFlops
    160x160 :    29257.14 MFlops
    161x161 :    29624.00 MFlops
    162x162 :    29993.14 MFlops
    163x163 :    30364.57 MFlops
    164x164 :    30738.29 MFlops
    165x165 :    31114.29 MFlops
    166x166 :    31492.57 MFlops
    167x167 :    31873.14 MFlops
    168x168 :    32256.00 MFlops
    169x169 :    32641.14 MFlops
    170x170 :    33028.57 MFlops
    171x171 :    29241.00 MFlops
    172x172 :    29584.00 MFlops
    173x173 :    29929.00 MFlops
    174x174 :    30276.00 MFlops
    175x175 :    30625.00 MFlops
    176x176 :    27534.22 MFlops
    177x177 :    31329.00 MFlops
    178x178 :    31684.00 MFlops
    179x179 :    32041.00 MFlops
    180x180 :    28800.00 MFlops
    181x181 :    29120.89 MFlops
    182x182 :    33124.00 MFlops
    183x183 :    29768.00 MFlops
    184x184 :    30094.22 MFlops
    185x185 :    30422.22 MFlops
    186x186 :    30752.00 MFlops
    187x187 :    31083.56 MFlops
    188x188 :    31416.89 MFlops
    189x189 :    31752.00 MFlops
    190x190 :    32088.89 MFlops
    191x191 :    29184.80 MFlops
    192x192 :    29491.20 MFlops
    193x193 :    33110.22 MFlops
    194x194 :    33454.22 MFlops
    195x195 :    30420.00 MFlops
    196x196 :    30732.80 MFlops
    197x197 :    31047.20 MFlops
    198x198 :    31363.20 MFlops
    199x199 :    31680.80 MFlops
    200x200 :    32000.00 MFlops
