From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   1.510273e-08        0.17 MFlops       8.00 MFlops       0.63 MFlops
      2 :   8.297086e-08         inf MFlops      32.00 MFlops      53.33 MFlops
      3 :   3.125887e-08       72.00 MFlops        inf MFlops     144.00 MFlops
      4 :   5.708914e-08         inf MFlops     128.00 MFlops     298.67 MFlops
      5 :   3.020341e-08      333.33 MFlops     200.00 MFlops     266.67 MFlops
      6 :   3.019567e-07      576.00 MFlops     288.00 MFlops     432.00 MFlops
      7 :   6.602276e-08      914.67 MFlops        inf MFlops    1306.67 MFlops
      8 :   4.202490e-07     1365.33 MFlops     512.00 MFlops     938.67 MFlops
      9 :   6.211397e-07      972.00 MFlops        inf MFlops    1296.00 MFlops
     10 :   6.654956e-08        0.27 MFlops     400.00 MFlops       0.35 MFlops
     11 :   1.251487e-07      394.37 MFlops     968.00 MFlops     451.73 MFlops
     12 :   2.271700e-07      576.00 MFlops    1152.00 MFlops     640.00 MFlops
     13 :   3.748490e-09      202.02 MFlops    1352.00 MFlops     240.36 MFlops
     14 :   2.940399e-07      365.87 MFlops    1568.00 MFlops     423.11 MFlops
     15 :   4.962652e-07      428.57 MFlops     900.00 MFlops     469.57 MFlops
     16 :   9.583209e-07      474.90 MFlops    2048.00 MFlops     540.44 MFlops
     17 :   5.922295e-07      422.62 MFlops    2312.00 MFlops     481.67 MFlops
     18 :   1.970419e-07     1036.80 MFlops    1296.00 MFlops    1067.29 MFlops
     19 :   7.788188e-08     1075.92 MFlops    2888.00 MFlops    1176.59 MFlops
     20 :   6.377206e-06     1066.67 MFlops    1600.00 MFlops    1115.15 MFlops
     21 :   8.469598e-07     1176.00 MFlops    1764.00 MFlops    1227.13 MFlops
     22 :   3.125373e-06     1352.13 MFlops    1936.00 MFlops    1402.90 MFlops
     23 :   8.805027e-07     1410.67 MFlops    2116.00 MFlops    1467.09 MFlops
     24 :   2.472407e-06     1474.56 MFlops    2304.00 MFlops    1536.00 MFlops
     25 :   1.104922e-06     1602.56 MFlops    2500.00 MFlops    1666.67 MFlops
     26 :   5.480212e-07     1616.18 MFlops    2704.00 MFlops    1686.37 MFlops
     27 :   4.460522e-07     1874.57 MFlops    1944.00 MFlops    1881.29 MFlops
     28 :   3.469765e-07     1888.34 MFlops    3136.00 MFlops    1963.96 MFlops
     29 :   1.753901e-06     1806.59 MFlops    3364.00 MFlops    1888.56 MFlops
     30 :   3.362332e-06     2117.65 MFlops    2400.00 MFlops    2140.54 MFlops
     31 :   1.844932e-05     1690.27 MFlops    3844.00 MFlops    1778.18 MFlops
     32 :   6.029192e-07     2184.53 MFlops    2730.67 MFlops    2222.64 MFlops
     33 :   6.246532e-07     2281.71 MFlops    4356.00 MFlops    2376.00 MFlops
     34 :   1.229297e-06     2437.46 MFlops    3082.67 MFlops    2479.54 MFlops
     35 :   1.678658e-06     2381.94 MFlops    3266.67 MFlops    2433.99 MFlops
     36 :   5.559835e-07     2592.00 MFlops    2592.00 MFlops    2592.00 MFlops
     37 :   9.047432e-06     2597.59 MFlops    3650.67 MFlops    2655.03 MFlops
