From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.44 MFlops       4.00 MFlops       1.33 MFlops
      2 :   0.000000e+00        3.56 MFlops        inf MFlops       8.89 MFlops
      3 :   1.007187e-07       72.00 MFlops        inf MFlops     144.00 MFlops
      4 :   6.201656e-08      170.67 MFlops        inf MFlops     298.67 MFlops
      5 :   1.056417e-07      333.33 MFlops        inf MFlops     533.33 MFlops
      6 :   4.614215e-08      576.00 MFlops        inf MFlops     864.00 MFlops
      7 :   3.186396e-07      914.67 MFlops        inf MFlops    1306.67 MFlops
      8 :   1.674944e-07         inf MFlops        inf MFlops        inf MFlops
      9 :   2.351251e-07     1944.00 MFlops        inf MFlops    2592.00 MFlops
     10 :   6.682954e-08     2666.67 MFlops     800.00 MFlops    1733.33 MFlops
     11 :   1.336321e-07     3549.33 MFlops        inf MFlops    4517.33 MFlops
     12 :   2.652021e-07     2304.00 MFlops        inf MFlops    2880.00 MFlops
     13 :   5.059000e-08     2929.33 MFlops    1352.00 MFlops    2403.56 MFlops
     14 :   2.967496e-07     3658.67 MFlops        inf MFlops    4442.67 MFlops
     15 :   3.930666e-07     4500.00 MFlops    1800.00 MFlops    3600.00 MFlops
     16 :   8.767370e-07     5461.33 MFlops        inf MFlops    6485.33 MFlops
     17 :   4.971266e-07     6550.67 MFlops    2312.00 MFlops    5137.78 MFlops
     18 :   4.156298e-07     7776.00 MFlops    2592.00 MFlops    6048.00 MFlops
     19 :   5.706435e-07     6096.89 MFlops    2888.00 MFlops    5294.67 MFlops
     20 :   6.425406e-06     7111.11 MFlops    3200.00 MFlops    6133.33 MFlops
     21 :   8.033193e-07     8232.00 MFlops    3528.00 MFlops    7056.00 MFlops
     22 :   5.102372e-06     7098.67 MFlops    3872.00 MFlops    6453.33 MFlops
     23 :   4.110002e-08     6489.07 MFlops    4232.00 MFlops    6112.89 MFlops
     24 :   1.685416e-06     9216.00 MFlops    4608.00 MFlops    8294.40 MFlops
     25 :   1.300386e-06    10416.67 MFlops    5000.00 MFlops    9333.33 MFlops
     26 :   2.451143e-07     9373.87 MFlops    5408.00 MFlops    8712.89 MFlops
     27 :   7.685723e-07     8748.00 MFlops    5832.00 MFlops    8331.43 MFlops
     28 :   2.294828e-07    11707.73 MFlops    3136.00 MFlops    9258.67 MFlops
     29 :   1.749431e-06    10839.56 MFlops    6728.00 MFlops   10252.19 MFlops
     30 :   1.184551e-06    12000.00 MFlops    7200.00 MFlops   11314.29 MFlops
     31 :   1.520481e-05    11348.95 MFlops    3844.00 MFlops    9681.19 MFlops
     32 :   1.188364e-06    10922.67 MFlops    8192.00 MFlops   10619.26 MFlops
     33 :   1.113689e-06    11979.00 MFlops    4356.00 MFlops   10454.40 MFlops
     34 :   1.275735e-06    13101.33 MFlops    4624.00 MFlops   11405.87 MFlops
     35 :   3.515473e-07    14291.67 MFlops    4900.00 MFlops   12413.33 MFlops
     36 :   9.545029e-07    13824.00 MFlops    5184.00 MFlops   12253.09 MFlops
     37 :   1.311926e-07    13507.47 MFlops    5476.00 MFlops   12168.89 MFlops
     38 :   8.428308e-07    14632.53 MFlops    5776.00 MFlops   13156.44 MFlops
     39 :   7.902132e-07    15818.40 MFlops    6084.00 MFlops   14196.00 MFlops
     40 :   6.573861e-07    15515.15 MFlops    6400.00 MFlops   14112.82 MFlops
     41 :   3.135408e-07    15315.78 MFlops    6724.00 MFlops   14088.38 MFlops
     42 :   8.721537e-06    15197.54 MFlops    7056.00 MFlops   14112.00 MFlops
     43 :   1.151992e-06    16309.13 MFlops    7396.00 MFlops   15120.71 MFlops
     44 :   3.707919e-06    16225.52 MFlops    7744.00 MFlops   15165.33 MFlops
     45 :   1.404967e-07    17357.14 MFlops    5400.00 MFlops   15247.06 MFlops
     46 :   6.682773e-07    17304.18 MFlops    5642.67 MFlops   15360.59 MFlops
     47 :   1.079513e-04    17303.83 MFlops    5890.67 MFlops   15501.75 MFlops
     48 :   3.694462e-07    18432.00 MFlops    6144.00 MFlops   16491.79 MFlops
     49 :   0.000000e+00    17429.48 MFlops    9604.00 MFlops   16646.93 MFlops
     50 :   7.483862e-07    18518.52 MFlops    6666.67 MFlops   16825.40 MFlops
     51 :   9.934198e-06    18617.68 MFlops    6936.00 MFlops   17024.73 MFlops
     52 :   1.993195e-06    19734.46 MFlops    7210.67 MFlops   18026.67 MFlops
     53 :   4.337271e-06    18905.02 MFlops    7490.67 MFlops   17478.22 MFlops
     54 :   1.192506e-05    19086.55 MFlops    7776.00 MFlops   17729.28 MFlops
     55 :   1.159630e-06    19289.86 MFlops    8066.67 MFlops   17994.87 MFlops
     56 :   1.465355e-06    19512.89 MFlops    8362.67 MFlops   18273.98 MFlops
     57 :   1.538688e-07    19753.92 MFlops    6498.00 MFlops   17925.52 MFlops
     58 :   2.345999e-06    20811.95 MFlops    6728.00 MFlops   18869.33 MFlops
     59 :   3.363254e-06    19559.90 MFlops    9282.67 MFlops   18565.33 MFlops
     60 :   2.822658e-06    20571.43 MFlops    7200.00 MFlops   18900.00 MFlops
     61 :   5.525328e-06    20176.09 MFlops    7442.00 MFlops   18677.96 MFlops
     62 :   4.687728e-07    20501.33 MFlops    7688.00 MFlops   19036.95 MFlops
     63 :   6.551410e-06    21509.42 MFlops    7938.00 MFlops   19958.40 MFlops
     64 :   1.263291e-06    20560.31 MFlops    8192.00 MFlops   19258.39 MFlops
     65 :   2.275856e-06    16643.94 MFlops    4828.57 MFlops   15022.22 MFlops
     66 :   5.514707e-07    18698.93 MFlops    4978.29 MFlops   16698.00 MFlops
     67 :   3.005770e-06    17435.54 MFlops    7182.40 MFlops   16430.33 MFlops
     68 :   3.232292e-06    18227.94 MFlops    4624.00 MFlops   16212.54 MFlops
     69 :   3.562746e-06    17520.48 MFlops    6348.00 MFlops   16323.43 MFlops
     70 :   3.641662e-06    17257.86 MFlops    6533.33 MFlops   16167.23 MFlops
     71 :   2.174996e-06    16455.68 MFlops    5761.14 MFlops   15303.96 MFlops
     72 :   5.153182e-06    14637.18 MFlops    6912.00 MFlops   14010.81 MFlops
     73 :   4.678785e-06    16209.04 MFlops    7105.33 MFlops   15428.72 MFlops
     74 :   6.034476e-06    16884.33 MFlops    7301.33 MFlops   16062.93 MFlops
     75 :   1.266234e-05    16071.43 MFlops    7500.00 MFlops   15394.74 MFlops
     76 :   2.100420e-05    16258.37 MFlops    7701.33 MFlops   15600.14 MFlops
     77 :   2.401987e-06    15810.67 MFlops    5929.00 MFlops   14880.63 MFlops
     78 :   6.369405e-06    15818.40 MFlops    6953.14 MFlops   15105.10 MFlops
     79 :   8.151844e-06    14772.70 MFlops    7132.57 MFlops   14215.61 MFlops
     80 :   6.219902e-07    15875.97 MFlops    6400.00 MFlops   15069.50 MFlops
     81 :   5.076336e-06    16672.66 MFlops    5832.00 MFlops   15634.72 MFlops
     82 :   5.004623e-07    17096.68 MFlops    5976.89 MFlops   16043.23 MFlops
     83 :   8.954487e-06    16755.66 MFlops    6889.00 MFlops   15958.36 MFlops
     84 :   9.296922e-06    17179.83 MFlops    6272.00 MFlops   16207.84 MFlops
     85 :   7.679568e-06    16883.16 MFlops    6422.22 MFlops   15994.97 MFlops
     86 :   3.866098e-06    17486.08 MFlops    6574.22 MFlops   16559.60 MFlops
     87 :   1.602020e-06    17215.76 MFlops    6728.00 MFlops   16365.41 MFlops
     88 :   5.543307e-07    17473.64 MFlops    6883.56 MFlops   16630.18 MFlops
     89 :   1.460697e-06    17406.64 MFlops    6336.80 MFlops   16468.52 MFlops
     90 :   0.000000e+00    17672.73 MFlops    6480.00 MFlops   16740.00 MFlops
     91 :   1.781477e-06    17323.47 MFlops    6624.80 MFlops   16474.37 MFlops
     92 :   1.686489e-06    17747.87 MFlops    7523.56 MFlops   17017.57 MFlops
     93 :   3.872163e-06    17726.88 MFlops    6919.20 MFlops   16901.86 MFlops
     94 :   4.638357e-06    18154.84 MFlops    7068.80 MFlops   17314.99 MFlops
     95 :   5.786203e-06    18002.62 MFlops    7220.00 MFlops   17215.57 MFlops
     96 :   9.608350e-06    18009.89 MFlops    6702.55 MFlops   17133.97 MFlops
     97 :   1.656418e-06    17895.55 MFlops    6842.91 MFlops   17068.48 MFlops
     98 :   1.439144e-05    18320.04 MFlops    6984.73 MFlops   17477.55 MFlops
     99 :   8.588102e-05    18094.15 MFlops    7128.00 MFlops   17310.86 MFlops
    100 :   9.738193e-07    18518.52 MFlops    7272.73 MFlops   17720.43 MFlops
    101 :   3.344991e-05    18563.98 MFlops    6800.67 MFlops   17681.73 MFlops
    102 :   4.359151e-06    18257.34 MFlops    6402.46 MFlops   17340.00 MFlops
    103 :   8.256820e-06    18212.12 MFlops    6528.62 MFlops   17334.17 MFlops
    104 :   4.956355e-06    18516.28 MFlops    6656.00 MFlops   17635.23 MFlops
    105 :   7.647413e-06    18709.09 MFlops    6784.62 MFlops   17838.20 MFlops
    106 :   9.917846e-08    19018.22 MFlops    6914.46 MFlops   18144.06 MFlops
    107 :   9.529436e-06    19330.07 MFlops    7045.54 MFlops   18452.60 MFlops
    108 :   5.961519e-06    19760.19 MFlops    7177.85 MFlops   18866.36 MFlops
    109 :   4.620361e-06    19401.18 MFlops    7920.67 MFlops   18676.10 MFlops
    110 :   1.480691e-06    19940.07 MFlops    7446.15 MFlops   19089.70 MFlops
    111 :   2.370087e-06    19929.05 MFlops    7582.15 MFlops   19110.12 MFlops
    112 :   1.039159e-05    20251.21 MFlops    7719.38 MFlops   19428.42 MFlops
    113 :   1.700071e-05    20251.19 MFlops    7296.57 MFlops   19362.14 MFlops
    114 :   2.320937e-05    20577.00 MFlops    7997.54 MFlops   19779.28 MFlops
    115 :   4.262408e-06    20692.18 MFlops    7557.14 MFlops   19816.51 MFlops
    116 :   7.882279e-06    20916.53 MFlops    8280.62 MFlops   20141.69 MFlops
    117 :   7.672840e-06    20936.12 MFlops    8424.00 MFlops   20186.54 MFlops
    118 :   7.890990e-07    21166.27 MFlops    7956.57 MFlops   20329.46 MFlops
    119 :   2.408422e-05    21297.43 MFlops    8092.00 MFlops   20475.76 MFlops
