From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        1.33 MFlops
      2 :         inf MFlops
      3 :      216.00 MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :     1728.00 MFlops
      7 :     2744.00 MFlops
      8 :         inf MFlops
      9 :     1944.00 MFlops
     10 :     2000.00 MFlops
     11 :    10648.00 MFlops
     12 :    13824.00 MFlops
     13 :    17576.00 MFlops
     14 :    21952.00 MFlops
     15 :    27000.00 MFlops
     16 :    32768.00 MFlops
     17 :     9826.00 MFlops
     18 :    46656.00 MFlops
     19 :    27436.00 MFlops
     20 :    64000.00 MFlops
     21 :    37044.00 MFlops
     22 :    85184.00 MFlops
     23 :    48668.00 MFlops
     24 :    55296.00 MFlops
     25 :    25000.00 MFlops
     26 :   140608.00 MFlops
     27 :    78732.00 MFlops
     28 :    87808.00 MFlops
     29 :    65037.33 MFlops
     30 :   108000.00 MFlops
     31 :    59582.00 MFlops
     32 :    87381.33 MFlops
     33 :    95832.00 MFlops
     34 :   104810.67 MFlops
     35 :   114333.33 MFlops
     36 :   124416.00 MFlops
     37 :   135074.67 MFlops
     38 :   109744.00 MFlops
     39 :    94910.40 MFlops
     40 :   128000.00 MFlops
     41 :    34460.50 MFlops
     42 :    74088.00 MFlops
     43 :    63605.60 MFlops
     44 :    56789.33 MFlops
     45 :    52071.43 MFlops
     46 :    43260.44 MFlops
     47 :    46143.56 MFlops
     48 :    49152.00 MFlops
     49 :   104576.89 MFlops
     50 :    90909.09 MFlops
     51 :    75800.57 MFlops
     52 :    80347.43 MFlops
     53 :    66167.56 MFlops
     54 :    62985.60 MFlops
     55 :    53240.00 MFlops
     56 :    56197.12 MFlops
     57 :    59261.76 MFlops
     58 :    65037.33 MFlops
     59 :    65721.28 MFlops
     60 :    69120.00 MFlops
     61 :    69840.31 MFlops
     62 :    61504.00 MFlops
     63 :    66679.20 MFlops
     64 :    69905.07 MFlops
     65 :    36616.67 MFlops
     66 :    76665.60 MFlops
     67 :    77616.26 MFlops
     68 :    81143.74 MFlops
     69 :    82127.25 MFlops
     70 :    85750.00 MFlops
     71 :    79535.78 MFlops
     72 :    78578.53 MFlops
     73 :    84111.78 MFlops
     74 :    87616.00 MFlops
     75 :    88815.79 MFlops
     76 :    87795.20 MFlops
     77 :    93647.79 MFlops
     78 :    94910.40 MFlops
     79 :    82173.17 MFlops
     80 :    89043.48 MFlops
     81 :    92424.52 MFlops
     82 :    33671.33 MFlops
     83 :    86307.47 MFlops
     84 :      863.06 MFlops
     85 :   100265.31 MFlops
     86 :    96008.45 MFlops
     87 :    92421.47 MFlops
     88 :    97353.14 MFlops
     89 :   102540.95 MFlops
     90 :   106036.36 MFlops
     91 :   105764.35 MFlops
     92 :    91610.35 MFlops
     93 :     7149.84 MFlops
     94 :    71448.09 MFlops
     95 :    84679.01 MFlops
     96 :    89593.52 MFlops
     97 :     2040.63 MFlops
     98 :    89637.33 MFlops
     99 :    13002.33 MFlops
    100 :     3516.48 MFlops
    101 :   114477.89 MFlops
    102 :   119572.73 MFlops
    103 :   115023.89 MFlops
    104 :   126745.24 MFlops
    105 :   130436.62 MFlops
    106 :   132335.11 MFlops
    107 :   113957.49 MFlops
    108 :   139968.00 MFlops
    109 :   138136.43 MFlops
    110 :   143891.89 MFlops
    111 :   125759.17 MFlops
    112 :   137066.15 MFlops
    113 :   139074.41 MFlops
    114 :    98769.60 MFlops
    115 :    52671.00 MFlops
    116 :     3975.54 MFlops
    117 :    32355.82 MFlops
    118 :    95943.47 MFlops
    119 :    99127.00 MFlops
    120 :   100173.91 MFlops
    121 :    87484.49 MFlops
    122 :    89121.37 MFlops
    123 :    43150.54 MFlops
    124 :    96537.92 MFlops
    125 :    85382.51 MFlops
    126 :   120323.37 MFlops
    127 :   128023.94 MFlops
    128 :   132104.06 MFlops
    129 :   130102.36 MFlops
    130 :   135200.00 MFlops
    131 :    81748.76 MFlops
    132 :   132372.26 MFlops
    133 :   135403.57 MFlops
    134 :    11263.21 MFlops
    135 :    89876.71 MFlops
    136 :    92735.71 MFlops
    137 :    94796.42 MFlops
    138 :    96887.45 MFlops
    139 :   104295.88 MFlops
    140 :   106048.31 MFlops
    141 :   107300.33 MFlops
    142 :   109077.64 MFlops
    143 :   124434.34 MFlops
    144 :   129825.39 MFlops
    145 :   128363.16 MFlops
    146 :   113168.58 MFlops
