From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.80 MFlops
      2 :       64.00 MFlops
      3 :      108.00 MFlops
      4 :      170.67 MFlops
      5 :      500.00 MFlops
      6 :     1728.00 MFlops
      7 :     2744.00 MFlops
      8 :     4096.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     2662.00 MFlops
     12 :     6912.00 MFlops
     13 :     5858.67 MFlops
     14 :     7317.33 MFlops
     15 :     5400.00 MFlops
     16 :     4681.14 MFlops
     17 :     9826.00 MFlops
     18 :    23328.00 MFlops
     19 :    18290.67 MFlops
     20 :    21333.33 MFlops
     21 :    24696.00 MFlops
     22 :    42592.00 MFlops
     23 :    19467.20 MFlops
     24 :    55296.00 MFlops
     25 :    31250.00 MFlops
     26 :    28121.60 MFlops
     27 :    26244.00 MFlops
     28 :    58538.67 MFlops
     29 :    65037.33 MFlops
     30 :    54000.00 MFlops
     31 :    79442.67 MFlops
     32 :    65536.00 MFlops
     33 :    41070.86 MFlops
     34 :    52405.33 MFlops
     35 :    57166.67 MFlops
     36 :    62208.00 MFlops
     37 :    50653.00 MFlops
     38 :    62710.86 MFlops
     39 :    67793.14 MFlops
     40 :    85333.33 MFlops
     41 :    78766.86 MFlops
     42 :    84672.00 MFlops
     43 :    90865.14 MFlops
     44 :    85184.00 MFlops
     45 :    91125.00 MFlops
     46 :    59899.08 MFlops
     47 :    48857.88 MFlops
     48 :    80430.55 MFlops
     49 :    94119.20 MFlops
     50 :    83333.33 MFlops
     51 :    96473.45 MFlops
     52 :   112486.40 MFlops
     53 :   108274.18 MFlops
     54 :   114519.27 MFlops
     55 :   102384.62 MFlops
     56 :   127720.73 MFlops
     57 :   113964.92 MFlops
     58 :   120068.92 MFlops
     59 :   117359.43 MFlops
     60 :   132923.08 MFlops
     61 :    95570.95 MFlops
     62 :   136187.43 MFlops
     63 :   142884.00 MFlops
     64 :   131072.00 MFlops
     65 :   129235.29 MFlops
     66 :   135292.24 MFlops
     67 :   126637.05 MFlops
     68 :   147968.00 MFlops
     69 :   138319.58 MFlops
     70 :   152444.44 MFlops
     71 :   106047.70 MFlops
     72 :   165888.00 MFlops
     73 :   163796.63 MFlops
     74 :   140947.48 MFlops
     75 :   160714.29 MFlops
     76 :   175590.40 MFlops
     77 :   166012.00 MFlops
     78 :   172564.36 MFlops
     79 :   171491.83 MFlops
     80 :   195047.62 MFlops
     81 :   177147.00 MFlops
     82 :   191780.17 MFlops
     83 :   190595.67 MFlops
     84 :   189665.28 MFlops
     85 :   188961.54 MFlops
     86 :   203537.92 MFlops
     87 :   122512.19 MFlops
     88 :   218071.04 MFlops
     89 :   208879.70 MFlops
     90 :   201103.45 MFlops
     91 :   207881.66 MFlops
     92 :   222482.29 MFlops
     93 :   214495.20 MFlops
     94 :   221489.07 MFlops
     95 :   228633.33 MFlops
     96 :   272226.46 MFlops
     97 :   214746.59 MFlops
     98 :   215129.60 MFlops
     99 :   228305.65 MFlops
    100 :   235294.12 MFlops
    101 :   211343.79 MFlops
    102 :   229450.38 MFlops
    103 :   230047.79 MFlops
    104 :   257111.77 MFlops
    105 :   154350.00 MFlops
    106 :   250740.21 MFlops
    107 :   245008.60 MFlops
    108 :   265202.53 MFlops
    109 :   259005.80 MFlops
    110 :   259707.32 MFlops
    111 :   260501.14 MFlops
    112 :   303768.22 MFlops
    113 :   250938.61 MFlops
    114 :   263385.60 MFlops
    115 :   276522.73 MFlops
    116 :   290399.26 MFlops
    117 :   284731.20 MFlops
    118 :   292094.58 MFlops
    119 :   286835.57 MFlops
    120 :   300521.74 MFlops
    121 :   295260.17 MFlops
    122 :   309080.51 MFlops
    123 :   201174.81 MFlops
    124 :   305059.84 MFlops
    125 :   312500.00 MFlops
    126 :   313784.47 MFlops
    127 :   315135.85 MFlops
    128 :   356962.04 MFlops
    129 :   276992.13 MFlops
    130 :   288131.15 MFlops
    131 :   285471.87 MFlops
    132 :   301635.15 MFlops
    133 :   294079.62 MFlops
    134 :   300763.00 MFlops
    135 :   298227.27 MFlops
    136 :   329895.87 MFlops
    137 :   302512.12 MFlops
    138 :   313799.64 MFlops
    139 :   311376.12 MFlops
    140 :   322823.53 MFlops
    141 :   315855.89 MFlops
    142 :   327232.91 MFlops
    143 :   212669.60 MFlops
    144 :   379172.57 MFlops
    145 :   320907.89 MFlops
    146 :   327593.26 MFlops
    147 :   317652.30 MFlops
    148 :   345791.15 MFlops
    149 :   339276.82 MFlops
    150 :   350649.35 MFlops
    151 :   353123.18 MFlops
    152 :   379654.92 MFlops
    153 :   345212.24 MFlops
    154 :   365226.40 MFlops
    155 :   358927.71 MFlops
    156 :   365919.61 MFlops
    157 :   340210.37 MFlops
    158 :   354544.90 MFlops
    159 :   357304.80 MFlops
    160 :   425558.44 MFlops
    161 :   330556.91 MFlops
    162 :   340122.24 MFlops
    163 :   343029.47 MFlops
    164 :   360077.06 MFlops
    165 :   355811.88 MFlops
    166 :   362320.48 MFlops
    167 :   354854.32 MFlops
    168 :   214311.05 MFlops
    169 :   330038.22 MFlops
    170 :   347823.01 MFlops
    171 :   338997.36 MFlops
    172 :   350927.45 MFlops
    173 :   363348.56 MFlops
    174 :   376287.43 MFlops
    175 :   382812.50 MFlops
    176 :   445042.94 MFlops
    177 :   389139.16 MFlops
    178 :   392330.57 MFlops
    179 :   392159.93 MFlops
    180 :   416571.43 MFlops
    181 :   402016.34 MFlops
    182 :   412209.78 MFlops
    183 :   383030.44 MFlops
    184 :   348503.72 MFlops
    185 :   333243.42 MFlops
    186 :   395991.14 MFlops
    187 :   373668.74 MFlops
    188 :   356760.91 MFlops
    189 :   360067.68 MFlops
    190 :   432062.99 MFlops
    191 :   409874.76 MFlops
    192 :   387829.48 MFlops
    193 :   338308.56 MFlops
    194 :   270421.63 MFlops
    195 :   325928.57 MFlops
    196 :   358549.33 MFlops
    197 :   421813.68 MFlops
    198 :   343089.15 MFlops
    199 :   360255.95 MFlops
    200 :   463768.12 MFlops
