From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.44 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      128.00 MFlops
      5 :      250.00 MFlops
      6 :      432.00 MFlops
      7 :         inf MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     2662.00 MFlops
     12 :     3456.00 MFlops
     13 :     4394.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :     2730.67 MFlops
     17 :     9826.00 MFlops
     18 :    11664.00 MFlops
     19 :    27436.00 MFlops
     20 :    16000.00 MFlops
     21 :    12348.00 MFlops
     22 :    14197.33 MFlops
     23 :    24334.00 MFlops
     24 :    18432.00 MFlops
     25 :    20833.33 MFlops
     26 :    23434.67 MFlops
     27 :    39366.00 MFlops
     28 :    17561.60 MFlops
     29 :    48778.00 MFlops
     30 :    27000.00 MFlops
     31 :    39721.33 MFlops
     32 :    21845.33 MFlops
     33 :    20535.43 MFlops
     34 :    39304.00 MFlops
     35 :    42875.00 MFlops
     36 :    46656.00 MFlops
     37 :    50653.00 MFlops
     38 :    54872.00 MFlops
     39 :    47455.20 MFlops
     40 :    64000.00 MFlops
     41 :    55136.80 MFlops
     42 :    59270.40 MFlops
     43 :    63605.60 MFlops
     44 :    68147.20 MFlops
     45 :    72900.00 MFlops
     46 :    55620.57 MFlops
     47 :    69215.33 MFlops
     48 :    88473.60 MFlops
     49 :    67228.00 MFlops
     50 :    83333.33 MFlops
     51 :    66325.50 MFlops
     52 :    80347.43 MFlops
     53 :    85072.57 MFlops
     54 :    89979.43 MFlops
     55 :    83187.50 MFlops
     56 :    54035.69 MFlops
     57 :    49384.80 MFlops
     58 :    78044.80 MFlops
     59 :    91279.56 MFlops
     60 :    72000.00 MFlops
     61 :    90792.40 MFlops
     62 :   105923.56 MFlops
     63 :   100018.80 MFlops
     64 :   116508.44 MFlops
     65 :    99863.64 MFlops
     66 :   104544.00 MFlops
     67 :   100254.33 MFlops
     68 :   104810.67 MFlops
     69 :   101079.69 MFlops
     70 :   114333.33 MFlops
     71 :   110126.46 MFlops
     72 :    64912.70 MFlops
     73 :   111147.71 MFlops
     74 :   115778.29 MFlops
     75 :    93750.00 MFlops
     76 :   125421.71 MFlops
     77 :   130438.00 MFlops
     78 :   135586.29 MFlops
     79 :   131477.07 MFlops
     80 :   136533.33 MFlops
     81 :   125044.94 MFlops
     82 :   137842.00 MFlops
     83 :   127063.78 MFlops
     84 :   158054.40 MFlops
     85 :   144500.00 MFlops
     86 :    87731.86 MFlops
     87 :   154941.88 MFlops
     88 :   160346.35 MFlops
     89 :   117494.83 MFlops
     90 :   162000.00 MFlops
     91 :   158646.53 MFlops
     92 :   163934.32 MFlops
     93 :   153210.86 MFlops
     94 :   166116.80 MFlops
     95 :   163309.52 MFlops
     96 :   186260.21 MFlops
     97 :   152112.17 MFlops
     98 :   171125.82 MFlops
     99 :   161716.50 MFlops
    100 :   173913.04 MFlops
    101 :   158507.85 MFlops
    102 :   169793.28 MFlops
    103 :   174836.32 MFlops
    104 :   187477.33 MFlops
    105 :   185220.00 MFlops
    106 :   183233.23 MFlops
    107 :   181487.85 MFlops
    108 :   125971.20 MFlops
    109 :   191856.15 MFlops
    110 :   197185.19 MFlops
    111 :   182350.80 MFlops
    112 :   216142.77 MFlops
    113 :   199020.28 MFlops
    114 :   204350.90 MFlops
    115 :   209775.86 MFlops
    116 :   208119.47 MFlops
    117 :   213548.40 MFlops
    118 :   219070.93 MFlops
    119 :   217439.87 MFlops
    120 :   230400.00 MFlops
    121 :   221445.12 MFlops
    122 :   226981.00 MFlops
    123 :   225559.64 MFlops
    124 :   231105.94 MFlops
    125 :   229779.41 MFlops
    126 :   235338.35 MFlops
    127 :   151732.07 MFlops
    128 :   254200.24 MFlops
    129 :   225967.26 MFlops
    130 :   231263.16 MFlops
    131 :   236641.16 MFlops
    132 :   224387.12 MFlops
    133 :   229525.56 MFlops
    134 :   246779.90 MFlops
    135 :   240036.59 MFlops
    136 :   251545.60 MFlops
    137 :   244890.76 MFlops
    138 :   250292.57 MFlops
    139 :   249825.02 MFlops
    140 :   261333.33 MFlops
    141 :   254838.27 MFlops
    142 :   260298.91 MFlops
    143 :   259929.51 MFlops
    144 :   284379.43 MFlops
    145 :   265097.83 MFlops
    146 :   270620.52 MFlops
    147 :   264710.25 MFlops
    148 :   281894.96 MFlops
    149 :   181257.48 MFlops
    150 :   281250.00 MFlops
    151 :   286912.58 MFlops
    152 :   292650.67 MFlops
    153 :   286526.16 MFlops
    154 :   260876.00 MFlops
    155 :   292068.63 MFlops
    156 :   292032.00 MFlops
    157 :   281446.76 MFlops
    158 :   286859.05 MFlops
    159 :   292340.29 MFlops
    160 :   309132.08 MFlops
    161 :   273657.77 MFlops
    162 :   283435.20 MFlops
    163 :   283983.41 MFlops
    164 :   294062.93 MFlops
    165 :   289814.52 MFlops
    166 :   299953.84 MFlops
    167 :   291091.44 MFlops
    168 :   310926.69 MFlops
    169 :   271932.90 MFlops
    170 :   280742.86 MFlops
    171 :   273984.16 MFlops
    172 :   308390.79 MFlops
    173 :   287650.94 MFlops
    174 :   309883.76 MFlops
    175 :   315257.35 MFlops
    176 :   200065.17 MFlops
    177 :   308068.50 MFlops
    178 :   313319.56 MFlops
    179 :   310018.32 MFlops
    180 :   343058.82 MFlops
    181 :   300240.05 MFlops
    182 :   325868.54 MFlops
    183 :   326852.64 MFlops
    184 :   361130.67 MFlops
    185 :   312672.84 MFlops
    186 :   313895.41 MFlops
    187 :   315142.31 MFlops
    188 :   340752.41 MFlops
    189 :   337563.45 MFlops
    190 :   338716.05 MFlops
    191 :   339896.15 MFlops
    192 :   393216.00 MFlops
    193 :   296455.96 MFlops
    194 :   328152.09 MFlops
    195 :   325928.57 MFlops
    196 :   338406.11 MFlops
    197 :   321910.44 MFlops
    198 :   341204.04 MFlops
    199 :   338950.49 MFlops
    200 :   355555.56 MFlops
