From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.67 MFlops  0.000006000 sec
      2 :         inf MFlops  0.000000000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :       64.00 MFlops  0.000001000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :      144.00 MFlops  0.000001000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :      256.00 MFlops  0.000001000 sec
      9 :      324.00 MFlops  0.000001000 sec
     10 :      400.00 MFlops  0.000001000 sec
     11 :      484.00 MFlops  0.000001000 sec
     12 :      576.00 MFlops  0.000001000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :      578.00 MFlops  0.000002000 sec
     18 :     1296.00 MFlops  0.000001000 sec
     19 :     1444.00 MFlops  0.000001000 sec
     20 :     1600.00 MFlops  0.000001000 sec
     21 :     1764.00 MFlops  0.000001000 sec
     22 :     1936.00 MFlops  0.000001000 sec
     23 :     2116.00 MFlops  0.000001000 sec
     24 :     2304.00 MFlops  0.000001000 sec
     25 :     2500.00 MFlops  0.000001000 sec
     26 :     2704.00 MFlops  0.000001000 sec
     27 :     2916.00 MFlops  0.000001000 sec
     28 :     1568.00 MFlops  0.000002000 sec
     29 :     1682.00 MFlops  0.000002000 sec
     30 :     3600.00 MFlops  0.000001000 sec
     31 :     3844.00 MFlops  0.000001000 sec
     32 :     4096.00 MFlops  0.000001000 sec
     33 :     2178.00 MFlops  0.000002000 sec
     34 :     2312.00 MFlops  0.000002000 sec
     35 :     2450.00 MFlops  0.000002000 sec
     36 :     5184.00 MFlops  0.000001000 sec
     37 :     2738.00 MFlops  0.000002000 sec
     38 :     2888.00 MFlops  0.000002000 sec
     39 :     6084.00 MFlops  0.000001000 sec
     40 :     3200.00 MFlops  0.000002000 sec
     41 :     3362.00 MFlops  0.000002000 sec
     42 :     3528.00 MFlops  0.000002000 sec
     43 :     3698.00 MFlops  0.000002000 sec
     44 :     3872.00 MFlops  0.000002000 sec
     45 :     4050.00 MFlops  0.000002000 sec
     46 :     4232.00 MFlops  0.000002000 sec
     47 :     4418.00 MFlops  0.000002000 sec
     48 :     9216.00 MFlops  0.000001000 sec
     49 :     4802.00 MFlops  0.000002000 sec
     50 :     5000.00 MFlops  0.000002000 sec
     51 :     5202.00 MFlops  0.000002000 sec
     52 :     5408.00 MFlops  0.000002000 sec
     53 :     3745.33 MFlops  0.000003000 sec
     54 :     5832.00 MFlops  0.000002000 sec
     55 :     6050.00 MFlops  0.000002000 sec
     56 :     6272.00 MFlops  0.000002000 sec
     57 :     6498.00 MFlops  0.000002000 sec
     58 :     6728.00 MFlops  0.000002000 sec
     59 :     6962.00 MFlops  0.000002000 sec
     60 :     4800.00 MFlops  0.000003000 sec
     61 :     7442.00 MFlops  0.000002000 sec
     62 :     5125.33 MFlops  0.000003000 sec
     63 :     5292.00 MFlops  0.000003000 sec
     64 :     5461.33 MFlops  0.000003000 sec
     65 :     5633.33 MFlops  0.000003000 sec
     66 :     5808.00 MFlops  0.000003000 sec
     67 :     5985.33 MFlops  0.000003000 sec
     68 :     6165.33 MFlops  0.000003000 sec
     69 :     6348.00 MFlops  0.000003000 sec
     70 :     6533.33 MFlops  0.000003000 sec
     71 :     6721.33 MFlops  0.000003000 sec
     72 :     5184.00 MFlops  0.000004000 sec
     73 :     5329.00 MFlops  0.000004000 sec
     74 :     7301.33 MFlops  0.000003000 sec
     75 :     5625.00 MFlops  0.000004000 sec
     76 :     7701.33 MFlops  0.000003000 sec
     77 :     5929.00 MFlops  0.000004000 sec
     78 :     6084.00 MFlops  0.000004000 sec
     79 :     6241.00 MFlops  0.000004000 sec
     80 :     6400.00 MFlops  0.000004000 sec
     81 :     6561.00 MFlops  0.000004000 sec
     82 :     8965.33 MFlops  0.000003000 sec
     83 :     6889.00 MFlops  0.000004000 sec
     84 :     7056.00 MFlops  0.000004000 sec
     85 :     7225.00 MFlops  0.000004000 sec
     86 :     9861.33 MFlops  0.000003000 sec
     87 :    10092.00 MFlops  0.000003000 sec
     88 :     7744.00 MFlops  0.000004000 sec
     89 :     7921.00 MFlops  0.000004000 sec
     90 :     8100.00 MFlops  0.000004000 sec
     91 :     6624.80 MFlops  0.000005000 sec
     92 :     6771.20 MFlops  0.000005000 sec
     93 :     8649.00 MFlops  0.000004000 sec
     94 :    11781.33 MFlops  0.000003000 sec
     95 :     9025.00 MFlops  0.000004000 sec
     96 :     9216.00 MFlops  0.000004000 sec
     97 :     9409.00 MFlops  0.000004000 sec
     98 :     9604.00 MFlops  0.000004000 sec
     99 :     7840.80 MFlops  0.000005000 sec
    100 :    10000.00 MFlops  0.000004000 sec
    101 :     8160.80 MFlops  0.000005000 sec
    102 :    10404.00 MFlops  0.000004000 sec
    103 :    10609.00 MFlops  0.000004000 sec
    104 :    10816.00 MFlops  0.000004000 sec
    105 :     8820.00 MFlops  0.000005000 sec
    106 :    11236.00 MFlops  0.000004000 sec
    107 :    11449.00 MFlops  0.000004000 sec
    108 :       40.43 MFlops  0.001154000 sec
    109 :    15841.33 MFlops  0.000003000 sec
    110 :      185.44 MFlops  0.000261000 sec
    111 :      966.35 MFlops  0.000051000 sec
    112 :      130.67 MFlops  0.000384000 sec
    113 :    17025.33 MFlops  0.000003000 sec
    114 :    17328.00 MFlops  0.000003000 sec
    115 :    26450.00 MFlops  0.000002000 sec
    116 :    17941.33 MFlops  0.000003000 sec
    117 :    18252.00 MFlops  0.000003000 sec
    118 :    18565.33 MFlops  0.000003000 sec
    119 :    28322.00 MFlops  0.000002000 sec
    120 :    28800.00 MFlops  0.000002000 sec
    121 :    19521.33 MFlops  0.000003000 sec
    122 :    19845.33 MFlops  0.000003000 sec
    123 :    20172.00 MFlops  0.000003000 sec
    124 :    20501.33 MFlops  0.000003000 sec
    125 :     1329.79 MFlops  0.000047000 sec
    126 :    21168.00 MFlops  0.000003000 sec
    127 :    16129.00 MFlops  0.000004000 sec
    128 :    21845.33 MFlops  0.000003000 sec
    129 :      435.06 MFlops  0.000153000 sec
    130 :    22533.33 MFlops  0.000003000 sec
    131 :    17161.00 MFlops  0.000004000 sec
    132 :    23232.00 MFlops  0.000003000 sec
    133 :    23585.33 MFlops  0.000003000 sec
    134 :      265.03 MFlops  0.000271000 sec
    135 :      102.39 MFlops  0.000712000 sec
    136 :    24661.33 MFlops  0.000003000 sec
    137 :      825.01 MFlops  0.000091000 sec
    138 :    19044.00 MFlops  0.000004000 sec
    139 :    25761.33 MFlops  0.000003000 sec
    140 :    26133.33 MFlops  0.000003000 sec
    141 :    19881.00 MFlops  0.000004000 sec
    142 :      726.63 MFlops  0.000111000 sec
    143 :     1152.06 MFlops  0.000071000 sec
    144 :      239.72 MFlops  0.000346000 sec
    145 :    16820.00 MFlops  0.000005000 sec
    146 :    14210.67 MFlops  0.000006000 sec
    147 :    14406.00 MFlops  0.000006000 sec
    148 :      248.20 MFlops  0.000353000 sec
    149 :       50.37 MFlops  0.001763000 sec
    150 :    18000.00 MFlops  0.000005000 sec
    151 :    18240.80 MFlops  0.000005000 sec
    152 :    18483.20 MFlops  0.000005000 sec
    153 :    18727.20 MFlops  0.000005000 sec
    154 :    18972.80 MFlops  0.000005000 sec
    155 :     3844.00 MFlops  0.000025000 sec
    156 :     1946.88 MFlops  0.000050000 sec
    157 :       83.13 MFlops  0.001186000 sec
    158 :    19971.20 MFlops  0.000005000 sec
    159 :    20224.80 MFlops  0.000005000 sec
    160 :    20480.00 MFlops  0.000005000 sec
    161 :    17280.67 MFlops  0.000006000 sec
    162 :      889.63 MFlops  0.000118000 sec
    163 :      281.15 MFlops  0.000378000 sec
    164 :      348.17 MFlops  0.000309000 sec
    165 :    27225.00 MFlops  0.000004000 sec
    166 :      359.04 MFlops  0.000307000 sec
    167 :       53.00 MFlops  0.002105000 sec
    168 :      110.68 MFlops  0.001020000 sec
    169 :       45.59 MFlops  0.002506000 sec
    170 :       42.36 MFlops  0.002729000 sec
    171 :    19494.00 MFlops  0.000006000 sec
    172 :    19722.67 MFlops  0.000006000 sec
    173 :    19952.67 MFlops  0.000006000 sec
    174 :    20184.00 MFlops  0.000006000 sec
    175 :    20416.67 MFlops  0.000006000 sec
    176 :    24780.80 MFlops  0.000005000 sec
    177 :    25063.20 MFlops  0.000005000 sec
    178 :    21122.67 MFlops  0.000006000 sec
    179 :      113.42 MFlops  0.001130000 sec
    180 :      174.43 MFlops  0.000743000 sec
    181 :      239.57 MFlops  0.000547000 sec
    182 :       81.79 MFlops  0.001620000 sec
    183 :     1575.95 MFlops  0.000085000 sec
    184 :    33856.00 MFlops  0.000004000 sec
    185 :      450.33 MFlops  0.000304000 sec
    186 :       16.12 MFlops  0.008586000 sec
    187 :      204.20 MFlops  0.000685000 sec
    188 :       18.23 MFlops  0.007754000 sec
    189 :      299.55 MFlops  0.000477000 sec
    190 :      176.96 MFlops  0.000816000 sec
    191 :    20846.29 MFlops  0.000007000 sec
    192 :    24576.00 MFlops  0.000006000 sec
    193 :    29799.20 MFlops  0.000005000 sec
    194 :    30108.80 MFlops  0.000005000 sec
    195 :    30420.00 MFlops  0.000005000 sec
    196 :    30732.80 MFlops  0.000005000 sec
    197 :    31047.20 MFlops  0.000005000 sec
    198 :    31363.20 MFlops  0.000005000 sec
    199 :    31680.80 MFlops  0.000005000 sec
    200 :    32000.00 MFlops  0.000005000 sec
