From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.00 MFlops    0.002249 sec
      2 :       32.00 MFlops    0.000001 sec
      3 :      108.00 MFlops    0.000001 sec
      4 :         inf MFlops    0.000000 sec
      5 :      500.00 MFlops    0.000001 sec
      6 :         inf MFlops    0.000000 sec
      7 :     1372.00 MFlops    0.000001 sec
      8 :     2048.00 MFlops    0.000001 sec
      9 :     2916.00 MFlops    0.000001 sec
     10 :     4000.00 MFlops    0.000001 sec
     11 :     2662.00 MFlops    0.000002 sec
     12 :     3456.00 MFlops    0.000002 sec
     13 :     4394.00 MFlops    0.000002 sec
     14 :     5488.00 MFlops    0.000002 sec
     15 :     6750.00 MFlops    0.000002 sec
     16 :     8192.00 MFlops    0.000002 sec
     17 :     9826.00 MFlops    0.000002 sec
     18 :     7776.00 MFlops    0.000003 sec
     19 :     9145.33 MFlops    0.000003 sec
     20 :    10666.67 MFlops    0.000003 sec
     21 :     9261.00 MFlops    0.000004 sec
     22 :     8518.40 MFlops    0.000005 sec
     23 :       27.75 MFlops    0.001754 sec
     24 :      850.71 MFlops    0.000065 sec
     25 :    20833.33 MFlops    0.000003 sec
     26 :    23434.67 MFlops    0.000003 sec
     27 :    19683.00 MFlops    0.000004 sec
     28 :    29269.33 MFlops    0.000003 sec
     29 :    24389.00 MFlops    0.000004 sec
     30 :    27000.00 MFlops    0.000004 sec
     31 :    39721.33 MFlops    0.000003 sec
     32 :    43690.67 MFlops    0.000003 sec
     33 :    35937.00 MFlops    0.000004 sec
     34 :    39304.00 MFlops    0.000004 sec
     35 :    34300.00 MFlops    0.000005 sec
     36 :    37324.80 MFlops    0.000005 sec
     37 :    33768.67 MFlops    0.000006 sec
     38 :    36581.33 MFlops    0.000006 sec
     39 :    39546.00 MFlops    0.000006 sec
     40 :    36571.43 MFlops    0.000007 sec
     41 :    39383.43 MFlops    0.000007 sec
     42 :    42336.00 MFlops    0.000007 sec
     43 :    39753.50 MFlops    0.000008 sec
     44 :    42592.00 MFlops    0.000008 sec
     45 :    40500.00 MFlops    0.000009 sec
     46 :    43260.44 MFlops    0.000009 sec
     47 :    46143.56 MFlops    0.000009 sec
     48 :    29491.20 MFlops    0.000015 sec
     49 :    47059.60 MFlops    0.000010 sec
     50 :    50000.00 MFlops    0.000010 sec
     51 :    48236.73 MFlops    0.000011 sec
     52 :    46869.33 MFlops    0.000012 sec
     53 :    54137.09 MFlops    0.000011 sec
     54 :    52488.00 MFlops    0.000012 sec
     55 :    60500.00 MFlops    0.000011 sec
     56 :    54035.69 MFlops    0.000013 sec
     57 :    61731.00 MFlops    0.000012 sec
     58 :    60034.46 MFlops    0.000013 sec
     59 :    68459.67 MFlops    0.000012 sec
     60 :    61714.29 MFlops    0.000014 sec
     61 :    69840.31 MFlops    0.000013 sec
     62 :    68093.71 MFlops    0.000014 sec
     63 :    66679.20 MFlops    0.000015 sec
     64 :    69905.07 MFlops    0.000015 sec
     65 :    54925.00 MFlops    0.000020 sec
     66 :    76665.60 MFlops    0.000015 sec
     67 :    70767.76 MFlops    0.000017 sec
     68 :    66196.21 MFlops    0.000019 sec
     69 :    77296.24 MFlops    0.000017 sec
     70 :    72210.53 MFlops    0.000019 sec
     71 :    79535.78 MFlops    0.000018 sec
     72 :    40351.14 MFlops    0.000037 sec
     73 :    77803.40 MFlops    0.000020 sec
     74 :    81044.80 MFlops    0.000020 sec
     75 :    80357.14 MFlops    0.000021 sec
     76 :    76343.65 MFlops    0.000023 sec
     77 :    83006.00 MFlops    0.000022 sec
     78 :    19173.82 MFlops    0.000099 sec
     79 :     1053.50 MFlops    0.001872 sec
     80 :     2183.37 MFlops    0.000938 sec
     81 :     1636.46 MFlops    0.001299 sec
     82 :     3173.34 MFlops    0.000695 sec
     83 :    13778.00 MFlops    0.000166 sec
     84 :    91185.23 MFlops    0.000026 sec
     85 :    94480.77 MFlops    0.000026 sec
     86 :    97854.77 MFlops    0.000026 sec
     87 :    94071.86 MFlops    0.000028 sec
     88 :    97353.14 MFlops    0.000028 sec
     89 :   100709.86 MFlops    0.000028 sec
     90 :   100551.72 MFlops    0.000029 sec
     91 :   103940.83 MFlops    0.000029 sec
     92 :   103825.07 MFlops    0.000030 sec
     93 :   103788.00 MFlops    0.000031 sec
     94 :    89792.86 MFlops    0.000037 sec
     95 :   103924.24 MFlops    0.000033 sec
     96 :   107240.73 MFlops    0.000033 sec
     97 :   104305.49 MFlops    0.000035 sec
     98 :    57041.94 MFlops    0.000066 sec
     99 :   102136.74 MFlops    0.000038 sec
    100 :     4028.20 MFlops    0.000993 sec
    101 :      951.34 MFlops    0.004332 sec
    102 :    88434.00 MFlops    0.000048 sec
    103 :     3657.66 MFlops    0.001195 sec
    104 :    69222.40 MFlops    0.000065 sec
    105 :    84190.91 MFlops    0.000055 sec
    106 :    97225.80 MFlops    0.000049 sec
    107 :   100003.51 MFlops    0.000049 sec
    108 :    93312.00 MFlops    0.000054 sec
    109 :   103602.32 MFlops    0.000050 sec
    110 :   100452.83 MFlops    0.000053 sec
    111 :   105202.38 MFlops    0.000052 sec
    112 :    89201.78 MFlops    0.000063 sec
    113 :    29904.60 MFlops    0.000193 sec
    114 :    97150.43 MFlops    0.000061 sec
    115 :   103110.17 MFlops    0.000059 sec
    116 :   111492.57 MFlops    0.000056 sec
    117 :   114400.93 MFlops    0.000056 sec
    118 :   113312.55 MFlops    0.000058 sec
    119 :   116217.86 MFlops    0.000058 sec
    120 :   108000.00 MFlops    0.000064 sec
    121 :   118104.07 MFlops    0.000060 sec
    122 :   121056.53 MFlops    0.000060 sec
    123 :   120055.94 MFlops    0.000062 sec
    124 :     2159.26 MFlops    0.003532 sec
    125 :    32964.14 MFlops    0.000237 sec
    126 :     3400.55 MFlops    0.002353 sec
    127 :   110723.41 MFlops    0.000074 sec
    128 :   104857.60 MFlops    0.000080 sec
    129 :   102223.29 MFlops    0.000084 sec
