From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        2.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :     1372.00 MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     3456.00 MFlops
     13 :     2929.33 MFlops
     14 :     3658.67 MFlops
     15 :     4500.00 MFlops
     16 :     4096.00 MFlops
     17 :     4913.00 MFlops
     18 :     4665.60 MFlops
     19 :     4572.67 MFlops
     20 :     4571.43 MFlops
     21 :     4630.50 MFlops
     22 :     4732.44 MFlops
     23 :     5407.56 MFlops
     24 :     5529.60 MFlops
     25 :     5681.82 MFlops
     26 :     5858.67 MFlops
     27 :     6056.31 MFlops
     28 :     6272.00 MFlops
     29 :     6097.25 MFlops
     30 :     6352.94 MFlops
     31 :     6271.79 MFlops
     32 :     6553.60 MFlops
     33 :     6845.14 MFlops
     34 :     6835.48 MFlops
     35 :     6860.00 MFlops
     36 :     7177.85 MFlops
     37 :     7236.14 MFlops
     38 :     7316.27 MFlops
     39 :     7414.87 MFlops
     40 :     7529.41 MFlops
     41 :     7657.89 MFlops
     42 :     7798.74 MFlops
     43 :     7756.78 MFlops
     44 :     7744.00 MFlops
     45 :     7923.91 MFlops
     46 :     7786.88 MFlops
     47 :     7986.38 MFlops
     48 :     7899.43 MFlops
     49 :     7976.20 MFlops
     50 :     8064.52 MFlops
     51 :     8163.14 MFlops
     52 :     8034.74 MFlops
     53 :     8270.94 MFlops
     54 :     8179.95 MFlops
     55 :     7738.37 MFlops
     56 :     8168.19 MFlops
     57 :     8323.28 MFlops
     58 :     8302.64 MFlops
     59 :     8382.82 MFlops
     60 :     8388.35 MFlops
     61 :     8329.58 MFlops
     62 :     8436.39 MFlops
     63 :     8404.94 MFlops
     64 :     8456.26 MFlops
     65 :    10363.21 MFlops
     66 :    11734.53 MFlops
     67 :    12152.04 MFlops
     68 :    12330.67 MFlops
     69 :    12055.38 MFlops
     70 :    12587.16 MFlops
     71 :    11930.37 MFlops
     72 :    12338.78 MFlops
     73 :    12650.96 MFlops
     74 :    12663.25 MFlops
     75 :    12881.68 MFlops
     76 :    13302.30 MFlops
     77 :    13427.44 MFlops
     78 :    13367.66 MFlops
     79 :    13601.08 MFlops
     80 :    13744.97 MFlops
     81 :    13286.02 MFlops
     82 :    13784.20 MFlops
     83 :    13946.02 MFlops
     84 :    14028.50 MFlops
     85 :    13878.53 MFlops
     86 :    14293.39 MFlops
     87 :    14315.28 MFlops
     88 :    14499.40 MFlops
     89 :    14460.90 MFlops
     90 :    14580.00 MFlops
     91 :    14491.75 MFlops
     92 :    14623.25 MFlops
     93 :    13928.26 MFlops
     94 :    14831.86 MFlops
     95 :    14910.87 MFlops
     96 :    14807.30 MFlops
     97 :    14961.85 MFlops
     98 :    14880.51 MFlops
     99 :    14813.73 MFlops
    100 :    14925.37 MFlops
    101 :    14986.20 MFlops
    102 :    14999.41 MFlops
    103 :    15176.76 MFlops
    104 :    15200.86 MFlops
    105 :    15332.78 MFlops
    106 :    15318.53 MFlops
    107 :    15313.04 MFlops
    108 :    15315.65 MFlops
    109 :    14928.29 MFlops
    110 :    15567.25 MFlops
    111 :    15497.24 MFlops
    112 :    15524.07 MFlops
    113 :    15598.89 MFlops
    114 :    15677.71 MFlops
    115 :    15719.64 MFlops
    116 :    15806.54 MFlops
    117 :    15779.44 MFlops
    118 :    15836.45 MFlops
    119 :    15897.73 MFlops
    120 :    15926.27 MFlops
    121 :    15782.28 MFlops
    122 :    15928.49 MFlops
    123 :    16007.46 MFlops
    124 :    16055.78 MFlops
    125 :    16075.10 MFlops
    126 :    16099.61 MFlops
    127 :    16097.31 MFlops
    128 :    16288.56 MFlops
    129 :    18997.25 MFlops
    130 :    22885.42 MFlops
    131 :    22939.70 MFlops
    132 :    22828.47 MFlops
    133 :    22841.14 MFlops
    134 :    23024.92 MFlops
    135 :    23265.96 MFlops
    136 :    23563.99 MFlops
    137 :    23536.41 MFlops
    138 :    23729.77 MFlops
    139 :    23661.84 MFlops
    140 :    23402.99 MFlops
    141 :    24113.73 MFlops
    142 :    24162.77 MFlops
    143 :    24267.28 MFlops
    144 :    24831.47 MFlops
    145 :    24437.88 MFlops
    146 :    24650.58 MFlops
    147 :    24576.58 MFlops
    148 :    24793.82 MFlops
    149 :    24189.76 MFlops
    150 :    25139.66 MFlops
    151 :    25131.03 MFlops
    152 :    25494.07 MFlops
    153 :    25446.37 MFlops
    154 :    25407.05 MFlops
