From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        0.36 MFlops :       0.00 Sec : 130
      2 :        6.79 MFlops :       0.00 Sec : 260
      3 :       88.86 MFlops :       0.00 Sec : 390
      4 :      168.51 MFlops :       0.00 Sec : 520
      5 :      219.42 MFlops :       0.00 Sec : 650
      6 :      247.27 MFlops :       0.00 Sec : 780
      7 :      451.56 MFlops :       0.00 Sec : 910
      8 :      499.29 MFlops :       0.00 Sec : 1040
      9 :      639.82 MFlops :       0.00 Sec : 1170
     10 :      731.39 MFlops :       0.00 Sec : 1300
     11 :      730.11 MFlops :       0.00 Sec : 1430
     12 :      798.21 MFlops :       0.00 Sec : 4271
     13 :      933.02 MFlops :       0.00 Sec : 4272
     14 :      976.34 MFlops :       0.00 Sec : 4273
     15 :     1083.70 MFlops :       0.00 Sec : 4274
     16 :     1037.00 MFlops :       0.00 Sec : 4275
     17 :     1280.79 MFlops :       0.00 Sec : 4276
     18 :     1383.39 MFlops :       0.00 Sec : 4277
     19 :     1433.31 MFlops :       0.00 Sec : 4278
     20 :     1473.01 MFlops :       0.00 Sec : 4279
     21 :     1604.22 MFlops :       0.00 Sec : 4280
     22 :     1540.45 MFlops :       0.00 Sec : 4281
     23 :     1634.48 MFlops :       0.00 Sec : 4282
     24 :     1708.85 MFlops :       0.00 Sec : 4283
     25 :     1750.66 MFlops :       0.00 Sec : 4284
     26 :     1944.44 MFlops :       0.00 Sec : 4285
     27 :     1824.84 MFlops :       0.00 Sec : 4286
     28 :     1972.68 MFlops :       0.00 Sec : 4287
     29 :      266.24 MFlops :       0.00 Sec : 4288
     30 :     1947.70 MFlops :       0.00 Sec : 4355
     31 :     2058.78 MFlops :       0.00 Sec : 4356
     32 :     2025.31 MFlops :       0.00 Sec : 4357
     33 :      381.08 MFlops :       0.00 Sec : 4358
     34 :     1594.57 MFlops :       0.00 Sec : 4420
     35 :     2150.28 MFlops :       0.00 Sec : 4550
     36 :     2344.37 MFlops :       0.00 Sec : 4680
     37 :     2460.69 MFlops :       0.00 Sec : 4810
     38 :     2448.78 MFlops :       0.00 Sec : 4940
