From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        4.39 MFlops :       0.00 Sec : 34
      2 :       26.33 MFlops :       0.00 Sec : 68
      3 :      101.56 MFlops :       0.00 Sec : 102
      4 :      337.02 MFlops :       0.00 Sec : 136
      5 :      548.54 MFlops :       0.00 Sec : 170
      6 :      812.47 MFlops :       0.00 Sec : 204
      7 :      821.02 MFlops :       0.00 Sec : 238
      8 :     1123.41 MFlops :       0.00 Sec : 272
      9 :     1066.36 MFlops :       0.00 Sec : 306
     10 :     1462.78 MFlops :       0.00 Sec : 340
     11 :     1946.96 MFlops :       0.00 Sec : 374
     12 :     1895.76 MFlops :       0.00 Sec : 408
     13 :     2410.29 MFlops :       0.00 Sec : 442
     14 :     2257.80 MFlops :       0.00 Sec : 476
     15 :     2776.99 MFlops :       0.00 Sec : 510
     16 :     2838.10 MFlops :       0.00 Sec : 544
     17 :     3079.98 MFlops :       0.00 Sec : 578
     18 :     3199.09 MFlops :       0.00 Sec : 612
     19 :     3407.50 MFlops :       0.00 Sec : 646
     20 :     3631.72 MFlops :       0.00 Sec : 680
     21 :     3386.70 MFlops :       0.00 Sec : 714
     22 :     3840.57 MFlops :       0.00 Sec : 748
     23 :     3859.72 MFlops :       0.00 Sec : 782
     24 :     3956.37 MFlops :       0.00 Sec : 816
     25 :     4423.72 MFlops :       0.00 Sec : 850
     26 :     4581.94 MFlops :       0.00 Sec : 884
     27 :     4506.55 MFlops :       0.00 Sec : 918
     28 :     5070.14 MFlops :       0.00 Sec : 952
     29 :     5016.89 MFlops :       0.00 Sec : 986
     30 :     4771.21 MFlops :       0.00 Sec : 1020
     31 :     5264.41 MFlops :       0.00 Sec : 1054
     32 :     5426.30 MFlops :       0.00 Sec : 1088
     33 :     5376.26 MFlops :       0.00 Sec : 1122
     34 :     6051.90 MFlops :       0.00 Sec : 1156
     35 :     5480.09 MFlops :       0.00 Sec : 1190
     36 :     6051.49 MFlops :       0.00 Sec : 1224
     37 :     6007.63 MFlops :       0.00 Sec : 1258
     38 :     5970.16 MFlops :       0.00 Sec : 1292
     39 :     6101.05 MFlops :       0.00 Sec : 1326
     40 :     6556.89 MFlops :       0.00 Sec : 1360
     41 :     6301.01 MFlops :       0.00 Sec : 1394
     42 :     6212.54 MFlops :       0.00 Sec : 1428
     43 :     7193.88 MFlops :       0.00 Sec : 1462
     44 :     6943.95 MFlops :       0.00 Sec : 1496
     45 :     6796.94 MFlops :       0.00 Sec : 1530
     46 :     7138.88 MFlops :       0.00 Sec : 1564
     47 :     6834.15 MFlops :       0.00 Sec : 1598
     48 :     7485.57 MFlops :       0.00 Sec : 1632
     49 :     7763.65 MFlops :       0.00 Sec : 1666
     50 :     7836.31 MFlops :       0.00 Sec : 1700
     51 :     7479.02 MFlops :       0.00 Sec : 1734
     52 :     7633.42 MFlops :       0.00 Sec : 1768
     53 :     7762.24 MFlops :       0.00 Sec : 1802
     54 :     7621.37 MFlops :       0.00 Sec : 1836
     55 :     7964.82 MFlops :       0.00 Sec : 1870
     56 :     7617.74 MFlops :       0.00 Sec : 1904
     57 :     7814.31 MFlops :       0.00 Sec : 1938
     58 :     7644.79 MFlops :       0.00 Sec : 1972
