From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :         inf MFlops   0.000000 sec
      2x2 :         inf MFlops   0.000000 sec
      3x3 :         inf MFlops   0.000000 sec
      4x4 :         inf MFlops   0.000000 sec
      5x5 :         inf MFlops   0.000000 sec
      6x6 :         inf MFlops   0.000000 sec
      7x7 :         inf MFlops   0.000000 sec
      8x8 :         inf MFlops   0.000000 sec
      9x9 :         inf MFlops   0.000000 sec
     10x10 :         inf MFlops   0.000000 sec
     11x11 :      242.00 MFlops   0.000001 sec
     12x12 :         inf MFlops   0.000000 sec
     13x13 :         inf MFlops   0.000000 sec
     14x14 :      392.00 MFlops   0.000001 sec
     15x15 :         inf MFlops   0.000000 sec
     16x16 :         inf MFlops   0.000000 sec
     17x17 :         inf MFlops   0.000000 sec
     18x18 :         inf MFlops   0.000000 sec
     19x19 :         inf MFlops   0.000000 sec
     20x20 :         inf MFlops   0.000000 sec
     21x21 :         inf MFlops   0.000000 sec
     22x22 :         inf MFlops   0.000000 sec
     23x23 :         inf MFlops   0.000000 sec
     24x24 :         inf MFlops   0.000000 sec
     25x25 :         inf MFlops   0.000000 sec
     26x26 :         inf MFlops   0.000000 sec
     27x27 :     1458.00 MFlops   0.000001 sec
     28x28 :     1568.00 MFlops   0.000001 sec
     29x29 :         inf MFlops   0.000000 sec
     30x30 :         inf MFlops   0.000000 sec
     31x31 :         inf MFlops   0.000000 sec
     32x32 :     2048.00 MFlops   0.000001 sec
     33x33 :         inf MFlops   0.000000 sec
     34x34 :         inf MFlops   0.000000 sec
     35x35 :         inf MFlops   0.000000 sec
     36x36 :         inf MFlops   0.000000 sec
     37x37 :         inf MFlops   0.000000 sec
     38x38 :         inf MFlops   0.000000 sec
     39x39 :         inf MFlops   0.000000 sec
     40x40 :         inf MFlops   0.000000 sec
     41x41 :         inf MFlops   0.000000 sec
     42x42 :         inf MFlops   0.000000 sec
     43x43 :     3698.00 MFlops   0.000001 sec
     44x44 :     3872.00 MFlops   0.000001 sec
     45x45 :         inf MFlops   0.000000 sec
     46x46 :         inf MFlops   0.000000 sec
     47x47 :         inf MFlops   0.000000 sec
     48x48 :         inf MFlops   0.000000 sec
     49x49 :         inf MFlops   0.000000 sec
     50x50 :     5000.00 MFlops   0.000001 sec
     51x51 :     5202.00 MFlops   0.000001 sec
     52x52 :     5408.00 MFlops   0.000001 sec
     53x53 :         inf MFlops   0.000000 sec
     54x54 :         inf MFlops   0.000000 sec
     55x55 :     6050.00 MFlops   0.000001 sec
     56x56 :     6272.00 MFlops   0.000001 sec
     57x57 :     6498.00 MFlops   0.000001 sec
     58x58 :     6728.00 MFlops   0.000001 sec
     59x59 :         inf MFlops   0.000000 sec
     60x60 :     7200.00 MFlops   0.000001 sec
     61x61 :     7442.00 MFlops   0.000001 sec
     62x62 :     7688.00 MFlops   0.000001 sec
     63x63 :         inf MFlops   0.000000 sec
     64x64 :     8192.00 MFlops   0.000001 sec
     65x65 :         inf MFlops   0.000000 sec
     66x66 :     8712.00 MFlops   0.000001 sec
     67x67 :         inf MFlops   0.000000 sec
     68x68 :     9248.00 MFlops   0.000001 sec
     69x69 :     9522.00 MFlops   0.000001 sec
     70x70 :     9800.00 MFlops   0.000001 sec
     71x71 :    10082.00 MFlops   0.000001 sec
     72x72 :    10368.00 MFlops   0.000001 sec
     73x73 :    10658.00 MFlops   0.000001 sec
     74x74 :    10952.00 MFlops   0.000001 sec
     75x75 :    11250.00 MFlops   0.000001 sec
     76x76 :    11552.00 MFlops   0.000001 sec
     77x77 :    11858.00 MFlops   0.000001 sec
     78x78 :    12168.00 MFlops   0.000001 sec
     79x79 :    12482.00 MFlops   0.000001 sec
     80x80 :    12800.00 MFlops   0.000001 sec
     81x81 :    13122.00 MFlops   0.000001 sec
     82x82 :    13448.00 MFlops   0.000001 sec
     83x83 :    13778.00 MFlops   0.000001 sec
     84x84 :    14112.00 MFlops   0.000001 sec
     85x85 :    14450.00 MFlops   0.000001 sec
     86x86 :    14792.00 MFlops   0.000001 sec
     87x87 :    15138.00 MFlops   0.000001 sec
     88x88 :    15488.00 MFlops   0.000001 sec
     89x89 :     7921.00 MFlops   0.000002 sec
     90x90 :     8100.00 MFlops   0.000002 sec
     91x91 :    16562.00 MFlops   0.000001 sec
     92x92 :     8464.00 MFlops   0.000002 sec
     93x93 :    17298.00 MFlops   0.000001 sec
     94x94 :    17672.00 MFlops   0.000001 sec
     95x95 :    18050.00 MFlops   0.000001 sec
     96x96 :     3686.40 MFlops   0.000005 sec
     97x97 :     3136.33 MFlops   0.000006 sec
     98x98 :     3201.33 MFlops   0.000006 sec
     99x99 :     3267.00 MFlops   0.000006 sec
    100x100 :     4000.00 MFlops   0.000005 sec
    101x101 :     2914.57 MFlops   0.000007 sec
    102x102 :     3468.00 MFlops   0.000006 sec
    103x103 :     3536.33 MFlops   0.000006 sec
    104x104 :     3605.33 MFlops   0.000006 sec
    105x105 :     3150.00 MFlops   0.000007 sec
    106x106 :     3745.33 MFlops   0.000006 sec
    107x107 :     3816.33 MFlops   0.000006 sec
    108x108 :     3332.57 MFlops   0.000007 sec
    109x109 :     3394.57 MFlops   0.000007 sec
    110x110 :     4033.33 MFlops   0.000006 sec
    111x111 :     3520.29 MFlops   0.000007 sec
    112x112 :     3584.00 MFlops   0.000007 sec
    113x113 :      240.92 MFlops   0.000106 sec
    114x114 :     3713.14 MFlops   0.000007 sec
    115x115 :     3778.57 MFlops   0.000007 sec
    116x116 :     3844.57 MFlops   0.000007 sec
    117x117 :     3422.25 MFlops   0.000008 sec
    118x118 :     3481.00 MFlops   0.000008 sec
    119x119 :     3540.25 MFlops   0.000008 sec
    120x120 :     3600.00 MFlops   0.000008 sec
    121x121 :     3253.56 MFlops   0.000009 sec
    122x122 :     3307.56 MFlops   0.000009 sec
    123x123 :     3362.00 MFlops   0.000009 sec
    124x124 :     3416.89 MFlops   0.000009 sec
    125x125 :     3472.22 MFlops   0.000009 sec
    126x126 :     3969.00 MFlops   0.000008 sec
    127x127 :     4608.29 MFlops   0.000007 sec
    128x128 :     4681.14 MFlops   0.000007 sec
    129x129 :     4160.25 MFlops   0.000008 sec
    130x130 :     3755.56 MFlops   0.000009 sec
    131x131 :     4290.25 MFlops   0.000008 sec
