From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :         inf MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :         inf MFlops
     25x25 :     1250.00 MFlops
     26x26 :         inf MFlops
     27x27 :     1458.00 MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :     1800.00 MFlops
     31x31 :         inf MFlops
     32x32 :     2048.00 MFlops
     33x33 :         inf MFlops
     34x34 :         inf MFlops
     35x35 :     2450.00 MFlops
     36x36 :         inf MFlops
     37x37 :     2738.00 MFlops
     38x38 :         inf MFlops
     39x39 :     3042.00 MFlops
     40x40 :     3200.00 MFlops
     41x41 :     3362.00 MFlops
     42x42 :         inf MFlops
     43x43 :     3698.00 MFlops
     44x44 :     3872.00 MFlops
     45x45 :         inf MFlops
     46x46 :     4232.00 MFlops
     47x47 :         inf MFlops
     48x48 :     4608.00 MFlops
     49x49 :     4802.00 MFlops
     50x50 :         inf MFlops
     51x51 :         inf MFlops
     52x52 :         inf MFlops
     53x53 :         inf MFlops
     54x54 :         inf MFlops
     55x55 :         inf MFlops
     56x56 :     6272.00 MFlops
     57x57 :     6498.00 MFlops
     58x58 :         inf MFlops
     59x59 :         inf MFlops
     60x60 :     7200.00 MFlops
     61x61 :     7442.00 MFlops
     62x62 :     7688.00 MFlops
     63x63 :         inf MFlops
     64x64 :     8192.00 MFlops
     65x65 :     8450.00 MFlops
     66x66 :     8712.00 MFlops
     67x67 :     8978.00 MFlops
     68x68 :     9248.00 MFlops
     69x69 :     9522.00 MFlops
     70x70 :     9800.00 MFlops
     71x71 :    10082.00 MFlops
     72x72 :    10368.00 MFlops
     73x73 :    10658.00 MFlops
     74x74 :    10952.00 MFlops
     75x75 :    11250.00 MFlops
     76x76 :    11552.00 MFlops
     77x77 :    11858.00 MFlops
     78x78 :    12168.00 MFlops
     79x79 :    12482.00 MFlops
     80x80 :    12800.00 MFlops
     81x81 :    13122.00 MFlops
     82x82 :    13448.00 MFlops
     83x83 :     6889.00 MFlops
     84x84 :    14112.00 MFlops
     85x85 :    14450.00 MFlops
     86x86 :    14792.00 MFlops
     87x87 :    15138.00 MFlops
     88x88 :    15488.00 MFlops
     89x89 :    15842.00 MFlops
     90x90 :    16200.00 MFlops
     91x91 :     8281.00 MFlops
     92x92 :     8464.00 MFlops
     93x93 :     8649.00 MFlops
     94x94 :     8836.00 MFlops
     95x95 :     9025.00 MFlops
     96x96 :     9216.00 MFlops
     97x97 :     9409.00 MFlops
     98x98 :     9604.00 MFlops
     99x99 :     9801.00 MFlops
    100x100 :    10000.00 MFlops
    101x101 :    10201.00 MFlops
    102x102 :    10404.00 MFlops
