From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       1.33 MFlops   0.000002 s
 2x2 :       0.00 MFlops   0.006389 s
 3x3 :       6.55 MFlops   0.000011 s
 4x4 :       9.48 MFlops   0.000018 s
 5x5 :      19.61 MFlops   0.000017 s
 6x6 :      32.00 MFlops   0.000018 s
 7x7 :      70.36 MFlops   0.000013 s
 8x8 :     113.78 MFlops   0.000012 s
 9x9 :     388.80 MFlops   0.000005 s
 10x10 :     156.86 MFlops   0.000017 s
 11x11 :     322.67 MFlops   0.000011 s
 12x12 :     384.00 MFlops   0.000012 s
 13x13 :     390.58 MFlops   0.000015 s
 14x14 :     457.33 MFlops   0.000016 s
 15x15 :     562.50 MFlops   0.000016 s
 16x16 :     642.51 MFlops   0.000017 s
 17x17 :     655.07 MFlops   0.000020 s
 18x18 :     676.17 MFlops   0.000023 s
 19x19 :     762.11 MFlops   0.000024 s
 20x20 :     888.89 MFlops   0.000024 s
 21x21 :     882.00 MFlops   0.000028 s
 22x22 :     946.49 MFlops   0.000030 s
 23x23 :    1046.62 MFlops   0.000031 s
 24x24 :    1152.00 MFlops   0.000032 s
 25x25 :    1157.41 MFlops   0.000036 s
 26x26 :    1143.15 MFlops   0.000041 s
 27x27 :    1280.20 MFlops   0.000041 s
 28x28 :    1330.42 MFlops   0.000044 s
 29x29 :    1327.29 MFlops   0.000049 s
 30x30 :       5.57 MFlops   0.012928 s
 31x31 :    2206.74 MFlops   0.000036 s
 32x32 :    2496.61 MFlops   0.000035 s
 33x33 :    2590.05 MFlops   0.000037 s
 34x34 :    2687.45 MFlops   0.000039 s
 35x35 :    2788.62 MFlops   0.000041 s
 36x36 :    3034.54 MFlops   0.000041 s
 37x37 :    3141.27 MFlops   0.000043 s
 38x38 :    3180.99 MFlops   0.000046 s
 39x39 :    3365.62 MFlops   0.000047 s
 40x40 :    3631.21 MFlops   0.000047 s
 41x41 :    3675.79 MFlops   0.000050 s
 42x42 :    4116.00 MFlops   0.000048 s
 43x43 :    4077.28 MFlops   0.000052 s
 44x44 :    4454.07 MFlops   0.000051 s
 45x45 :    4500.00 MFlops   0.000054 s
 46x46 :    4255.13 MFlops   0.000061 s
 47x47 :    4614.36 MFlops   0.000060 s
 48x48 :    5084.69 MFlops   0.000058 s
 49x49 :    4826.63 MFlops   0.000065 s
 50x50 :    5208.33 MFlops   0.000064 s
