From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       0.19 MFlops   0.000014 s
 2x2 :      21.33 MFlops   0.000001 s
 3x3 :      72.00 MFlops   0.000001 s
 4x4 :        inf MFlops   0.000000 s
 5x5 :     333.33 MFlops   0.000001 s
 6x6 :        inf MFlops   0.000000 s
 7x7 :     914.67 MFlops   0.000001 s
 8x8 :    1365.33 MFlops   0.000001 s
 9x9 :    1944.00 MFlops   0.000001 s
 10x10 :    1333.33 MFlops   0.000002 s
 11x11 :    1774.67 MFlops   0.000002 s
 12x12 :    2304.00 MFlops   0.000002 s
 13x13 :    2929.33 MFlops   0.000002 s
 14x14 :    3658.67 MFlops   0.000002 s
 15x15 :    4500.00 MFlops   0.000002 s
 16x16 :    3640.89 MFlops   0.000003 s
 17x17 :    4367.11 MFlops   0.000003 s
 18x18 :    5184.00 MFlops   0.000003 s
 19x19 :    4572.67 MFlops   0.000004 s
 20x20 :    5333.33 MFlops   0.000004 s
 21x21 :    4939.20 MFlops   0.000005 s
 22x22 :    5678.93 MFlops   0.000005 s
 23x23 :    5407.56 MFlops   0.000006 s
 24x24 :    4096.00 MFlops   0.000009 s
 25x25 :    5952.38 MFlops   0.000007 s
 26x26 :    6695.62 MFlops   0.000007 s
 27x27 :    7498.29 MFlops   0.000007 s
 28x28 :    8362.67 MFlops   0.000007 s
 29x29 :    9291.05 MFlops   0.000007 s
 30x30 :    9000.00 MFlops   0.000008 s
 31x31 :    9930.33 MFlops   0.000008 s
 32x32 :    7281.78 MFlops   0.000012 s
 33x33 :    7371.69 MFlops   0.000013 s
 34x34 :    8734.22 MFlops   0.000012 s
 35x35 :    9527.78 MFlops   0.000012 s
 36x36 :   10368.00 MFlops   0.000012 s
 37x37 :   10390.36 MFlops   0.000013 s
 38x38 :   10451.81 MFlops   0.000014 s
 39x39 :   11298.86 MFlops   0.000014 s
 40x40 :   13128.21 MFlops   0.000013 s
 41x41 :   12252.62 MFlops   0.000015 s
 42x42 :   13171.20 MFlops   0.000015 s
 43x43 :   13251.17 MFlops   0.000016 s
 44x44 :   15143.82 MFlops   0.000015 s
 45x45 :   14294.12 MFlops   0.000017 s
 46x46 :   13661.19 MFlops   0.000019 s
 47x47 :   14571.65 MFlops   0.000019 s
 48x48 :   18432.00 MFlops   0.000016 s
 49x49 :   16512.14 MFlops   0.000019 s
 50x50 :   16666.67 MFlops   0.000020 s
 51x51 :   16078.91 MFlops   0.000022 s
 52x52 :   18747.73 MFlops   0.000020 s
 53x53 :   18045.70 MFlops   0.000022 s
 54x54 :   19086.55 MFlops   0.000022 s
 55x55 :   18486.11 MFlops   0.000024 s
 56x56 :   23415.47 MFlops   0.000020 s
 57x57 :   20577.00 MFlops   0.000024 s
 58x58 :   20811.95 MFlops   0.000025 s
 59x59 :   19559.90 MFlops   0.000028 s
 60x60 :   21333.33 MFlops   0.000027 s
 61x61 :   21617.24 MFlops   0.000028 s
 62x62 :   21184.71 MFlops   0.000030 s
 63x63 :   21509.42 MFlops   0.000031 s
 64x64 :   29127.11 MFlops   0.000024 s
 65x65 :   17436.51 MFlops   0.000042 s
 66x66 :   21904.46 MFlops   0.000035 s
 67x67 :   21676.61 MFlops   0.000037 s
 68x68 :   23291.26 MFlops   0.000036 s
 69x69 :   23053.26 MFlops   0.000038 s
 70x70 :   23452.99 MFlops   0.000039 s
 71x71 :   23860.73 MFlops   0.000040 s
 72x72 :   30161.45 MFlops   0.000033 s
 73x73 :   23576.79 MFlops   0.000044 s
 74x74 :   25728.51 MFlops   0.000042 s
 75x75 :   25568.18 MFlops   0.000044 s
 76x76 :   28551.28 MFlops   0.000041 s
 77x77 :   26465.68 MFlops   0.000046 s
 78x78 :   28121.60 MFlops   0.000045 s
 79x79 :   26832.05 MFlops   0.000049 s
 80x80 :   35008.55 MFlops   0.000039 s
 81x81 :   25306.71 MFlops   0.000056 s
 82x82 :   29406.29 MFlops   0.000050 s
 83x83 :   28236.40 MFlops   0.000054 s
 84x84 :   30991.06 MFlops   0.000051 s
 85x85 :   28235.63 MFlops   0.000058 s
 86x86 :   30288.38 MFlops   0.000056 s
 87x87 :   29762.85 MFlops   0.000059 s
 88x88 :   39505.62 MFlops   0.000046 s
 89x89 :   30818.32 MFlops   0.000061 s
 90x90 :   33517.24 MFlops   0.000058 s
 91x91 :   32411.66 MFlops   0.000062 s
 92x92 :   35801.75 MFlops   0.000058 s
 93x93 :   31543.41 MFlops   0.000068 s
 94x94 :   35156.99 MFlops   0.000063 s
 95x95 :   34641.41 MFlops   0.000066 s
 96x96 :   48148.90 MFlops   0.000049 s
 97x97 :   31607.72 MFlops   0.000077 s
 98x98 :   33464.60 MFlops   0.000075 s
 99x99 :   32343.30 MFlops   0.000080 s
