From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        0.67 MFlops :       0.00 Sec : 64
      2 :       10.00 MFlops :       0.00 Sec : 128
      3 :       32.00 MFlops :       0.00 Sec : 192
      4 :       76.00 MFlops :       0.00 Sec : 256
      5 :      150.00 MFlops :       0.00 Sec : 320
      6 :      262.00 MFlops :       0.00 Sec : 384
      7 :      210.00 MFlops :       0.00 Sec : 448
      8 :      316.00 MFlops :       0.00 Sec : 512
      9 :      453.00 MFlops :       0.00 Sec : 576
     10 :      625.00 MFlops :       0.00 Sec : 640
     11 :      557.33 MFlops :       0.00 Sec : 704
     12 :      726.67 MFlops :       0.00 Sec : 768
     13 :      927.33 MFlops :       0.00 Sec : 832
     14 :      871.50 MFlops :       0.00 Sec : 896
     15 :     1433.33 MFlops :       0.00 Sec : 960
     16 :     1308.00 MFlops :       0.00 Sec : 1024
     17 :     1258.00 MFlops :       0.00 Sec : 1088
     18 :     1496.40 MFlops :       0.00 Sec : 1152
     19 :     1469.33 MFlops :       0.00 Sec : 1216
     20 :     1716.67 MFlops :       0.00 Sec : 1280
     21 :     1706.00 MFlops :       0.00 Sec : 1344
     22 :     1964.29 MFlops :       0.00 Sec : 1408
     23 :     1966.50 MFlops :       0.00 Sec : 1472
     24 :     1988.44 MFlops :       0.00 Sec : 1536
     25 :     2025.00 MFlops :       0.00 Sec : 1600
     26 :     2280.20 MFlops :       0.00 Sec : 1664
     27 :     2130.00 MFlops :       0.00 Sec : 1728
     28 :     2377.67 MFlops :       0.00 Sec : 1792
     29 :     2266.14 MFlops :       0.00 Sec : 1856
     30 :     2510.71 MFlops :       0.00 Sec : 1920
     31 :     2772.29 MFlops :       0.00 Sec : 1984
     32 :     3286.15 MFlops :       0.00 Sec : 2048
     33 :     3348.71 MFlops :       0.00 Sec : 2112
     34 :     3664.71 MFlops :       0.00 Sec : 2176
     35 :     3500.00 MFlops :       0.00 Sec : 2240
     36 :     4064.80 MFlops :       0.00 Sec : 2304
     37 :     4139.37 MFlops :       0.00 Sec : 2368
     38 :     3987.89 MFlops :       0.00 Sec : 2432
     39 :     2156.56 MFlops :       0.00 Sec : 2496
     40 :     2539.39 MFlops :       0.00 Sec : 2560
