From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        0.40 MFlops :       0.00 Sec : 64
      2 :       10.00 MFlops :       0.00 Sec : 128
      3 :       32.00 MFlops :       0.00 Sec : 192
      4 :         inf MFlops :       0.00 Sec : 256
      5 :      150.00 MFlops :       0.00 Sec : 320
      6 :      262.00 MFlops :       0.00 Sec : 384
      7 :      420.00 MFlops :       0.00 Sec : 448
      8 :      316.00 MFlops :       0.00 Sec : 512
      9 :      906.00 MFlops :       0.00 Sec : 576
     10 :      625.00 MFlops :       0.00 Sec : 640
     11 :      836.00 MFlops :       0.00 Sec : 704
     12 :     2180.00 MFlops :       0.00 Sec : 768
     13 :     1391.00 MFlops :       0.00 Sec : 832
     14 :     1743.00 MFlops :       0.00 Sec : 896
     15 :     2150.00 MFlops :       0.00 Sec : 960
     16 :     2616.00 MFlops :       0.00 Sec : 1024
     17 :     2096.67 MFlops :       0.00 Sec : 1088
     18 :     2494.00 MFlops :       0.00 Sec : 1152
     19 :     2938.67 MFlops :       0.00 Sec : 1216
     20 :     3433.33 MFlops :       0.00 Sec : 1280
     21 :     3980.67 MFlops :       0.00 Sec : 1344
     22 :     3437.50 MFlops :       0.00 Sec : 1408
     23 :     3933.00 MFlops :       0.00 Sec : 1472
     24 :     4474.00 MFlops :       0.00 Sec : 1536
     25 :     4050.00 MFlops :       0.00 Sec : 1600
     26 :     4560.40 MFlops :       0.00 Sec : 1664
     27 :     4260.00 MFlops :       0.00 Sec : 1728
     28 :     5706.40 MFlops :       0.00 Sec : 1792
     29 :     5287.67 MFlops :       0.00 Sec : 1856
     30 :     5858.33 MFlops :       0.00 Sec : 1920
     31 :     5544.57 MFlops :       0.00 Sec : 1984
     32 :     6102.86 MFlops :       0.00 Sec : 2048
     33 :     5209.11 MFlops :       0.00 Sec : 2112
     34 :     5700.67 MFlops :       0.00 Sec : 2176
     35 :     5600.00 MFlops :       0.00 Sec : 2240
     36 :     6774.67 MFlops :       0.00 Sec : 2304
     37 :     6020.91 MFlops :       0.00 Sec : 2368
     38 :     7178.20 MFlops :       0.00 Sec : 2432
     39 :     6469.67 MFlops :       0.00 Sec : 2496
     40 :     6983.33 MFlops :       0.00 Sec : 2560
