From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.03 MFlops       2.00 MFlops       0.12 MFlops
      2 :   8.881784e-16        5.33 MFlops        inf MFlops      13.33 MFlops
      3 :   6.661338e-16       18.00 MFlops      18.00 MFlops      18.00 MFlops
      4 :   2.220446e-16       42.67 MFlops        inf MFlops      74.67 MFlops
      5 :   1.110223e-15       83.33 MFlops        inf MFlops     133.33 MFlops
      6 :   9.992007e-16      144.00 MFlops      72.00 MFlops     108.00 MFlops
      7 :   8.881784e-16      114.33 MFlops        inf MFlops     163.33 MFlops
      8 :   1.221245e-15      341.33 MFlops     128.00 MFlops     234.67 MFlops
      9 :   7.771561e-16      243.00 MFlops        inf MFlops     324.00 MFlops
     10 :   1.443290e-15        0.31 MFlops     200.00 MFlops       0.40 MFlops
     11 :   6.661338e-16      110.92 MFlops     242.00 MFlops     125.48 MFlops
     12 :   3.552714e-15      164.57 MFlops     288.00 MFlops     180.00 MFlops
     13 :   4.996004e-15      104.62 MFlops     169.00 MFlops     112.67 MFlops
     14 :   1.398881e-14      114.33 MFlops     196.00 MFlops     123.41 MFlops
     15 :   1.065814e-14      140.62 MFlops     450.00 MFlops     158.82 MFlops
     16 :   3.175238e-14      143.72 MFlops     512.00 MFlops     162.13 MFlops
     17 :   2.220446e-15      163.77 MFlops     289.00 MFlops     175.15 MFlops
     18 :   6.106227e-15      277.71 MFlops     648.00 MFlops     302.40 MFlops
     19 :   1.842970e-14      304.84 MFlops     722.00 MFlops     330.92 MFlops
     20 :   3.663736e-15      355.56 MFlops     400.00 MFlops     360.78 MFlops
     21 :   6.217249e-15      363.18 MFlops     441.00 MFlops     371.37 MFlops
     22 :   1.232348e-14      373.61 MFlops     484.00 MFlops     384.13 MFlops
     23 :   8.437695e-15      426.91 MFlops     529.00 MFlops     436.63 MFlops
     24 :   5.639933e-14      485.05 MFlops     576.00 MFlops     493.71 MFlops
     25 :   3.774758e-15      473.48 MFlops     625.00 MFlops     486.11 MFlops
     26 :   4.485301e-14      488.22 MFlops     676.00 MFlops     502.67 MFlops
     27 :   5.107026e-15      524.88 MFlops     729.00 MFlops     540.00 MFlops
     28 :   1.065814e-14      585.39 MFlops     784.00 MFlops     600.10 MFlops
     29 :   2.886580e-15      560.67 MFlops     841.00 MFlops     578.75 MFlops
     30 :   6.661338e-15      580.65 MFlops     600.00 MFlops     582.35 MFlops
     31 :   1.154632e-14      551.69 MFlops     961.00 MFlops     573.23 MFlops
     32 :   4.440892e-15      682.67 MFlops     682.67 MFlops     682.67 MFlops
     33 :   1.636469e-13      684.51 MFlops     726.00 MFlops     687.79 MFlops
     34 :   1.609823e-14      671.86 MFlops     770.67 MFlops     678.92 MFlops
     35 :   6.883383e-15      752.19 MFlops     816.67 MFlops     756.91 MFlops
     36 :   5.773160e-15      777.60 MFlops    1296.00 MFlops     802.29 MFlops
     37 :   4.635181e-13      785.32 MFlops     912.67 MFlops     793.62 MFlops
     38 :   6.217249e-15      831.39 MFlops     962.67 MFlops     839.77 MFlops
     39 :   9.769963e-15      878.80 MFlops    1014.00 MFlops     887.25 MFlops
     40 :   2.220446e-14      870.75 MFlops    1066.67 MFlops     882.05 MFlops
     41 :   3.552714e-15      918.95 MFlops    1120.67 MFlops     930.36 MFlops
     42 :   2.420286e-14     1050.89 MFlops    1176.00 MFlops    1058.40 MFlops
     43 :   3.219647e-15     1152.28 MFlops     924.50 MFlops    1134.05 MFlops
     44 :   4.607426e-14     1234.55 MFlops    1290.67 MFlops    1237.99 MFlops
     45 :   6.217249e-15     1215.00 MFlops    1350.00 MFlops    1222.64 MFlops
     46 :   1.865175e-14      940.44 MFlops    1410.67 MFlops     960.04 MFlops
     47 :   1.132427e-14     1305.95 MFlops    1104.50 MFlops    1291.81 MFlops
     48 :   8.437695e-15     1340.51 MFlops     921.60 MFlops    1305.60 MFlops
     49 :   3.610445e-13     1400.58 MFlops    1200.50 MFlops    1387.24 MFlops
     50 :   1.421085e-14     1436.78 MFlops    1250.00 MFlops    1424.73 MFlops
     51 :   7.327472e-15     1449.74 MFlops    1300.50 MFlops    1440.55 MFlops
     52 :   1.054712e-14     1588.79 MFlops    1352.00 MFlops    1573.76 MFlops
     53 :   1.834088e-13     1575.42 MFlops    1404.50 MFlops    1565.21 MFlops
     54 :   1.123546e-13     1590.55 MFlops    1458.00 MFlops    1582.97 MFlops
     55 :   9.992007e-15     1498.87 MFlops    1512.50 MFlops    1499.57 MFlops
     56 :   1.805223e-13     1747.42 MFlops    1254.40 MFlops    1713.19 MFlops
     57 :   2.671197e-13     1691.26 MFlops    1624.50 MFlops    1687.79 MFlops
     58 :   8.326673e-14     1757.77 MFlops    1345.60 MFlops    1731.68 MFlops
     59 :   4.152234e-14     1733.16 MFlops    1392.40 MFlops    1712.87 MFlops
     60 :   6.994405e-15     1822.78 MFlops    1800.00 MFlops    1821.69 MFlops
     61 :   1.088019e-13     1845.37 MFlops    1488.40 MFlops    1824.86 MFlops
     62 :   5.273559e-14     1937.63 MFlops    1922.00 MFlops    1936.90 MFlops
     63 :   4.329870e-14     1618.43 MFlops    1323.00 MFlops    1602.17 MFlops
     64 :   6.417089e-14     1747.63 MFlops    1365.33 MFlops    1725.99 MFlops
     65 :   9.547918e-15     1743.65 MFlops    1207.14 MFlops    1710.12 MFlops
     66 :   1.132427e-14     1742.40 MFlops    1089.00 MFlops    1698.10 MFlops
     67 :   1.987299e-14     1856.56 MFlops    1122.25 MFlops    1805.92 MFlops
     68 :   2.409184e-14     1940.94 MFlops    1156.00 MFlops    1886.80 MFlops
     69 :   1.576517e-14     1921.11 MFlops    1360.29 MFlops    1888.66 MFlops
     70 :   1.132427e-14       16.20 MFlops    1225.00 MFlops      16.88 MFlops
     71 :   9.436896e-15     2459.87 MFlops    1120.22 MFlops    2346.13 MFlops
     72 :   5.095924e-14     2565.28 MFlops    1728.00 MFlops    2516.50 MFlops
     73 :   4.318768e-14     1906.95 MFlops    1522.57 MFlops    1888.13 MFlops
     74 :   7.549517e-15     2308.97 MFlops    1369.00 MFlops    2248.81 MFlops
     75 :   1.065814e-14     2383.47 MFlops    1250.00 MFlops    2303.15 MFlops
     76 :   2.220446e-14     2480.09 MFlops    1650.29 MFlops    2433.62 MFlops
     77 :   1.398881e-14     2536.29 MFlops    1694.00 MFlops    2489.87 MFlops
     78 :   3.685940e-14     2593.18 MFlops    1521.00 MFlops    2527.20 MFlops
     79 :   3.130829e-14     2650.75 MFlops    1248.20 MFlops    2546.08 MFlops
     80 :   9.325873e-15     2687.66 MFlops    1280.00 MFlops    2584.91 MFlops
     81 :   4.440892e-14     2684.05 MFlops    1458.00 MFlops    2605.79 MFlops
     82 :   1.643130e-14     3012.94 MFlops    1344.80 MFlops    2886.57 MFlops
     83 :   1.532108e-14     2558.33 MFlops    1377.80 MFlops    2484.08 MFlops
     84 :   2.875478e-14     3466.11 MFlops    1568.00 MFlops    3327.22 MFlops
     85 :   2.253753e-14     3328.59 MFlops    1806.25 MFlops    3235.62 MFlops
     86 :   2.076117e-14     3533.64 MFlops    1479.20 MFlops    3375.61 MFlops
     87 :   2.253753e-14     3569.12 MFlops    1376.18 MFlops    3389.10 MFlops
     88 :   1.687539e-14     3605.67 MFlops    1720.89 MFlops    3480.02 MFlops
     89 :   3.530509e-14     3615.23 MFlops    1584.20 MFlops    3470.15 MFlops
     90 :   1.953993e-14     3681.82 MFlops    1620.00 MFlops    3536.62 MFlops
     91 :   3.754774e-13     3537.89 MFlops    1380.17 MFlops    3369.76 MFlops
     92 :   2.997602e-14     3761.78 MFlops    1692.80 MFlops    3621.98 MFlops
     93 :   5.306866e-14     3857.83 MFlops    1729.80 MFlops    3715.01 MFlops
     94 :   3.197442e-14     3872.19 MFlops    1606.55 MFlops    3710.35 MFlops
     95 :   6.850076e-14     3914.95 MFlops    1504.17 MFlops    3731.86 MFlops
     96 :   8.659740e-14     3985.30 MFlops    1675.64 MFlops    3825.51 MFlops
     97 :   8.393286e-14     4002.95 MFlops    1710.73 MFlops    3848.26 MFlops
     98 :   2.486900e-14     4128.04 MFlops    1746.18 MFlops    3967.30 MFlops
     99 :   5.582201e-13     3850.39 MFlops    1507.85 MFlops    3682.14 MFlops
    100 :   1.387779e-13     4357.30 MFlops    1818.18 MFlops    4186.99 MFlops
    101 :   3.874678e-14     4374.95 MFlops    1854.73 MFlops    4209.94 MFlops
    102 :   3.286260e-14     4624.00 MFlops    1734.00 MFlops    4413.82 MFlops
    103 :   1.010303e-13     4730.42 MFlops    1515.57 MFlops    4462.52 MFlops
    104 :   3.752554e-14     4901.37 MFlops    1802.67 MFlops    4676.01 MFlops
    105 :   8.792966e-14       62.44 MFlops    1696.15 MFlops      64.16 MFlops
    106 :   3.552714e-14     4931.74 MFlops    1605.14 MFlops    4665.62 MFlops
    107 :   3.586020e-14     4562.54 MFlops    1635.57 MFlops    4350.22 MFlops
    108 :   1.443290e-14     5059.08 MFlops    1944.00 MFlops    4849.08 MFlops
    109 :   6.139533e-14     5048.85 MFlops    1827.85 MFlops    4821.28 MFlops
    110 :   1.398881e-14     5129.09 MFlops    1861.54 MFlops    4900.72 MFlops
    111 :   1.494360e-13     4748.72 MFlops    1760.14 MFlops    4545.61 MFlops
    112 :   3.863576e-14     5352.11 MFlops    1929.85 MFlops    5115.46 MFlops
    113 :   1.052491e-13     3472.68 MFlops    1824.14 MFlops    3393.37 MFlops
    114 :   1.099121e-13     5397.25 MFlops    1856.57 MFlops    5145.62 MFlops
    115 :   2.098322e-14     5422.01 MFlops    1763.33 MFlops    5150.33 MFlops
    116 :   4.007905e-13     5564.69 MFlops    1794.13 MFlops    5284.70 MFlops
