From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.07 MFlops       0.40 MFlops       0.19 MFlops
      2 :   6.883383e-15         inf MFlops        inf MFlops        inf MFlops
      3 :   2.220446e-16       18.00 MFlops        inf MFlops      36.00 MFlops
      4 :   2.220446e-16         inf MFlops      32.00 MFlops      74.67 MFlops
      5 :   8.881784e-16         inf MFlops        inf MFlops        inf MFlops
      6 :   8.881784e-16      144.00 MFlops        inf MFlops     216.00 MFlops
      7 :   4.440892e-16         inf MFlops      98.00 MFlops     326.67 MFlops
      8 :   1.110223e-15      341.33 MFlops        inf MFlops     469.33 MFlops
      9 :   9.992007e-16      486.00 MFlops        inf MFlops     648.00 MFlops
     10 :   5.551115e-16         inf MFlops        inf MFlops        inf MFlops
     11 :   1.332268e-15      887.33 MFlops        inf MFlops    1129.33 MFlops
     12 :   2.886580e-15     1152.00 MFlops        inf MFlops    1440.00 MFlops
     13 :   1.110223e-15     1464.67 MFlops        inf MFlops    1802.67 MFlops
     14 :   1.332268e-15     1829.33 MFlops     392.00 MFlops    1110.67 MFlops
     15 :   5.773160e-15     2250.00 MFlops     450.00 MFlops    1350.00 MFlops
     16 :   1.176836e-14     1365.33 MFlops        inf MFlops    1621.33 MFlops
     17 :   2.664535e-15     1637.67 MFlops     578.00 MFlops    1284.44 MFlops
     18 :   3.219647e-15     1944.00 MFlops        inf MFlops    2268.00 MFlops
     19 :   3.586020e-14     2286.33 MFlops     722.00 MFlops    1764.89 MFlops
     20 :   2.442491e-15     1777.78 MFlops        inf MFlops    2044.44 MFlops
     21 :   6.217249e-15     3087.00 MFlops     882.00 MFlops    2352.00 MFlops
     22 :   1.687539e-14     2366.22 MFlops        inf MFlops    2688.89 MFlops
     23 :   2.664535e-15     2703.78 MFlops        inf MFlops    3056.44 MFlops
     24 :   2.620126e-14     3072.00 MFlops        inf MFlops    3456.00 MFlops
     25 :   3.996803e-15     3472.22 MFlops        inf MFlops    3888.89 MFlops
     26 :   4.618528e-14     2929.33 MFlops        inf MFlops    3267.33 MFlops
     27 :   3.552714e-15     3280.50 MFlops        inf MFlops    3645.00 MFlops
     28 :   5.329071e-15     4878.22 MFlops    1568.00 MFlops    4050.67 MFlops
     29 :   3.108624e-15     4064.83 MFlops        inf MFlops    4485.33 MFlops
     30 :   3.774758e-15     4500.00 MFlops    1800.00 MFlops    3960.00 MFlops
     31 :   1.221245e-14     4965.17 MFlops    1922.00 MFlops    4356.53 MFlops
     32 :   3.108624e-15     3640.89 MFlops    2048.00 MFlops    3413.33 MFlops
     33 :   5.939693e-14     3993.00 MFlops    2178.00 MFlops    3733.71 MFlops
     34 :   9.769963e-15     4367.11 MFlops    2312.00 MFlops    4073.52 MFlops
     35 :   3.552714e-14     4083.33 MFlops        inf MFlops    4433.33 MFlops
     36 :   1.088019e-14     5184.00 MFlops    2592.00 MFlops    4813.71 MFlops
     37 :   1.443290e-14     5628.11 MFlops    2738.00 MFlops    5215.24 MFlops
     38 :   2.864375e-14     4572.67 MFlops    2888.00 MFlops    4385.48 MFlops
     39 :   4.440892e-15     4943.25 MFlops    3042.00 MFlops    4732.00 MFlops
     40 :   3.175238e-14     6095.24 MFlops    3200.00 MFlops    5733.33 MFlops
     41 :   5.440093e-15     6563.90 MFlops    3362.00 MFlops    6163.67 MFlops
