From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops
      1 :        0.50 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :      169.00 MFlops
     14 :      196.00 MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :      289.00 MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :      400.00 MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :      676.00 MFlops
     27 :         inf MFlops
     28 :      784.00 MFlops
     29 :      841.00 MFlops
     30 :         inf MFlops
     31 :      961.00 MFlops
     32 :     1024.00 MFlops
     33 :         inf MFlops
     34 :         inf MFlops
     35 :     1225.00 MFlops
     36 :     1296.00 MFlops
     37 :         inf MFlops
     38 :     1444.00 MFlops
     39 :     1521.00 MFlops
     40 :         inf MFlops
     41 :     1681.00 MFlops
     42 :         inf MFlops
     43 :         inf MFlops
     44 :         inf MFlops
     45 :         inf MFlops
     46 :         inf MFlops
     47 :         inf MFlops
     48 :         inf MFlops
     49 :     2401.00 MFlops
     50 :     2500.00 MFlops
     51 :     2601.00 MFlops
     52 :     2704.00 MFlops
     53 :     2809.00 MFlops
     54 :     2916.00 MFlops
     55 :     3025.00 MFlops
     56 :         inf MFlops
     57 :     3249.00 MFlops
     58 :     3364.00 MFlops
     59 :     3481.00 MFlops
     60 :     3600.00 MFlops
     61 :     3721.00 MFlops
     62 :     3844.00 MFlops
     63 :     3969.00 MFlops
     64 :     4096.00 MFlops
     65 :     4225.00 MFlops
     66 :     4356.00 MFlops
     67 :     2244.50 MFlops
     68 :     2312.00 MFlops
     69 :     2380.50 MFlops
     70 :     2450.00 MFlops
     71 :     5041.00 MFlops
     72 :     2592.00 MFlops
     73 :     2664.50 MFlops
     74 :     2738.00 MFlops
     75 :     2812.50 MFlops
     76 :     2888.00 MFlops
     77 :     2964.50 MFlops
     78 :     3042.00 MFlops
     79 :     3120.50 MFlops
     80 :     3200.00 MFlops
     81 :     2187.00 MFlops
     82 :     3362.00 MFlops
     83 :      574.08 MFlops
     84 :     2352.00 MFlops
     85 :     3612.50 MFlops
     86 :     3698.00 MFlops
     87 :     2523.00 MFlops
     88 :     3872.00 MFlops
     89 :     3960.50 MFlops
     90 :     4050.00 MFlops
     91 :     4140.50 MFlops
     92 :     4232.00 MFlops
     93 :     4324.50 MFlops
     94 :     2945.33 MFlops
     95 :     3008.33 MFlops
     96 :     4608.00 MFlops
     97 :     4704.50 MFlops
     98 :     4802.00 MFlops
     99 :     4900.50 MFlops
    100 :     3333.33 MFlops
    101 :     3400.33 MFlops
    102 :     3468.00 MFlops
    103 :     5304.50 MFlops
    104 :     3605.33 MFlops
    105 :     3675.00 MFlops
    106 :     5618.00 MFlops
    107 :     5724.50 MFlops
    108 :     3888.00 MFlops
    109 :     3960.33 MFlops
    110 :     6050.00 MFlops
    111 :     6160.50 MFlops
    112 :     4181.33 MFlops
    113 :     6384.50 MFlops
    114 :     4332.00 MFlops
    115 :     4408.33 MFlops
    116 :     6728.00 MFlops
    117 :     4563.00 MFlops
    118 :     3481.00 MFlops
    119 :     4720.33 MFlops
    120 :     4800.00 MFlops
    121 :     3660.25 MFlops
    122 :     4961.33 MFlops
    123 :     5043.00 MFlops
    124 :     5125.33 MFlops
    125 :     3906.25 MFlops
    126 :     3969.00 MFlops
    127 :     4032.25 MFlops
    128 :     4096.00 MFlops
    129 :     4160.25 MFlops
    130 :     4225.00 MFlops
    131 :     4290.25 MFlops
    132 :     4356.00 MFlops
    133 :     4422.25 MFlops
    134 :     3591.20 MFlops
    135 :     3645.00 MFlops
    136 :     4624.00 MFlops
    137 :     3753.80 MFlops
