From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops
      1 :        0.50 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :       81.00 MFlops
     10 :      100.00 MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :      289.00 MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :     1024.00 MFlops
     33 :     1089.00 MFlops
     34 :         inf MFlops
     35 :         inf MFlops
     36 :         inf MFlops
     37 :         inf MFlops
     38 :         inf MFlops
     39 :         inf MFlops
     40 :     1600.00 MFlops
     41 :         inf MFlops
     42 :         inf MFlops
     43 :     1849.00 MFlops
     44 :     1936.00 MFlops
     45 :         inf MFlops
     46 :         inf MFlops
     47 :         inf MFlops
     48 :         inf MFlops
     49 :     2401.00 MFlops
     50 :         inf MFlops
     51 :     2601.00 MFlops
     52 :     2704.00 MFlops
     53 :     2809.00 MFlops
     54 :         inf MFlops
     55 :         inf MFlops
     56 :         inf MFlops
     57 :         inf MFlops
     58 :         inf MFlops
     59 :         inf MFlops
     60 :         inf MFlops
     61 :     3721.00 MFlops
     62 :         inf MFlops
     63 :     3969.00 MFlops
     64 :     4096.00 MFlops
     65 :     4225.00 MFlops
     66 :     4356.00 MFlops
     67 :     4489.00 MFlops
     68 :         inf MFlops
     69 :     4761.00 MFlops
     70 :         inf MFlops
     71 :     5041.00 MFlops
     72 :         inf MFlops
     73 :     5329.00 MFlops
     74 :     5476.00 MFlops
     75 :         inf MFlops
     76 :         inf MFlops
     77 :         inf MFlops
     78 :     6084.00 MFlops
     79 :     6241.00 MFlops
     80 :     6400.00 MFlops
     81 :     6561.00 MFlops
     82 :     6724.00 MFlops
     83 :     6889.00 MFlops
     84 :     7056.00 MFlops
     85 :     7225.00 MFlops
     86 :         inf MFlops
     87 :         inf MFlops
     88 :     7744.00 MFlops
     89 :     7921.00 MFlops
     90 :     8100.00 MFlops
     91 :     8281.00 MFlops
     92 :         inf MFlops
     93 :     8649.00 MFlops
     94 :         inf MFlops
     95 :         inf MFlops
     96 :     9216.00 MFlops
     97 :     9409.00 MFlops
     98 :     9604.00 MFlops
     99 :         inf MFlops
    100 :         inf MFlops
    101 :    10201.00 MFlops
    102 :    10404.00 MFlops
    103 :    10609.00 MFlops
    104 :    10816.00 MFlops
    105 :    11025.00 MFlops
    106 :    11236.00 MFlops
    107 :    11449.00 MFlops
    108 :    11664.00 MFlops
    109 :    11881.00 MFlops
    110 :    12100.00 MFlops
    111 :    12321.00 MFlops
    112 :    12544.00 MFlops
    113 :    12769.00 MFlops
    114 :    12996.00 MFlops
    115 :    13225.00 MFlops
    116 :    13456.00 MFlops
    117 :     6844.50 MFlops
    118 :    13924.00 MFlops
    119 :    14161.00 MFlops
    120 :    14400.00 MFlops
    121 :     7320.50 MFlops
    122 :    14884.00 MFlops
    123 :    15129.00 MFlops
    124 :    15376.00 MFlops
    125 :     7812.50 MFlops
    126 :    15876.00 MFlops
    127 :    16129.00 MFlops
    128 :     8192.00 MFlops
    129 :     8320.50 MFlops
    130 :    16900.00 MFlops
    131 :     8580.50 MFlops
    132 :    17424.00 MFlops
    133 :     8844.50 MFlops
    134 :    17956.00 MFlops
    135 :    18225.00 MFlops
    136 :     9248.00 MFlops
    137 :     9384.50 MFlops
    138 :     9522.00 MFlops
    139 :    19321.00 MFlops
    140 :     9800.00 MFlops
    141 :     9940.50 MFlops
    142 :    10082.00 MFlops
