From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops
      1 :        2.00 MFlops
      2 :        8.00 MFlops
      3 :       18.00 MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :      162.00 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :      392.00 MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :      800.00 MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :     1058.00 MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :     1568.00 MFlops
     29 :         inf MFlops
     30 :     1800.00 MFlops
     31 :         inf MFlops
     32 :         inf MFlops
     33 :     2178.00 MFlops
     34 :         inf MFlops
     35 :         inf MFlops
     36 :     2592.00 MFlops
     37 :     2738.00 MFlops
     38 :     2888.00 MFlops
     39 :     3042.00 MFlops
     40 :     3200.00 MFlops
     41 :     3362.00 MFlops
     42 :     3528.00 MFlops
     43 :     1849.00 MFlops
     44 :     1936.00 MFlops
     45 :     2025.00 MFlops
     46 :     4232.00 MFlops
     47 :     2209.00 MFlops
     48 :     4608.00 MFlops
     49 :     4802.00 MFlops
     50 :     2500.00 MFlops
     51 :     2601.00 MFlops
     52 :     2704.00 MFlops
     53 :     2809.00 MFlops
     54 :     2916.00 MFlops
     55 :     3025.00 MFlops
     56 :     2090.67 MFlops
     57 :     3249.00 MFlops
     58 :     3364.00 MFlops
     59 :     3481.00 MFlops
     60 :     3600.00 MFlops
     61 :     3721.00 MFlops
     62 :     3844.00 MFlops
     63 :     2646.00 MFlops
     64 :     4096.00 MFlops
     65 :     2816.67 MFlops
     66 :     4356.00 MFlops
     67 :     4489.00 MFlops
     68 :     4624.00 MFlops
     69 :     4761.00 MFlops
     70 :     3266.67 MFlops
     71 :     5041.00 MFlops
     72 :     5184.00 MFlops
     73 :     5329.00 MFlops
     74 :     5476.00 MFlops
     75 :     5625.00 MFlops
     76 :     5776.00 MFlops
     77 :     5929.00 MFlops
     78 :     6084.00 MFlops
     79 :     6241.00 MFlops
     80 :     6400.00 MFlops
     81 :     6561.00 MFlops
     82 :     6724.00 MFlops
     83 :     4592.67 MFlops
     84 :     4704.00 MFlops
     85 :     4816.67 MFlops
     86 :     4930.67 MFlops
     87 :     5046.00 MFlops
     88 :     5162.67 MFlops
     89 :     5280.67 MFlops
     90 :     5400.00 MFlops
     91 :      176.19 MFlops
     92 :     5642.67 MFlops
     93 :     4324.50 MFlops
     94 :     4418.00 MFlops
     95 :     4512.50 MFlops
     96 :     4608.00 MFlops
     97 :     3763.60 MFlops
     98 :     4802.00 MFlops
     99 :     3920.40 MFlops
    100 :     4000.00 MFlops
    101 :     4080.40 MFlops
    102 :     4161.60 MFlops
    103 :     3536.33 MFlops
    104 :     5408.00 MFlops
    105 :     4410.00 MFlops
    106 :     5618.00 MFlops
    107 :     4579.60 MFlops
    108 :     5832.00 MFlops
    109 :     5940.50 MFlops
    110 :     4840.00 MFlops
    111 :     4107.00 MFlops
    112 :     5017.60 MFlops
    113 :     4256.33 MFlops
    114 :     5198.40 MFlops
    115 :     4408.33 MFlops
    116 :     5382.40 MFlops
    117 :     5475.60 MFlops
    118 :     9282.67 MFlops
    119 :     4720.33 MFlops
    120 :     5760.00 MFlops
    121 :     4183.14 MFlops
    122 :     4252.57 MFlops
    123 :     5043.00 MFlops
    124 :     5125.33 MFlops
    125 :     5208.33 MFlops
    126 :     4536.00 MFlops
    127 :     5376.33 MFlops
    128 :     6553.60 MFlops
    129 :     6656.40 MFlops
    130 :     5633.33 MFlops
    131 :     5720.33 MFlops
    132 :     5808.00 MFlops
    133 :     5896.33 MFlops
    134 :     7182.40 MFlops
    135 :     6075.00 MFlops
    136 :     9248.00 MFlops
    137 :     9384.50 MFlops
    138 :     9522.00 MFlops
    139 :     9660.50 MFlops
    140 :     9800.00 MFlops
    141 :     9940.50 MFlops
    142 :    13442.67 MFlops
    143 :    10224.50 MFlops
    144 :    10368.00 MFlops
    145 :    14016.67 MFlops
    146 :    10658.00 MFlops
    147 :    10804.50 MFlops
    148 :    14602.67 MFlops
    149 :    11100.50 MFlops
    150 :    11250.00 MFlops
    151 :    11400.50 MFlops
    152 :      423.93 MFlops
    153 :     9363.60 MFlops
    154 :     9486.40 MFlops
    155 :     9610.00 MFlops
    156 :     9734.40 MFlops
    157 :    12324.50 MFlops
    158 :    12482.00 MFlops
    159 :    10112.40 MFlops
    160 :     7314.29 MFlops
    161 :        5.26 MFlops
    162 :       14.33 MFlops
    163 :    10627.60 MFlops
    164 :    13448.00 MFlops
    165 :    13612.50 MFlops
    166 :      408.24 MFlops
    167 :    13944.50 MFlops
    168 :     3528.00 MFlops
    169 :    11424.40 MFlops
    170 :    14450.00 MFlops
    171 :    14620.50 MFlops
    172 :    14792.00 MFlops
    173 :    11971.60 MFlops
    174 :    15138.00 MFlops
    175 :    15312.50 MFlops
    176 :    15488.00 MFlops
    177 :    12531.60 MFlops
    178 :    15842.00 MFlops
    179 :    16020.50 MFlops
    180 :    12960.00 MFlops
    181 :    13104.40 MFlops
    182 :    16562.00 MFlops
    183 :    16744.50 MFlops
    184 :      231.89 MFlops
    185 :       20.43 MFlops
    186 :      142.96 MFlops
    187 :     6358.00 MFlops
    188 :     7854.22 MFlops
    189 :     8930.25 MFlops
    190 :     6016.67 MFlops
    191 :     8106.89 MFlops
    192 :     6702.55 MFlops
    193 :     8277.56 MFlops
    194 :      622.08 MFlops
    195 :     8450.00 MFlops
    196 :     8536.89 MFlops
    197 :     9702.25 MFlops
    198 :     6031.38 MFlops
    199 :     6092.46 MFlops
    200 :     6666.67 MFlops
