From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops
      1 :        2.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :      162.00 MFlops
     10 :      200.00 MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :      450.00 MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :      882.00 MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :     1352.00 MFlops
     27 :     1458.00 MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :     1922.00 MFlops
     32 :         inf MFlops
     33 :         inf MFlops
     34 :         inf MFlops
     35 :     2450.00 MFlops
     36 :         inf MFlops
     37 :         inf MFlops
     38 :         inf MFlops
     39 :     3042.00 MFlops
     40 :     3200.00 MFlops
     41 :         inf MFlops
     42 :         inf MFlops
     43 :         inf MFlops
     44 :         inf MFlops
     45 :         inf MFlops
     46 :         inf MFlops
     47 :         inf MFlops
     48 :         inf MFlops
     49 :         inf MFlops
     50 :         inf MFlops
     51 :         inf MFlops
     52 :     5408.00 MFlops
     53 :     5618.00 MFlops
     54 :     5832.00 MFlops
     55 :         inf MFlops
     56 :         inf MFlops
     57 :     6498.00 MFlops
     58 :     6728.00 MFlops
     59 :     6962.00 MFlops
     60 :     7200.00 MFlops
     61 :         inf MFlops
     62 :         inf MFlops
     63 :     7938.00 MFlops
     64 :         inf MFlops
     65 :     8450.00 MFlops
     66 :     8712.00 MFlops
     67 :     8978.00 MFlops
     68 :     9248.00 MFlops
     69 :     9522.00 MFlops
     70 :     9800.00 MFlops
     71 :    10082.00 MFlops
     72 :    10368.00 MFlops
     73 :    10658.00 MFlops
     74 :    10952.00 MFlops
     75 :    11250.00 MFlops
     76 :    11552.00 MFlops
     77 :    11858.00 MFlops
     78 :         inf MFlops
     79 :    12482.00 MFlops
     80 :    12800.00 MFlops
     81 :    13122.00 MFlops
     82 :    13448.00 MFlops
     83 :    13778.00 MFlops
     84 :    14112.00 MFlops
     85 :    14450.00 MFlops
     86 :    14792.00 MFlops
     87 :    15138.00 MFlops
     88 :    15488.00 MFlops
     89 :    15842.00 MFlops
     90 :    16200.00 MFlops
     91 :    16562.00 MFlops
     92 :    16928.00 MFlops
     93 :    17298.00 MFlops
     94 :    17672.00 MFlops
     95 :    18050.00 MFlops
     96 :    18432.00 MFlops
     97 :     9409.00 MFlops
     98 :    19208.00 MFlops
     99 :    19602.00 MFlops
    100 :    20000.00 MFlops
    101 :    20402.00 MFlops
    102 :    20808.00 MFlops
    103 :    10609.00 MFlops
    104 :    10816.00 MFlops
    105 :    22050.00 MFlops
    106 :    11236.00 MFlops
    107 :    11449.00 MFlops
    108 :    23328.00 MFlops
    109 :    23762.00 MFlops
    110 :    24200.00 MFlops
    111 :    24642.00 MFlops
    112 :    25088.00 MFlops
    113 :    12769.00 MFlops
    114 :    25992.00 MFlops
    115 :    26450.00 MFlops
    116 :    26912.00 MFlops
    117 :    13689.00 MFlops
    118 :    13924.00 MFlops
    119 :    28322.00 MFlops
    120 :    28800.00 MFlops
    121 :    14641.00 MFlops
    122 :    29768.00 MFlops
    123 :    15129.00 MFlops
    124 :    15376.00 MFlops
    125 :    15625.00 MFlops
    126 :    15876.00 MFlops
    127 :    32258.00 MFlops
    128 :    16384.00 MFlops
    129 :    16641.00 MFlops
    130 :    16900.00 MFlops
    131 :    34322.00 MFlops
    132 :    17424.00 MFlops
    133 :    17689.00 MFlops
    134 :    17956.00 MFlops
    135 :    18225.00 MFlops
    136 :    18496.00 MFlops
    137 :    18769.00 MFlops
    138 :    19044.00 MFlops
    139 :    19321.00 MFlops
    140 :    19600.00 MFlops
    141 :    19881.00 MFlops
    142 :    20164.00 MFlops
    143 :    20449.00 MFlops
    144 :    20736.00 MFlops
    145 :    21025.00 MFlops
    146 :    14210.67 MFlops
    147 :    21609.00 MFlops
    148 :    21904.00 MFlops
    149 :    22201.00 MFlops
    150 :    15000.00 MFlops
    151 :    22801.00 MFlops
    152 :    23104.00 MFlops
    153 :    15606.00 MFlops
    154 :    15810.67 MFlops
    155 :    16016.67 MFlops
    156 :    16224.00 MFlops
    157 :    24649.00 MFlops
    158 :    16642.67 MFlops
    159 :    16854.00 MFlops
    160 :    17066.67 MFlops
    161 :    17280.67 MFlops
    162 :    17496.00 MFlops
    163 :    17712.67 MFlops
