From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.40 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      128.00 MFlops
      5 :         inf MFlops
      6 :      432.00 MFlops
      7 :      686.00 MFlops
      8 :         inf MFlops
      9 :      364.50 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :     4394.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :         inf MFlops
     17 :     2456.50 MFlops
     18 :    11664.00 MFlops
     19 :    13718.00 MFlops
     20 :    16000.00 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :    12167.00 MFlops
     24 :    27648.00 MFlops
     25 :      781.25 MFlops
     26 :      117.17 MFlops
     27 :     9841.50 MFlops
     28 :    10976.00 MFlops
     29 :    12194.50 MFlops
     30 :    18000.00 MFlops
     31 :    14895.50 MFlops
     32 :    21845.33 MFlops
     33 :    17968.50 MFlops
     34 :    19652.00 MFlops
     35 :    21437.50 MFlops
     36 :    18662.40 MFlops
     37 :    20261.20 MFlops
     38 :    21948.80 MFlops
     39 :    23727.60 MFlops
     40 :    25600.00 MFlops
     41 :    22973.67 MFlops
     42 :    29635.20 MFlops
     43 :    26502.33 MFlops
     44 :    28394.67 MFlops
     45 :    36450.00 MFlops
     46 :    32445.33 MFlops
     47 :    34607.67 MFlops
     48 :    36864.00 MFlops
     49 :    33614.00 MFlops
     50 :    35714.29 MFlops
     51 :    33162.75 MFlops
     52 :    35152.00 MFlops
     53 :     2706.85 MFlops
     54 :    39366.00 MFlops
     55 :    41593.75 MFlops
     56 :    39025.78 MFlops
     57 :    21787.41 MFlops
     58 :    48778.00 MFlops
     59 :    45639.78 MFlops
     60 :    48000.00 MFlops
     61 :    37830.17 MFlops
     62 :    39721.33 MFlops
     63 :    33339.60 MFlops
     64 :    34952.53 MFlops
     65 :    27462.50 MFlops
     66 :    35937.00 MFlops
     67 :    37595.37 MFlops
     68 :    39304.00 MFlops
     69 :    38648.12 MFlops
     70 :    42875.00 MFlops
     71 :    39767.89 MFlops
     72 :    41472.00 MFlops
     73 :    37049.24 MFlops
     74 :    40522.40 MFlops
     75 :    40178.57 MFlops
     76 :    39906.91 MFlops
     77 :    43479.33 MFlops
     78 :    43141.09 MFlops
     79 :    39443.12 MFlops
     80 :    46545.45 MFlops
     81 :    42515.28 MFlops
     82 :    47945.04 MFlops
     83 :    49720.61 MFlops
     84 :    51539.48 MFlops
     85 :    51177.08 MFlops
     86 :    48927.38 MFlops
     87 :    32122.10 MFlops
     88 :    52420.92 MFlops
     89 :    54228.38 MFlops
     90 :    56076.92 MFlops
     91 :    55820.07 MFlops
     92 :    57680.59 MFlops
     93 :    59582.00 MFlops
     94 :    53586.06 MFlops
     95 :    53585.94 MFlops
     96 :    57079.74 MFlops
     97 :    58882.13 MFlops
     98 :    60722.06 MFlops
     99 :    58806.00 MFlops
    100 :    64516.13 MFlops
    101 :    62442.48 MFlops
    102 :    64315.64 MFlops
    103 :    57511.95 MFlops
    104 :    66168.47 MFlops
