From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.00 MFlops    0.001892 sec
      2 :        8.00 MFlops    0.000001 sec
      3 :       27.00 MFlops    0.000001 sec
      4 :       64.00 MFlops    0.000001 sec
      5 :         inf MFlops    0.000000 sec
      6 :      216.00 MFlops    0.000001 sec
      7 :         inf MFlops    0.000000 sec
      8 :      512.00 MFlops    0.000001 sec
      9 :      729.00 MFlops    0.000001 sec
     10 :     1000.00 MFlops    0.000001 sec
     11 :     1331.00 MFlops    0.000001 sec
     12 :     1728.00 MFlops    0.000001 sec
     13 :     2197.00 MFlops    0.000001 sec
     14 :     2744.00 MFlops    0.000001 sec
     15 :     3375.00 MFlops    0.000001 sec
     16 :     4096.00 MFlops    0.000001 sec
     17 :     2456.50 MFlops    0.000002 sec
     18 :     5832.00 MFlops    0.000001 sec
     19 :     3429.50 MFlops    0.000002 sec
     20 :     4000.00 MFlops    0.000002 sec
     21 :     4630.50 MFlops    0.000002 sec
     22 :     5324.00 MFlops    0.000002 sec
     23 :     6083.50 MFlops    0.000002 sec
     24 :     6912.00 MFlops    0.000002 sec
     25 :     7812.50 MFlops    0.000002 sec
     26 :     5858.67 MFlops    0.000003 sec
     27 :     6561.00 MFlops    0.000003 sec
     28 :     7317.33 MFlops    0.000003 sec
     29 :     6097.25 MFlops    0.000004 sec
     30 :     6750.00 MFlops    0.000004 sec
     31 :     7447.75 MFlops    0.000004 sec
     32 :        7.96 MFlops    0.004118 sec
     33 :       47.92 MFlops    0.000750 sec
     34 :    13101.33 MFlops    0.000003 sec
     35 :    14291.67 MFlops    0.000003 sec
     36 :    11664.00 MFlops    0.000004 sec
     37 :    16884.33 MFlops    0.000003 sec
     38 :    18290.67 MFlops    0.000003 sec
     39 :    14829.75 MFlops    0.000004 sec
     40 :    16000.00 MFlops    0.000004 sec
     41 :    22973.67 MFlops    0.000003 sec
     42 :    24696.00 MFlops    0.000003 sec
     43 :    19876.75 MFlops    0.000004 sec
     44 :    21296.00 MFlops    0.000004 sec
     45 :     7593.75 MFlops    0.000012 sec
     46 :    24334.00 MFlops    0.000004 sec
     47 :    20764.60 MFlops    0.000005 sec
     48 :     9216.00 MFlops    0.000012 sec
     49 :    23529.80 MFlops    0.000005 sec
     50 :    25000.00 MFlops    0.000005 sec
     51 :    22108.50 MFlops    0.000006 sec
     52 :    23434.67 MFlops    0.000006 sec
     53 :    24812.83 MFlops    0.000006 sec
     54 :    26244.00 MFlops    0.000006 sec
     55 :    23767.86 MFlops    0.000007 sec
     56 :    25088.00 MFlops    0.000007 sec
     57 :    26456.14 MFlops    0.000007 sec
     58 :    27873.14 MFlops    0.000007 sec
     59 :    14669.93 MFlops    0.000014 sec
     60 :    30857.14 MFlops    0.000007 sec
     61 :    32425.86 MFlops    0.000007 sec
     62 :    39721.33 MFlops    0.000006 sec
     63 :    35721.00 MFlops    0.000007 sec
     64 :    37449.14 MFlops    0.000007 sec
     65 :     2542.82 MFlops    0.000108 sec
     66 :      147.13 MFlops    0.001954 sec
     67 :      897.80 MFlops    0.000335 sec
     68 :    31443.20 MFlops    0.000010 sec
     69 :    36501.00 MFlops    0.000009 sec
     70 :    38111.11 MFlops    0.000009 sec
     71 :    35791.10 MFlops    0.000010 sec
     72 :    31104.00 MFlops    0.000012 sec
     73 :    35365.18 MFlops    0.000011 sec
     74 :    36838.55 MFlops    0.000011 sec
     75 :    42187.50 MFlops    0.000010 sec
     76 :    39906.91 MFlops    0.000011 sec
     77 :    38044.42 MFlops    0.000012 sec
     78 :    43141.09 MFlops    0.000011 sec
     79 :    44821.73 MFlops    0.000011 sec
     80 :    28444.44 MFlops    0.000018 sec
     81 :    44286.75 MFlops    0.000012 sec
     82 :    42412.92 MFlops    0.000013 sec
