From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.17 MFlops    0.000006 sec
      2 :         inf MFlops    0.000000 sec
      3 :         inf MFlops    0.000000 sec
      4 :         inf MFlops    0.000000 sec
      5 :         inf MFlops    0.000000 sec
      6 :         inf MFlops    0.000000 sec
      7 :         inf MFlops    0.000000 sec
      8 :         inf MFlops    0.000000 sec
      9 :         inf MFlops    0.000000 sec
     10 :         inf MFlops    0.000000 sec
     11 :         inf MFlops    0.000000 sec
     12 :         inf MFlops    0.000000 sec
     13 :         inf MFlops    0.000000 sec
     14 :         inf MFlops    0.000000 sec
     15 :         inf MFlops    0.000000 sec
     16 :         inf MFlops    0.000000 sec
     17 :         inf MFlops    0.000000 sec
     18 :     5832.00 MFlops    0.000001 sec
     19 :     6859.00 MFlops    0.000001 sec
     20 :         inf MFlops    0.000000 sec
     21 :         inf MFlops    0.000000 sec
     22 :    10648.00 MFlops    0.000001 sec
     23 :    12167.00 MFlops    0.000001 sec
     24 :     1974.86 MFlops    0.000007 sec
     25 :     5208.33 MFlops    0.000003 sec
     26 :    17576.00 MFlops    0.000001 sec
     27 :     9841.50 MFlops    0.000002 sec
     28 :    10976.00 MFlops    0.000002 sec
     29 :    24389.00 MFlops    0.000001 sec
     30 :    13500.00 MFlops    0.000002 sec
     31 :     9930.33 MFlops    0.000003 sec
     32 :    16384.00 MFlops    0.000002 sec
     33 :     7187.40 MFlops    0.000005 sec
     34 :    19652.00 MFlops    0.000002 sec
     35 :    42875.00 MFlops    0.000001 sec
     36 :    15552.00 MFlops    0.000003 sec
     37 :    25326.50 MFlops    0.000002 sec
     38 :    27436.00 MFlops    0.000002 sec
     39 :    29659.50 MFlops    0.000002 sec
     40 :    32000.00 MFlops    0.000002 sec
     41 :    34460.50 MFlops    0.000002 sec
     42 :    37044.00 MFlops    0.000002 sec
     43 :    39753.50 MFlops    0.000002 sec
     44 :    42592.00 MFlops    0.000002 sec
     45 :    45562.50 MFlops    0.000002 sec
     46 :    32445.33 MFlops    0.000003 sec
     47 :    34607.67 MFlops    0.000003 sec
     48 :   110592.00 MFlops    0.000001 sec
     49 :    58824.50 MFlops    0.000002 sec
     50 :    41666.67 MFlops    0.000003 sec
     51 :    44217.00 MFlops    0.000003 sec
     52 :    70304.00 MFlops    0.000002 sec
     53 :    49625.67 MFlops    0.000003 sec
     54 :    52488.00 MFlops    0.000003 sec
     55 :    55458.33 MFlops    0.000003 sec
     56 :    87808.00 MFlops    0.000002 sec
     57 :    37038.60 MFlops    0.000005 sec
     58 :    65037.33 MFlops    0.000003 sec
     59 :    51344.75 MFlops    0.000004 sec
     60 :    72000.00 MFlops    0.000003 sec
     61 :    56745.25 MFlops    0.000004 sec
     62 :    59582.00 MFlops    0.000004 sec
     63 :    62511.75 MFlops    0.000004 sec
     64 :   131072.00 MFlops    0.000002 sec
     65 :    68656.25 MFlops    0.000004 sec
     66 :    71874.00 MFlops    0.000004 sec
     67 :    75190.75 MFlops    0.000004 sec
     68 :    78608.00 MFlops    0.000004 sec
     69 :    65701.80 MFlops    0.000005 sec
     70 :    68600.00 MFlops    0.000005 sec
     71 :    35791.10 MFlops    0.000010 sec
     72 :    46656.00 MFlops    0.000008 sec
     73 :    55573.86 MFlops    0.000007 sec
     74 :    81044.80 MFlops    0.000005 sec
     75 :    52734.37 MFlops    0.000008 sec
     76 :    73162.67 MFlops    0.000006 sec
     77 :    76088.83 MFlops    0.000006 sec
     78 :    67793.14 MFlops    0.000007 sec
     79 :    61629.87 MFlops    0.000008 sec
     80 :   128000.00 MFlops    0.000004 sec
     81 :    75920.14 MFlops    0.000007 sec
     82 :    91894.67 MFlops    0.000006 sec
     83 :    81683.86 MFlops    0.000007 sec
     84 :    84672.00 MFlops    0.000007 sec
     85 :    61412.50 MFlops    0.000010 sec
     86 :    79507.00 MFlops    0.000008 sec
     87 :    82312.87 MFlops    0.000008 sec
     88 :   136294.40 MFlops    0.000005 sec
     89 :    88121.12 MFlops    0.000008 sec
     90 :    91125.00 MFlops    0.000008 sec
     91 :    83730.11 MFlops    0.000009 sec
     92 :    97336.00 MFlops    0.000008 sec
     93 :    73123.36 MFlops    0.000011 sec
     94 :    83058.40 MFlops    0.000010 sec
     95 :    95263.89 MFlops    0.000009 sec
     96 :   147456.00 MFlops    0.000006 sec
     97 :    91267.30 MFlops    0.000010 sec
     98 :    85562.91 MFlops    0.000011 sec
     99 :    53905.50 MFlops    0.000018 sec
    100 :   100000.00 MFlops    0.000010 sec
    101 :    85858.42 MFlops    0.000012 sec
    102 :    75800.57 MFlops    0.000014 sec
    103 :    84055.92 MFlops    0.000013 sec
    104 :   140608.00 MFlops    0.000008 sec
    105 :    96468.75 MFlops    0.000012 sec
    106 :    99251.33 MFlops    0.000012 sec
    107 :    94234.08 MFlops    0.000013 sec
    108 :   114519.27 MFlops    0.000011 sec
    109 :   107919.08 MFlops    0.000012 sec
    110 :   110916.67 MFlops    0.000012 sec
    111 :   105202.38 MFlops    0.000013 sec
    112 :   156103.11 MFlops    0.000009 sec
    113 :    96193.13 MFlops    0.000015 sec
    114 :    64414.96 MFlops    0.000023 sec
    115 :   101391.67 MFlops    0.000015 sec
    116 :   120068.92 MFlops    0.000013 sec
    117 :    94212.53 MFlops    0.000017 sec
    118 :   102689.50 MFlops    0.000016 sec
    119 :   112343.93 MFlops    0.000015 sec
    120 :   157090.91 MFlops    0.000011 sec
    121 :   110722.56 MFlops    0.000016 sec
    122 :   121056.53 MFlops    0.000015 sec
    123 :   116304.19 MFlops    0.000016 sec
    124 :   136187.43 MFlops    0.000014 sec
    125 :   122070.31 MFlops    0.000016 sec
    126 :   125023.50 MFlops    0.000016 sec
    127 :   120493.12 MFlops    0.000017 sec
    128 :   174762.67 MFlops    0.000012 sec
    129 :   112983.63 MFlops    0.000019 sec
    130 :   122055.56 MFlops    0.000018 sec
    131 :   112404.55 MFlops    0.000020 sec
    132 :   135292.24 MFlops    0.000017 sec
    133 :   123823.00 MFlops    0.000019 sec
    134 :   133672.44 MFlops    0.000018 sec
    135 :   123018.75 MFlops    0.000020 sec
    136 :   179675.43 MFlops    0.000014 sec
    137 :   128567.65 MFlops    0.000020 sec
    138 :   131403.60 MFlops    0.000020 sec
    139 :   122073.59 MFlops    0.000022 sec
    140 :   144421.05 MFlops    0.000019 sec
    141 :   133486.71 MFlops    0.000021 sec
    142 :   136347.05 MFlops    0.000021 sec
    143 :   132918.50 MFlops    0.000022 sec
    144 :   199065.60 MFlops    0.000015 sec
    145 :    84684.03 MFlops    0.000036 sec
    146 :   135310.26 MFlops    0.000023 sec
    147 :   127060.92 MFlops    0.000025 sec
    148 :   135074.67 MFlops    0.000024 sec
    149 :   132317.96 MFlops    0.000025 sec
    150 :   146739.13 MFlops    0.000023 sec
    151 :   137718.04 MFlops    0.000025 sec
    152 :   195100.44 MFlops    0.000018 sec
    153 :   137752.96 MFlops    0.000026 sec
    154 :   146090.56 MFlops    0.000025 sec
    155 :   137921.30 MFlops    0.000027 sec
    156 :   158184.00 MFlops    0.000024 sec
    157 :   138210.46 MFlops    0.000028 sec
    158 :   146085.63 MFlops    0.000027 sec
    159 :   143559.96 MFlops    0.000028 sec
    160 :   215578.95 MFlops    0.000019 sec
    161 :   139109.37 MFlops    0.000030 sec
    162 :   151840.29 MFlops    0.000028 sec
    163 :   139701.52 MFlops    0.000031 sec
    164 :   163368.30 MFlops    0.000027 sec
    165 :   140378.91 MFlops    0.000032 sec
    166 :   157734.34 MFlops    0.000029 sec
    167 :   150240.74 MFlops    0.000031 sec
    168 :   206157.91 MFlops    0.000023 sec
    169 :   141964.97 MFlops    0.000034 sec
    170 :   132783.78 MFlops    0.000037 sec
    171 :   113641.16 MFlops    0.000044 sec
    172 :   164143.48 MFlops    0.000031 sec
    173 :   101523.86 MFlops    0.000051 sec
    174 :   164625.75 MFlops    0.000032 sec
    175 :   148871.53 MFlops    0.000036 sec
    176 :   201917.63 MFlops    0.000027 sec
    177 :   142185.46 MFlops    0.000039 sec
    178 :   152425.73 MFlops    0.000037 sec
    179 :   155009.16 MFlops    0.000037 sec
    180 :   176727.27 MFlops    0.000033 sec
    181 :   156045.82 MFlops    0.000038 sec
    182 :   162934.27 MFlops    0.000037 sec
    183 :   157140.69 MFlops    0.000039 sec
    184 :   214810.48 MFlops    0.000029 sec
    185 :   158290.62 MFlops    0.000040 sec
    186 :   146246.73 MFlops    0.000044 sec
    187 :   155695.31 MFlops    0.000042 sec
    188 :   184574.22 MFlops    0.000036 sec
    189 :   168781.73 MFlops    0.000040 sec
    190 :   175871.79 MFlops    0.000039 sec
    191 :   169948.07 MFlops    0.000041 sec
    192 :   244065.10 MFlops    0.000029 sec
    193 :   163387.66 MFlops    0.000044 sec
    194 :   169799.63 MFlops    0.000043 sec
    195 :   161192.93 MFlops    0.000046 sec
    196 :   188238.40 MFlops    0.000040 sec
    197 :   141580.98 MFlops    0.000054 sec
    198 :   176418.00 MFlops    0.000044 sec
    199 :   167672.32 MFlops    0.000047 sec
    200 :   235294.12 MFlops    0.000034 sec
