From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.33 MFlops  0.000003000 sec
      2 :         inf MFlops  0.000000000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :      256.00 MFlops  0.000001000 sec
     17 :      289.00 MFlops  0.000001000 sec
     18 :      324.00 MFlops  0.000001000 sec
     19 :         inf MFlops  0.000000000 sec
     20 :      400.00 MFlops  0.000001000 sec
     21 :         inf MFlops  0.000000000 sec
     22 :         inf MFlops  0.000000000 sec
     23 :      529.00 MFlops  0.000001000 sec
     24 :         inf MFlops  0.000000000 sec
     25 :         inf MFlops  0.000000000 sec
     26 :         inf MFlops  0.000000000 sec
     27 :      729.00 MFlops  0.000001000 sec
     28 :         inf MFlops  0.000000000 sec
     29 :      841.00 MFlops  0.000001000 sec
     30 :         inf MFlops  0.000000000 sec
     31 :         inf MFlops  0.000000000 sec
     32 :         inf MFlops  0.000000000 sec
     33 :      544.50 MFlops  0.000002000 sec
     34 :         inf MFlops  0.000000000 sec
     35 :         inf MFlops  0.000000000 sec
     36 :     1296.00 MFlops  0.000001000 sec
     37 :     1369.00 MFlops  0.000001000 sec
     38 :     1444.00 MFlops  0.000001000 sec
     39 :     1521.00 MFlops  0.000001000 sec
     40 :     1600.00 MFlops  0.000001000 sec
     41 :     1681.00 MFlops  0.000001000 sec
     42 :     1764.00 MFlops  0.000001000 sec
     43 :     1849.00 MFlops  0.000001000 sec
     44 :      968.00 MFlops  0.000002000 sec
     45 :     2025.00 MFlops  0.000001000 sec
     46 :     2116.00 MFlops  0.000001000 sec
     47 :     1104.50 MFlops  0.000002000 sec
     48 :     1152.00 MFlops  0.000002000 sec
     49 :     1200.50 MFlops  0.000002000 sec
     50 :     1250.00 MFlops  0.000002000 sec
     51 :     1300.50 MFlops  0.000002000 sec
     52 :     1352.00 MFlops  0.000002000 sec
     53 :     1404.50 MFlops  0.000002000 sec
     54 :     1458.00 MFlops  0.000002000 sec
     55 :     1512.50 MFlops  0.000002000 sec
     56 :     1568.00 MFlops  0.000002000 sec
     57 :     1624.50 MFlops  0.000002000 sec
     58 :     1682.00 MFlops  0.000002000 sec
     59 :     1740.50 MFlops  0.000002000 sec
     60 :     1800.00 MFlops  0.000002000 sec
     61 :     1860.50 MFlops  0.000002000 sec
     62 :     1922.00 MFlops  0.000002000 sec
     63 :     1984.50 MFlops  0.000002000 sec
     64 :     2048.00 MFlops  0.000002000 sec
     65 :     1408.33 MFlops  0.000003000 sec
     66 :     2178.00 MFlops  0.000002000 sec
     67 :     2244.50 MFlops  0.000002000 sec
     68 :     2312.00 MFlops  0.000002000 sec
     69 :     2380.50 MFlops  0.000002000 sec
     70 :     2450.00 MFlops  0.000002000 sec
     71 :     2520.50 MFlops  0.000002000 sec
     72 :     1728.00 MFlops  0.000003000 sec
     73 :     1776.33 MFlops  0.000003000 sec
     74 :     1825.33 MFlops  0.000003000 sec
     75 :     1875.00 MFlops  0.000003000 sec
     76 :     1925.33 MFlops  0.000003000 sec
     77 :     1976.33 MFlops  0.000003000 sec
     78 :     2028.00 MFlops  0.000003000 sec
     79 :     2080.33 MFlops  0.000003000 sec
     80 :     3200.00 MFlops  0.000002000 sec
     81 :     3280.50 MFlops  0.000002000 sec
     82 :     3362.00 MFlops  0.000002000 sec
     83 :     3444.50 MFlops  0.000002000 sec
     84 :     2352.00 MFlops  0.000003000 sec
     85 :     2408.33 MFlops  0.000003000 sec
     86 :     2465.33 MFlops  0.000003000 sec
     87 :     2523.00 MFlops  0.000003000 sec
     88 :     2581.33 MFlops  0.000003000 sec
     89 :     3960.50 MFlops  0.000002000 sec
     90 :     4050.00 MFlops  0.000002000 sec
     91 :     2760.33 MFlops  0.000003000 sec
     92 :     4232.00 MFlops  0.000002000 sec
     93 :     4324.50 MFlops  0.000002000 sec
     94 :     4418.00 MFlops  0.000002000 sec
     95 :     4512.50 MFlops  0.000002000 sec
     96 :     4608.00 MFlops  0.000002000 sec
     97 :     4704.50 MFlops  0.000002000 sec
     98 :     4802.00 MFlops  0.000002000 sec
     99 :     4900.50 MFlops  0.000002000 sec
    100 :     5000.00 MFlops  0.000002000 sec
    101 :     5100.50 MFlops  0.000002000 sec
    102 :     5202.00 MFlops  0.000002000 sec
    103 :     3536.33 MFlops  0.000003000 sec
    104 :     5408.00 MFlops  0.000002000 sec
    105 :     5512.50 MFlops  0.000002000 sec
    106 :     3745.33 MFlops  0.000003000 sec
    107 :     3816.33 MFlops  0.000003000 sec
    108 :     5832.00 MFlops  0.000002000 sec
    109 :     3960.33 MFlops  0.000003000 sec
    110 :     4033.33 MFlops  0.000003000 sec
    111 :     6160.50 MFlops  0.000002000 sec
    112 :     4181.33 MFlops  0.000003000 sec
    113 :     4256.33 MFlops  0.000003000 sec
    114 :     4332.00 MFlops  0.000003000 sec
    115 :     4408.33 MFlops  0.000003000 sec
    116 :     6728.00 MFlops  0.000002000 sec
    117 :     4563.00 MFlops  0.000003000 sec
    118 :     4641.33 MFlops  0.000003000 sec
    119 :     7080.50 MFlops  0.000002000 sec
    120 :     4800.00 MFlops  0.000003000 sec
    121 :     4880.33 MFlops  0.000003000 sec
    122 :     4961.33 MFlops  0.000003000 sec
    123 :     3782.25 MFlops  0.000004000 sec
    124 :     3844.00 MFlops  0.000004000 sec
    125 :     3906.25 MFlops  0.000004000 sec
    126 :     3969.00 MFlops  0.000004000 sec
    127 :     4032.25 MFlops  0.000004000 sec
    128 :     4096.00 MFlops  0.000004000 sec
    129 :     4160.25 MFlops  0.000004000 sec
    130 :     4225.00 MFlops  0.000004000 sec
    131 :     4290.25 MFlops  0.000004000 sec
    132 :     4356.00 MFlops  0.000004000 sec
    133 :     4422.25 MFlops  0.000004000 sec
    134 :     4489.00 MFlops  0.000004000 sec
    135 :     3645.00 MFlops  0.000005000 sec
    136 :     3699.20 MFlops  0.000005000 sec
    137 :     3753.80 MFlops  0.000005000 sec
    138 :     3174.00 MFlops  0.000006000 sec
    139 :     3220.17 MFlops  0.000006000 sec
    140 :     3920.00 MFlops  0.000005000 sec
    141 :     3313.50 MFlops  0.000006000 sec
    142 :     4032.80 MFlops  0.000005000 sec
    143 :     4089.80 MFlops  0.000005000 sec
    144 :     4147.20 MFlops  0.000005000 sec
    145 :     4205.00 MFlops  0.000005000 sec
    146 :     3552.67 MFlops  0.000006000 sec
    147 :     4321.80 MFlops  0.000005000 sec
    148 :     3650.67 MFlops  0.000006000 sec
    149 :     4440.20 MFlops  0.000005000 sec
    150 :     3750.00 MFlops  0.000006000 sec
    151 :     4560.20 MFlops  0.000005000 sec
    152 :     3850.67 MFlops  0.000006000 sec
    153 :     3901.50 MFlops  0.000006000 sec
    154 :     3952.67 MFlops  0.000006000 sec
    155 :     4805.00 MFlops  0.000005000 sec
    156 :     1352.00 MFlops  0.000018000 sec
    157 :     3521.29 MFlops  0.000007000 sec
    158 :       65.52 MFlops  0.000381000 sec
    159 :     6320.25 MFlops  0.000004000 sec
    160 :     6400.00 MFlops  0.000004000 sec
    161 :     6480.25 MFlops  0.000004000 sec
    162 :     5248.80 MFlops  0.000005000 sec
    163 :     5313.80 MFlops  0.000005000 sec
    164 :     5379.20 MFlops  0.000005000 sec
    165 :     6806.25 MFlops  0.000004000 sec
    166 :     5511.20 MFlops  0.000005000 sec
    167 :     5577.80 MFlops  0.000005000 sec
    168 :     4704.00 MFlops  0.000006000 sec
    169 :     4760.17 MFlops  0.000006000 sec
    170 :     4816.67 MFlops  0.000006000 sec
    171 :     5848.20 MFlops  0.000005000 sec
    172 :     4930.67 MFlops  0.000006000 sec
    173 :     5985.80 MFlops  0.000005000 sec
    174 :     5046.00 MFlops  0.000006000 sec
    175 :     5104.17 MFlops  0.000006000 sec
    176 :     5162.67 MFlops  0.000006000 sec
    177 :     5221.50 MFlops  0.000006000 sec
    178 :     4526.29 MFlops  0.000007000 sec
    179 :     4577.29 MFlops  0.000007000 sec
    180 :     4628.57 MFlops  0.000007000 sec
    181 :     4680.14 MFlops  0.000007000 sec
    182 :     4732.00 MFlops  0.000007000 sec
    183 :     4784.14 MFlops  0.000007000 sec
    184 :     4836.57 MFlops  0.000007000 sec
    185 :     4889.29 MFlops  0.000007000 sec
    186 :     3145.09 MFlops  0.000011000 sec
    187 :     3885.44 MFlops  0.000009000 sec
    188 :     5049.14 MFlops  0.000007000 sec
    189 :     4465.12 MFlops  0.000008000 sec
    190 :     4512.50 MFlops  0.000008000 sec
    191 :     4560.12 MFlops  0.000008000 sec
    192 :     5266.29 MFlops  0.000007000 sec
    193 :     5321.29 MFlops  0.000007000 sec
    194 :     4704.50 MFlops  0.000008000 sec
    195 :     4753.12 MFlops  0.000008000 sec
    196 :     4802.00 MFlops  0.000008000 sec
    197 :     4851.12 MFlops  0.000008000 sec
    198 :     4900.50 MFlops  0.000008000 sec
    199 :     4400.11 MFlops  0.000009000 sec
    200 :     5000.00 MFlops  0.000008000 sec
