From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.01 MFlops
      2 :        8.00 MFlops
      3 :       27.00 MFlops
      4 :         inf MFlops
      5 :      125.00 MFlops
      6 :      216.00 MFlops
      7 :      343.00 MFlops
      8 :      256.00 MFlops
      9 :      364.50 MFlops
     10 :     1000.00 MFlops
     11 :     1331.00 MFlops
     12 :      864.00 MFlops
     13 :     1098.50 MFlops
     14 :     1372.00 MFlops
     15 :     1125.00 MFlops
     16 :     2048.00 MFlops
     17 :     1637.67 MFlops
     18 :     1944.00 MFlops
     19 :     1714.75 MFlops
     20 :     2000.00 MFlops
     21 :     2315.25 MFlops
     22 :     2129.60 MFlops
     23 :     2433.40 MFlops
     24 :     1728.00 MFlops
     25 :     2604.17 MFlops
     26 :     2929.33 MFlops
     27 :     2811.86 MFlops
     28 :     3136.00 MFlops
     29 :     3484.14 MFlops
     30 :     3375.00 MFlops
     31 :     3310.11 MFlops
     32 :        4.93 MFlops
     33 :       33.84 MFlops
     34 :     7860.80 MFlops
     35 :     8575.00 MFlops
     36 :    11664.00 MFlops
     37 :    10130.60 MFlops
     38 :    13718.00 MFlops
     39 :    11863.80 MFlops
     40 :    12800.00 MFlops
     41 :    13784.20 MFlops
     42 :    14817.60 MFlops
     43 :    15901.40 MFlops
     44 :    14197.33 MFlops
     45 :    15187.50 MFlops
     46 :     1035.49 MFlops
     47 :     2118.84 MFlops
     48 :    22118.40 MFlops
     49 :    16807.00 MFlops
     50 :    17857.14 MFlops
     51 :    18950.14 MFlops
     52 :    17576.00 MFlops
     53 :    21268.14 MFlops
     54 :    19683.00 MFlops
     55 :    20796.87 MFlops
     56 :    21952.00 MFlops
     57 :    20577.00 MFlops
     58 :      438.45 MFlops
     59 :      399.57 MFlops
     60 :       35.35 MFlops
     61 :      650.38 MFlops
     62 :    26480.89 MFlops
     63 :    25004.70 MFlops
     64 :    29127.11 MFlops
     65 :    14453.95 MFlops
     66 :    28749.60 MFlops
     67 :    25063.58 MFlops
     68 :    26202.67 MFlops
     69 :    25269.92 MFlops
     70 :    11827.59 MFlops
     71 :    29825.92 MFlops
     72 :    28711.38 MFlops
     73 :    27786.93 MFlops
     74 :    31171.08 MFlops
     75 :    28125.00 MFlops
     76 :    29265.07 MFlops
     77 :    30435.53 MFlops
     78 :    31636.80 MFlops
     79 :    25949.42 MFlops
     80 :    34133.33 MFlops
     81 :    33215.06 MFlops
     82 :    34460.50 MFlops
     83 :    31765.94 MFlops
     84 :    31194.95 MFlops
     85 :    32322.37 MFlops
     86 :    33476.63 MFlops
     87 :    31357.29 MFlops
     88 :    32451.05 MFlops
     89 :    30650.83 MFlops
     90 :    36450.00 MFlops
     91 :     3409.82 MFlops
     92 :     4527.26 MFlops
     93 :     5509.29 MFlops
     94 :    13843.07 MFlops
     95 :    42868.75 MFlops
     96 :    42130.29 MFlops
     97 :    38028.04 MFlops
     98 :    40921.39 MFlops
     99 :    40429.12 MFlops
    100 :    40000.00 MFlops
    101 :    41212.04 MFlops
    102 :    36593.38 MFlops
    103 :    40471.37 MFlops
    104 :    43264.00 MFlops
    105 :    41343.75 MFlops
    106 :    42536.29 MFlops
    107 :    43751.54 MFlops
    108 :    44989.71 MFlops
    109 :    41775.13 MFlops
    110 :    45896.55 MFlops
    111 :    39075.17 MFlops
    112 :    45320.26 MFlops
    113 :    41225.63 MFlops
    114 :    41154.00 MFlops
    115 :    33797.22 MFlops
    116 :    44597.03 MFlops
    117 :    44489.25 MFlops
    118 :      682.61 MFlops
    119 :     3525.44 MFlops
    120 :     5837.84 MFlops
    121 :    41199.09 MFlops
    122 :    42229.02 MFlops
    123 :    43275.98 MFlops
    124 :    44340.09 MFlops
    125 :    44389.20 MFlops
    126 :    44452.80 MFlops
    127 :    45519.62 MFlops
    128 :    49932.19 MFlops
    129 :    48788.39 MFlops
    130 :    47760.87 MFlops
    131 :    40874.38 MFlops
    132 :    42592.00 MFlops
    133 :    42775.22 MFlops
    134 :    45398.19 MFlops
    135 :    46422.17 MFlops
    136 :    44918.86 MFlops
    137 :    47617.65 MFlops
    138 :    47783.13 MFlops
    139 :    47957.48 MFlops
    140 :    49000.00 MFlops
    141 :    49179.32 MFlops
    142 :    50233.12 MFlops
    143 :    49562.83 MFlops
    144 :    53321.14 MFlops
    145 :    51671.61 MFlops
    146 :    51868.93 MFlops
    147 :    48129.14 MFlops
    148 :    49118.06 MFlops
    149 :    48646.31 MFlops
    150 :     2730.58 MFlops
    151 :    46526.36 MFlops
    152 :    14817.76 MFlops
    153 :    51906.91 MFlops
    154 :    55337.33 MFlops
    155 :    55580.22 MFlops
    156 :    59319.00 MFlops
    157 :    56910.19 MFlops
    158 :    58870.33 MFlops
    159 :    58256.22 MFlops
    160 :    65015.87 MFlops
    161 :    57168.23 MFlops
    162 :    58240.11 MFlops
    163 :    57743.29 MFlops
    164 :    59607.35 MFlops
    165 :    59106.91 MFlops
    166 :    59406.44 MFlops
    167 :     8257.91 MFlops
    168 :    54501.52 MFlops
    169 :    54850.10 MFlops
    170 :     8412.67 MFlops
    171 :    54947.37 MFlops
    172 :    57173.57 MFlops
    173 :    56897.99 MFlops
    174 :    57890.37 MFlops
    175 :    47012.06 MFlops
    176 :    61255.91 MFlops
    177 :     8900.86 MFlops
    178 :    49471.51 MFlops
    179 :    56785.53 MFlops
    180 :    58320.00 MFlops
    181 :    42355.29 MFlops
    182 :    54805.16 MFlops
    183 :    56745.25 MFlops
    184 :    58768.91 MFlops
    185 :    58088.30 MFlops
    186 :    20558.65 MFlops
    187 :    40117.81 MFlops
    188 :    17394.43 MFlops
    189 :    64916.05 MFlops
    190 :    66592.23 MFlops
    191 :    65734.63 MFlops
    192 :    70778.88 MFlops
    193 :    64188.01 MFlops
    194 :    64614.02 MFlops
    195 :    63921.34 MFlops
    196 :    66633.06 MFlops
    197 :    65345.07 MFlops
    198 :    66345.23 MFlops
    199 :    61567.18 MFlops
    200 :    62500.00 MFlops
