From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.17 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :      729.00 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :     2744.00 MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :     5832.00 MFlops
     19 :     6859.00 MFlops
     20 :     8000.00 MFlops
     21 :     9261.00 MFlops
     22 :         inf MFlops
     23 :    12167.00 MFlops
     24 :     3456.00 MFlops
     25 :    15625.00 MFlops
     26 :    17576.00 MFlops
     27 :    19683.00 MFlops
     28 :         inf MFlops
     29 :    12194.50 MFlops
     30 :    27000.00 MFlops
     31 :    29791.00 MFlops
     32 :    16384.00 MFlops
     33 :     8984.25 MFlops
     34 :    19652.00 MFlops
     35 :    21437.50 MFlops
     36 :    15552.00 MFlops
     37 :    25326.50 MFlops
     38 :    18290.67 MFlops
     39 :    29659.50 MFlops
     40 :    32000.00 MFlops
     41 :    22973.67 MFlops
     42 :    24696.00 MFlops
     43 :    39753.50 MFlops
     44 :    42592.00 MFlops
     45 :    30375.00 MFlops
     46 :    48668.00 MFlops
     47 :    34607.67 MFlops
     48 :    55296.00 MFlops
     49 :    39216.33 MFlops
     50 :    41666.67 MFlops
     51 :    44217.00 MFlops
     52 :    46869.33 MFlops
     53 :    49625.67 MFlops
     54 :    52488.00 MFlops
     55 :    55458.33 MFlops
     56 :    58538.67 MFlops
     57 :    46298.25 MFlops
     58 :    48778.00 MFlops
     59 :    51344.75 MFlops
     60 :    54000.00 MFlops
     61 :    56745.25 MFlops
     62 :    59582.00 MFlops
     63 :    50009.40 MFlops
     64 :    87381.33 MFlops
     65 :    39232.14 MFlops
     66 :    35937.00 MFlops
     67 :    37595.37 MFlops
     68 :    44918.86 MFlops
     69 :    36501.00 MFlops
     70 :    42875.00 MFlops
     71 :    39767.89 MFlops
     72 :    74649.60 MFlops
     73 :    43224.11 MFlops
     74 :    50653.00 MFlops
     75 :    46875.00 MFlops
     76 :    62710.86 MFlops
     77 :    45653.30 MFlops
     78 :    52728.00 MFlops
     79 :    44821.73 MFlops
     80 :    85333.33 MFlops
     81 :    44286.75 MFlops
     82 :    55136.80 MFlops
     83 :    51980.64 MFlops
     84 :    59270.40 MFlops
     85 :    47240.38 MFlops
     86 :    53004.67 MFlops
     87 :    50654.08 MFlops
     88 :    97353.14 MFlops
     89 :    58747.42 MFlops
     90 :    60750.00 MFlops
     91 :    57967.00 MFlops
     92 :    70789.82 MFlops
     93 :    57454.07 MFlops
     94 :    63891.08 MFlops
     95 :    65951.92 MFlops
     96 :   110592.00 MFlops
     97 :    48035.42 MFlops
     98 :    52288.44 MFlops
     99 :    48514.95 MFlops
    100 :    58823.53 MFlops
    101 :    44795.70 MFlops
    102 :    50533.71 MFlops
    103 :    45530.29 MFlops
    104 :   102260.36 MFlops
    105 :    52619.32 MFlops
    106 :    56715.05 MFlops
    107 :    55683.77 MFlops
    108 :    74100.71 MFlops
    109 :    61668.05 MFlops
    110 :    66550.00 MFlops
    111 :    62165.05 MFlops
    112 :   117077.33 MFlops
    113 :    62734.65 MFlops
    114 :    64414.96 MFlops
    115 :    63369.79 MFlops
    116 :    74328.38 MFlops
    117 :    66733.88 MFlops
    118 :    65721.28 MFlops
    119 :    64813.81 MFlops
    120 :   132923.08 MFlops
    121 :    68136.96 MFlops
    122 :    75660.33 MFlops
    123 :    74434.68 MFlops
    124 :    86664.73 MFlops
    125 :    72337.96 MFlops
    126 :    76937.54 MFlops
    127 :    78783.96 MFlops
    128 :   149796.57 MFlops
    129 :    61333.97 MFlops
    130 :    64617.65 MFlops
    131 :    62446.97 MFlops
    132 :    74192.52 MFlops
    133 :    65351.03 MFlops
    134 :    66836.22 MFlops
    135 :    60009.15 MFlops
    136 :   132392.42 MFlops
    137 :    64283.82 MFlops
    138 :    67386.46 MFlops
    139 :    59680.42 MFlops
    140 :    74162.16 MFlops
    141 :    65191.19 MFlops
    142 :    75349.68 MFlops
    143 :    73105.18 MFlops
    144 :   142189.71 MFlops
    145 :    60972.50 MFlops
    146 :    66215.66 MFlops
    147 :    67585.60 MFlops
    148 :    92622.63 MFlops
    149 :    70381.89 MFlops
    150 :    76704.55 MFlops
    151 :    74846.76 MFlops
    152 :   152687.30 MFlops
    153 :    73093.41 MFlops
    154 :    77707.74 MFlops
    155 :    77580.73 MFlops
    156 :    94910.40 MFlops
    157 :    73016.85 MFlops
    158 :    78886.24 MFlops
    159 :    83743.31 MFlops
    160 :   163840.00 MFlops
    161 :    64204.32 MFlops
    162 :    72059.80 MFlops
    163 :    66626.88 MFlops
    164 :    83225.36 MFlops
    165 :    65103.26 MFlops
    166 :    69307.52 MFlops
    167 :    64686.99 MFlops
    168 :   148176.00 MFlops
    169 :    58863.52 MFlops
    170 :    60654.32 MFlops
    171 :    54947.37 MFlops
    172 :    79507.00 MFlops
    173 :    63142.89 MFlops
    174 :    72164.71 MFlops
    175 :    74435.76 MFlops
    176 :   165205.33 MFlops
    177 :    72963.59 MFlops
    178 :    79433.13 MFlops
    179 :    74484.92 MFlops
    180 :    95606.56 MFlops
    181 :    75060.01 MFlops
    182 :    83730.11 MFlops
    183 :    82817.39 MFlops
    184 :   168364.97 MFlops
    185 :    76284.64 MFlops
    186 :    75704.19 MFlops
    187 :    73474.19 MFlops
    188 :   103823.00 MFlops
    189 :    83349.00 MFlops
    190 :    89077.92 MFlops
    191 :    88200.90 MFlops
    192 :   186260.21 MFlops
