From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        0.43 MFlops :       0.00 Sec : 130
      2 :        7.02 MFlops :       0.00 Sec : 260
      3 :       88.86 MFlops :       0.00 Sec : 390
      4 :      153.19 MFlops :       0.00 Sec : 520
      5 :      253.17 MFlops :       0.00 Sec : 650
      6 :      355.45 MFlops :       0.00 Sec : 780
      7 :      475.33 MFlops :       0.00 Sec : 910
      8 :      612.77 MFlops :       0.00 Sec : 1040
      9 :      738.25 MFlops :       0.00 Sec : 1170
     10 :      877.67 MFlops :       0.00 Sec : 1300
     11 :      898.60 MFlops :       0.00 Sec : 1430
     12 :     1083.29 MFlops :       0.00 Sec : 4271
     13 :     1091.45 MFlops :       0.00 Sec : 4272
     14 :     1224.57 MFlops :       0.00 Sec : 4273
     15 :     1306.82 MFlops :       0.00 Sec : 4274
     16 :     1239.63 MFlops :       0.00 Sec : 4275
     17 :     1504.18 MFlops :       0.00 Sec : 4276
     18 :     1566.90 MFlops :       0.00 Sec : 4277
     19 :     1556.87 MFlops :       0.00 Sec : 4278
     20 :     1658.58 MFlops :       0.00 Sec : 4279
     21 :     1819.72 MFlops :       0.00 Sec : 4280
     22 :     1974.38 MFlops :       0.00 Sec : 4281
     23 :     2135.71 MFlops :       0.00 Sec : 4282
     24 :     1999.92 MFlops :       0.00 Sec : 4283
     25 :     2165.30 MFlops :       0.00 Sec : 4284
     26 :     2373.21 MFlops :       0.00 Sec : 4285
     27 :     2224.26 MFlops :       0.00 Sec : 4286
     28 :     2359.17 MFlops :       0.00 Sec : 4287
     29 :     2568.65 MFlops :       0.00 Sec : 4288
     30 :     2369.70 MFlops :       0.00 Sec : 4355
     31 :     2668.02 MFlops :       0.00 Sec : 4356
     32 :     2704.64 MFlops :       0.00 Sec : 4357
     33 :     2841.51 MFlops :       0.00 Sec : 4358
     34 :     2890.71 MFlops :       0.00 Sec : 4420
     35 :     2909.53 MFlops :       0.00 Sec : 4550
     36 :      299.70 MFlops :       0.00 Sec : 4680
