From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        6.58 MFlops :       0.00 Sec : 34
      2 :       19.15 MFlops :       0.00 Sec : 68
      3 :       78.99 MFlops :       0.00 Sec : 102
      4 :      337.02 MFlops :       0.00 Sec : 136
      5 :      548.54 MFlops :       0.00 Sec : 170
      6 :      947.88 MFlops :       0.00 Sec : 204
      7 :     1128.90 MFlops :       0.00 Sec : 238
      8 :     1225.54 MFlops :       0.00 Sec : 272
      9 :     1199.66 MFlops :       0.00 Sec : 306
     10 :     1645.62 MFlops :       0.00 Sec : 340
     11 :     2061.48 MFlops :       0.00 Sec : 374
     12 :     1978.18 MFlops :       0.00 Sec : 408
     13 :     2313.88 MFlops :       0.00 Sec : 442
     14 :     2491.36 MFlops :       0.00 Sec : 476
     15 :     2866.57 MFlops :       0.00 Sec : 510
     16 :     3171.99 MFlops :       0.00 Sec : 544
     17 :     3233.98 MFlops :       0.00 Sec : 578
     18 :     3489.92 MFlops :       0.00 Sec : 612
     19 :     3842.50 MFlops :       0.00 Sec : 646
     20 :     3900.74 MFlops :       0.00 Sec : 680
     21 :     4277.93 MFlops :       0.00 Sec : 714
     22 :     4380.65 MFlops :       0.00 Sec : 748
     23 :     4853.90 MFlops :       0.00 Sec : 782
     24 :     5055.36 MFlops :       0.00 Sec : 816
     25 :     5207.67 MFlops :       0.00 Sec : 850
     26 :     5575.62 MFlops :       0.00 Sec : 884
     27 :     5633.19 MFlops :       0.00 Sec : 918
     28 :     6148.90 MFlops :       0.00 Sec : 952
     29 :     6174.64 MFlops :       0.00 Sec : 986
     30 :     5974.03 MFlops :       0.00 Sec : 1020
     31 :     6225.37 MFlops :       0.00 Sec : 1054
     32 :     7071.98 MFlops :       0.00 Sec : 1088
     33 :     6906.72 MFlops :       0.00 Sec : 1122
     34 :     7236.88 MFlops :       0.00 Sec : 1156
     35 :     7525.99 MFlops :       0.00 Sec : 1190
     36 :     6862.86 MFlops :       0.00 Sec : 1224
     37 :     7094.11 MFlops :       0.00 Sec : 1258
     38 :     7726.09 MFlops :       0.00 Sec : 1292
     39 :     7035.45 MFlops :       0.00 Sec : 1326
     40 :     8140.68 MFlops :       0.00 Sec : 1360
     41 :     7498.72 MFlops :       0.00 Sec : 1394
     42 :     7649.95 MFlops :       0.00 Sec : 1428
     43 :     7753.40 MFlops :       0.00 Sec : 1462
     44 :     8935.84 MFlops :       0.00 Sec : 1496
     45 :     8478.17 MFlops :       0.00 Sec : 1530
     46 :     8868.02 MFlops :       0.00 Sec : 1564
     47 :     8569.47 MFlops :       0.00 Sec : 1598
     48 :     9303.15 MFlops :       0.00 Sec : 1632
     49 :     8677.03 MFlops :       0.00 Sec : 1666
     50 :     9193.44 MFlops :       0.00 Sec : 1700
     51 :     9338.77 MFlops :       0.00 Sec : 1734
