From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       1.33 MFlops   0.000002 s
 2x2 :       0.00 MFlops   0.006719 s
 3x3 :       7.20 MFlops   0.000010 s
 4x4 :      21.33 MFlops   0.000008 s
 5x5 :      37.04 MFlops   0.000009 s
 6x6 :      48.00 MFlops   0.000012 s
 7x7 :       0.27 MFlops   0.003384 s
 8x8 :      75.85 MFlops   0.000018 s
 9x9 :     324.00 MFlops   0.000006 s
 10x10 :     177.78 MFlops   0.000015 s
 11x11 :     394.37 MFlops   0.000009 s
 12x12 :     460.80 MFlops   0.000010 s
 13x13 :     488.22 MFlops   0.000012 s
 14x14 :     562.87 MFlops   0.000013 s
 15x15 :     692.31 MFlops   0.000013 s
 16x16 :     780.19 MFlops   0.000014 s
 17x17 :     727.85 MFlops   0.000018 s
 18x18 :     864.00 MFlops   0.000018 s
 19x19 :     962.67 MFlops   0.000019 s
 20x20 :    1066.67 MFlops   0.000020 s
 21x21 :    1176.00 MFlops   0.000021 s
 22x22 :    1234.55 MFlops   0.000023 s
 23x23 :     282.13 MFlops   0.000115 s
 24x24 :    1474.56 MFlops   0.000025 s
 25x25 :    1436.78 MFlops   0.000029 s
 26x26 :    1464.67 MFlops   0.000032 s
 27x27 :    1590.55 MFlops   0.000033 s
 28x28 :    1672.53 MFlops   0.000035 s
 29x29 :    1757.77 MFlops   0.000037 s
 30x30 :    1894.74 MFlops   0.000038 s
 31x31 :    2090.60 MFlops   0.000038 s
 32x32 :    2240.55 MFlops   0.000039 s
 33x33 :    2281.71 MFlops   0.000042 s
 34x34 :    2437.46 MFlops   0.000043 s
 35x35 :    2540.74 MFlops   0.000045 s
 36x36 :    2764.80 MFlops   0.000045 s
 37x37 :    2814.06 MFlops   0.000048 s
 38x38 :    2813.95 MFlops   0.000052 s
 39x39 :    2984.60 MFlops   0.000053 s
 40x40 :    3047.62 MFlops   0.000056 s
 41x41 :    3281.95 MFlops   0.000056 s
 42x42 :    3658.67 MFlops   0.000054 s
 43x43 :    3312.79 MFlops   0.000064 s
 44x44 :    3605.67 MFlops   0.000063 s
 45x45 :    3521.74 MFlops   0.000069 s
 46x46 :    3761.78 MFlops   0.000069 s
 47x47 :    3845.30 MFlops   0.000072 s
 48x48 :    3932.16 MFlops   0.000075 s
 49x49 :    4022.19 MFlops   0.000078 s
 50x50 :    4166.67 MFlops   0.000080 s
 51x51 :    4065.93 MFlops   0.000087 s
 52x52 :    4260.85 MFlops   0.000088 s
 53x53 :     426.89 MFlops   0.000930 s
 54x54 :    5674.38 MFlops   0.000074 s
 55x55 :    5688.03 MFlops   0.000078 s
 56x56 :    6081.94 MFlops   0.000077 s
 57x57 :    6173.10 MFlops   0.000080 s
 58x58 :    6503.73 MFlops   0.000080 s
 59x59 :    6519.97 MFlops   0.000084 s
 60x60 :    6857.14 MFlops   0.000084 s
 61x61 :    6878.21 MFlops   0.000088 s
 62x62 :    6983.97 MFlops   0.000091 s
 63x63 :    7169.81 MFlops   0.000093 s
 64x64 :    7767.23 MFlops   0.000090 s
 65x65 :    6908.81 MFlops   0.000106 s
 66x66 :    6442.49 MFlops   0.000119 s
 67x67 :    6365.35 MFlops   0.000126 s
 68x68 :    5480.30 MFlops   0.000153 s
 69x69 :    6441.35 MFlops   0.000136 s
 70x70 :    6825.87 MFlops   0.000134 s
 71x71 :    6966.64 MFlops   0.000137 s
 72x72 :    7427.82 MFlops   0.000134 s
 73x73 :    7517.24 MFlops   0.000138 s
 74x74 :    7774.08 MFlops   0.000139 s
 75x75 :    7120.25 MFlops   0.000158 s
 76x76 :   10005.15 MFlops   0.000117 s
 77x77 :    9978.86 MFlops   0.000122 s
 78x78 :   10288.39 MFlops   0.000123 s
 79x79 :   10434.69 MFlops   0.000126 s
 80x80 :   10750.66 MFlops   0.000127 s
 81x81 :   10655.46 MFlops   0.000133 s
 82x82 :   12051.76 MFlops   0.000122 s
 83x83 :   11912.23 MFlops   0.000128 s
 84x84 :   12849.95 MFlops   0.000123 s
 85x85 :   11294.25 MFlops   0.000145 s
 86x86 :   10872.75 MFlops   0.000156 s
 87x87 :   11044.08 MFlops   0.000159 s
 88x88 :   11800.38 MFlops   0.000154 s
 89x89 :   11533.24 MFlops   0.000163 s
 90x90 :   11926.38 MFlops   0.000163 s
 91x91 :   11548.98 MFlops   0.000174 s
 92x92 :   11472.38 MFlops   0.000181 s
 93x93 :   13575.65 MFlops   0.000158 s
 94x94 :   13672.16 MFlops   0.000162 s
 95x95 :   13856.57 MFlops   0.000165 s
 96x96 :   14563.56 MFlops   0.000162 s
 97x97 :   14401.15 MFlops   0.000169 s
 98x98 :   12937.35 MFlops   0.000194 s
 99x99 :    8712.00 MFlops   0.000297 s
 100x100 :   13468.01 MFlops   0.000198 s
 101x101 :   13272.80 MFlops   0.000207 s
 102x102 :   14009.35 MFlops   0.000202 s
 103x103 :   14425.44 MFlops   0.000202 s
 104x104 :   14491.00 MFlops   0.000207 s
 105x105 :   14770.33 MFlops   0.000209 s
 106x106 :   15645.53 MFlops   0.000203 s
 107x107 :   15482.38 MFlops   0.000211 s
 108x108 :    8591.39 MFlops   0.000391 s
 109x109 :   15417.01 MFlops   0.000224 s
 110x110 :   15635.83 MFlops   0.000227 s
 111x111 :   15070.31 MFlops   0.000242 s
 112x112 :   15229.57 MFlops   0.000246 s
 113x113 :   16032.19 MFlops   0.000240 s
 114x114 :   15740.18 MFlops   0.000251 s
 115x115 :   16553.74 MFlops   0.000245 s
 116x116 :   17271.33 MFlops   0.000241 s
 117x117 :   17291.37 MFlops   0.000247 s
 118x118 :   17596.06 MFlops   0.000249 s
 119x119 :   17485.44 MFlops   0.000257 s
 120x120 :   17587.79 MFlops   0.000262 s
 121x121 :   17760.01 MFlops   0.000266 s
 122x122 :   17934.30 MFlops   0.000270 s
 123x123 :   18110.63 MFlops   0.000274 s
 124x124 :   15789.85 MFlops   0.000322 s
 125x125 :   17132.68 MFlops   0.000304 s
 126x126 :   18849.24 MFlops   0.000283 s
 127x127 :   19301.61 MFlops   0.000283 s
 128x128 :   18766.46 MFlops   0.000298 s
 129x129 :   18892.75 MFlops   0.000303 s
 130x130 :   20063.93 MFlops   0.000292 s
 131x131 :   20530.51 MFlops   0.000292 s
 132x132 :   20109.01 MFlops   0.000305 s
 133x133 :   21411.94 MFlops   0.000293 s
 134x134 :   21531.13 MFlops   0.000298 s
 135x135 :   21371.34 MFlops   0.000307 s
 136x136 :   19110.78 MFlops   0.000351 s
 137x137 :   23087.34 MFlops   0.000297 s
 138x138 :   23129.35 MFlops   0.000303 s
 139x139 :   23558.06 MFlops   0.000304 s
 140x140 :   23757.58 MFlops   0.000308 s
 141x141 :   24113.73 MFlops   0.000310 s
 142x142 :   23860.73 MFlops   0.000320 s
 143x143 :   24444.78 MFlops   0.000319 s
 144x144 :   20261.13 MFlops   0.000393 s
 145x145 :   25484.85 MFlops   0.000319 s
 146x146 :   25457.15 MFlops   0.000326 s
 147x147 :   25668.87 MFlops   0.000330 s
 148x148 :   23619.61 MFlops   0.000366 s
 149x149 :   24571.58 MFlops   0.000359 s
 150x150 :   24000.00 MFlops   0.000375 s
 151x151 :   24548.67 MFlops   0.000374 s
 152x152 :   24840.37 MFlops   0.000377 s
 153x153 :   23997.17 MFlops   0.000398 s
 154x154 :   25429.17 MFlops   0.000383 s
 155x155 :   25593.64 MFlops   0.000388 s
 156x156 :   25694.86 MFlops   0.000394 s
 157x157 :   26460.81 MFlops   0.000390 s
 158x158 :   27108.67 MFlops   0.000388 s
 159x159 :   25954.34 MFlops   0.000413 s
 160x160 :   27582.49 MFlops   0.000396 s
 161x161 :   27209.66 MFlops   0.000409 s
 162x162 :   27719.82 MFlops   0.000409 s
 163x163 :   28585.79 MFlops   0.000404 s
 164x164 :   32226.07 MFlops   0.000365 s
 165x165 :   28726.62 MFlops   0.000417 s
 166x166 :   33237.39 MFlops   0.000367 s
 167x167 :   33031.65 MFlops   0.000376 s
 168x168 :   32256.00 MFlops   0.000392 s
 169x169 :   33783.44 MFlops   0.000381 s
 170x170 :   24261.73 MFlops   0.000540 s
 171x171 :   32363.83 MFlops   0.000412 s
 172x172 :   34352.39 MFlops   0.000395 s
 173x173 :   34778.96 MFlops   0.000397 s
 174x174 :   34263.57 MFlops   0.000410 s
 175x175 :   34437.75 MFlops   0.000415 s
 176x176 :   31811.97 MFlops   0.000457 s
 177x177 :   35718.09 MFlops   0.000414 s
 178x178 :   35220.93 MFlops   0.000427 s
 179x179 :   29299.31 MFlops   0.000522 s
 180x180 :   33159.91 MFlops   0.000469 s
 181x181 :   33080.84 MFlops   0.000478 s
 182x182 :   31337.59 MFlops   0.000513 s
 183x183 :   33149.35 MFlops   0.000493 s
 184x184 :   32256.33 MFlops   0.000515 s
 185x185 :   33904.28 MFlops   0.000498 s
 186x186 :   30263.87 MFlops   0.000567 s
 187x187 :   33794.33 MFlops   0.000516 s
 188x188 :   34607.67 MFlops   0.000512 s
 189x189 :   35094.32 MFlops   0.000513 s
 190x190 :   34707.15 MFlops   0.000527 s
 191x191 :   35325.07 MFlops   0.000526 s
 192x192 :   39988.07 MFlops   0.000472 s
 193x193 :   40274.83 MFlops   0.000476 s
 194x194 :   40818.36 MFlops   0.000477 s
 195x195 :   39945.45 MFlops   0.000495 s
 196x196 :   39997.54 MFlops   0.000502 s
 197x197 :   40532.13 MFlops   0.000503 s
 198x198 :   40747.46 MFlops   0.000508 s
 199x199 :   41286.70 MFlops   0.000509 s
 200x200 :   42160.74 MFlops   0.000506 s
