From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       0.21 MFlops   0.000013 s
 2x2 :      21.33 MFlops   0.000001 s
 3x3 :        inf MFlops   0.000000 s
 4x4 :     170.67 MFlops   0.000001 s
 5x5 :        inf MFlops   0.000000 s
 6x6 :     576.00 MFlops   0.000001 s
 7x7 :        inf MFlops   0.000000 s
 8x8 :    1365.33 MFlops   0.000001 s
 9x9 :    1944.00 MFlops   0.000001 s
 10x10 :    2666.67 MFlops   0.000001 s
 11x11 :    1774.67 MFlops   0.000002 s
 12x12 :    2304.00 MFlops   0.000002 s
 13x13 :    2929.33 MFlops   0.000002 s
 14x14 :    3658.67 MFlops   0.000002 s
 15x15 :    4500.00 MFlops   0.000002 s
 16x16 :    5461.33 MFlops   0.000002 s
 17x17 :    6550.67 MFlops   0.000002 s
 18x18 :    5184.00 MFlops   0.000003 s
 19x19 :    6096.89 MFlops   0.000003 s
 20x20 :   10666.67 MFlops   0.000002 s
 21x21 :    8232.00 MFlops   0.000003 s
 22x22 :    7098.67 MFlops   0.000004 s
 23x23 :    8111.33 MFlops   0.000004 s
 24x24 :    9216.00 MFlops   0.000004 s
 25x25 :   10416.67 MFlops   0.000004 s
 26x26 :    9373.87 MFlops   0.000005 s
 27x27 :   10497.60 MFlops   0.000005 s
 28x28 :   11707.73 MFlops   0.000005 s
 29x29 :   13007.47 MFlops   0.000005 s
 30x30 :   12000.00 MFlops   0.000006 s
 31x31 :   13240.44 MFlops   0.000006 s
 32x32 :    9709.04 MFlops   0.000009 s
 33x33 :   10648.00 MFlops   0.000009 s
 34x34 :   11645.63 MFlops   0.000009 s
 35x35 :   10393.94 MFlops   0.000011 s
 36x36 :   12441.60 MFlops   0.000010 s
 37x37 :   12279.52 MFlops   0.000011 s
 38x38 :   13302.30 MFlops   0.000011 s
 39x39 :   13182.00 MFlops   0.000012 s
 40x40 :   15515.15 MFlops   0.000011 s
 41x41 :   15315.78 MFlops   0.000012 s
 42x42 :   14112.00 MFlops   0.000014 s
 43x43 :   15144.19 MFlops   0.000014 s
 44x44 :   14197.33 MFlops   0.000016 s
 45x45 :   14294.12 MFlops   0.000017 s
 46x46 :   15268.39 MFlops   0.000017 s
