From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        0.67 MFlops :       0.00 Sec : 64
      2 :       10.00 MFlops :       0.00 Sec : 128
      3 :       32.00 MFlops :       0.00 Sec : 192
      4 :         inf MFlops :       0.00 Sec : 256
      5 :         inf MFlops :       0.00 Sec : 320
      6 :      262.00 MFlops :       0.00 Sec : 384
      7 :      420.00 MFlops :       0.00 Sec : 448
      8 :      632.00 MFlops :       0.00 Sec : 512
      9 :      906.00 MFlops :       0.00 Sec : 576
     10 :      625.00 MFlops :       0.00 Sec : 640
     11 :      836.00 MFlops :       0.00 Sec : 704
     12 :     1090.00 MFlops :       0.00 Sec : 768
     13 :     1391.00 MFlops :       0.00 Sec : 832
     14 :     1162.00 MFlops :       0.00 Sec : 896
     15 :     1075.00 MFlops :       0.00 Sec : 960
     16 :     1744.00 MFlops :       0.00 Sec : 1024
     17 :     1572.50 MFlops :       0.00 Sec : 1088
     18 :     1870.50 MFlops :       0.00 Sec : 1152
     19 :     1763.20 MFlops :       0.00 Sec : 1216
     20 :     2060.00 MFlops :       0.00 Sec : 1280
     21 :     2388.40 MFlops :       0.00 Sec : 1344
     22 :     2291.67 MFlops :       0.00 Sec : 1408
     23 :     2247.43 MFlops :       0.00 Sec : 1472
     24 :     2556.57 MFlops :       0.00 Sec : 1536
     25 :     2531.25 MFlops :       0.00 Sec : 1600
     26 :     2533.56 MFlops :       0.00 Sec : 1664
     27 :     2840.00 MFlops :       0.00 Sec : 1728
     28 :     2853.20 MFlops :       0.00 Sec : 1792
     29 :     2884.18 MFlops :       0.00 Sec : 1856
     30 :     2929.17 MFlops :       0.00 Sec : 1920
     31 :     3234.33 MFlops :       0.00 Sec : 1984
     32 :     4746.67 MFlops :       0.00 Sec : 2048
     33 :     4688.20 MFlops :       0.00 Sec : 2112
     34 :     4275.50 MFlops :       0.00 Sec : 2176
     35 :     4307.69 MFlops :       0.00 Sec : 2240
     36 :     5542.91 MFlops :       0.00 Sec : 2304
     37 :     5094.62 MFlops :       0.00 Sec : 2368
     38 :     5127.29 MFlops :       0.00 Sec : 2432
     39 :     4313.11 MFlops :       0.00 Sec : 2496
     40 :     5985.71 MFlops :       0.00 Sec : 2560
