From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        0.40 MFlops :       0.00 Sec : 64
      2 :       10.00 MFlops :       0.00 Sec : 128
      3 :       32.00 MFlops :       0.00 Sec : 192
      4 :       76.00 MFlops :       0.00 Sec : 256
      5 :      150.00 MFlops :       0.00 Sec : 320
      6 :      262.00 MFlops :       0.00 Sec : 384
      7 :      420.00 MFlops :       0.00 Sec : 448
      8 :      632.00 MFlops :       0.00 Sec : 512
      9 :      453.00 MFlops :       0.00 Sec : 576
     10 :      625.00 MFlops :       0.00 Sec : 640
     11 :      836.00 MFlops :       0.00 Sec : 704
     12 :     1090.00 MFlops :       0.00 Sec : 768
     13 :     1391.00 MFlops :       0.00 Sec : 832
     14 :     1743.00 MFlops :       0.00 Sec : 896
     15 :     2150.00 MFlops :       0.00 Sec : 960
     16 :     1744.00 MFlops :       0.00 Sec : 1024
     17 :     2096.67 MFlops :       0.00 Sec : 1088
     18 :     2494.00 MFlops :       0.00 Sec : 1152
     19 :     2204.00 MFlops :       0.00 Sec : 1216
     20 :     3433.33 MFlops :       0.00 Sec : 1280
     21 :     2985.50 MFlops :       0.00 Sec : 1344
     22 :     3437.50 MFlops :       0.00 Sec : 1408
     23 :     3933.00 MFlops :       0.00 Sec : 1472
     24 :     3579.20 MFlops :       0.00 Sec : 1536
     25 :     5062.50 MFlops :       0.00 Sec : 1600
     26 :     5700.50 MFlops :       0.00 Sec : 1664
     27 :     5112.00 MFlops :       0.00 Sec : 1728
     28 :     5706.40 MFlops :       0.00 Sec : 1792
     29 :     5287.67 MFlops :       0.00 Sec : 1856
     30 :     5858.33 MFlops :       0.00 Sec : 1920
     31 :     6468.67 MFlops :       0.00 Sec : 1984
     32 :     6102.86 MFlops :       0.00 Sec : 2048
     33 :     5860.25 MFlops :       0.00 Sec : 2112
     34 :     7329.43 MFlops :       0.00 Sec : 2176
     35 :     6222.22 MFlops :       0.00 Sec : 2240
     36 :     6097.20 MFlops :       0.00 Sec : 2304
     37 :     7358.89 MFlops :       0.00 Sec : 2368
     38 :     7178.20 MFlops :       0.00 Sec : 2432
     39 :     7763.60 MFlops :       0.00 Sec : 2496
     40 :     8380.00 MFlops :       0.00 Sec : 2560
