From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.03 MFlops       2.00 MFlops       0.12 MFlops
      2 :   1.430511e-06         inf MFlops       8.00 MFlops      13.33 MFlops
      3 :   5.960464e-08         inf MFlops        inf MFlops        inf MFlops
      4 :   0.000000e+00       42.67 MFlops        inf MFlops      74.67 MFlops
      5 :   1.192093e-07       83.33 MFlops        inf MFlops     133.33 MFlops
      6 :   4.172325e-07      144.00 MFlops      72.00 MFlops     108.00 MFlops
      7 :   2.384186e-07      114.33 MFlops        inf MFlops     163.33 MFlops
      8 :   1.072884e-06      170.67 MFlops        inf MFlops     234.67 MFlops
      9 :   4.768372e-07      243.00 MFlops     162.00 MFlops     216.00 MFlops
     10 :   7.152557e-07        0.16 MFlops     200.00 MFlops       0.21 MFlops
     11 :   1.013279e-06       22.75 MFlops     242.00 MFlops      28.23 MFlops
     12 :   2.741814e-06      230.40 MFlops     288.00 MFlops     240.00 MFlops
     13 :   1.192093e-06      112.67 MFlops     338.00 MFlops     128.76 MFlops
     14 :   8.404255e-06      130.67 MFlops        inf MFlops     158.67 MFlops
     15 :   7.152557e-07      187.50 MFlops     450.00 MFlops     207.69 MFlops
     16 :   4.065037e-05      182.04 MFlops     512.00 MFlops     202.67 MFlops
     17 :   2.026558e-06      218.36 MFlops     289.00 MFlops     226.67 MFlops
     18 :   2.801418e-06      388.80 MFlops     648.00 MFlops     412.36 MFlops
     19 :   2.717972e-05      415.70 MFlops     722.00 MFlops     441.22 MFlops
     20 :   1.311302e-06      444.44 MFlops     800.00 MFlops     471.79 MFlops
     21 :   3.993511e-06      474.92 MFlops     882.00 MFlops     504.00 MFlops
     22 :   3.218651e-06      473.24 MFlops     968.00 MFlops     504.17 MFlops
     23 :   1.907349e-06      506.96 MFlops    1058.00 MFlops     539.37 MFlops
     24 :   7.450581e-06      576.00 MFlops    1152.00 MFlops     609.88 MFlops
     25 :   2.503395e-06      578.70 MFlops    1250.00 MFlops     614.04 MFlops
     26 :   2.026558e-06      585.87 MFlops    1352.00 MFlops     622.35 MFlops
     27 :   2.086163e-06      624.86 MFlops    1458.00 MFlops     662.73 MFlops
     28 :   1.335144e-05      504.64 MFlops     522.67 MFlops     506.33 MFlops
     29 :   2.622604e-06      464.55 MFlops     560.67 MFlops     472.14 MFlops
     30 :   2.980232e-06      461.54 MFlops     600.00 MFlops     471.43 MFlops
     31 :   2.026558e-06      413.76 MFlops     640.67 MFlops     427.11 MFlops
     32 :   2.503395e-06      532.81 MFlops     512.00 MFlops     530.96 MFlops
     33 :   1.122355e-04      520.83 MFlops     544.50 MFlops     522.72 MFlops
     34 :   7.987022e-06      582.28 MFlops     578.00 MFlops     581.93 MFlops
     35 :   1.084805e-05      608.16 MFlops     816.67 MFlops     620.67 MFlops
     36 :   5.364418e-06      648.00 MFlops     864.00 MFlops     660.71 MFlops
     37 :   1.421571e-04      637.14 MFlops     912.67 MFlops     651.90 MFlops
     38 :   4.291534e-06      653.24 MFlops     722.00 MFlops     657.82 MFlops
     39 :   3.397465e-06      719.02 MFlops     760.50 MFlops     721.83 MFlops
     40 :   2.348423e-05      723.16 MFlops     800.00 MFlops     728.04 MFlops
     41 :   2.384186e-06      741.09 MFlops    1120.67 MFlops     758.61 MFlops
     42 :   4.649162e-06      851.59 MFlops     882.00 MFlops     853.55 MFlops
     43 :   4.708767e-06      898.38 MFlops     924.50 MFlops     900.04 MFlops
     44 :   3.576279e-06      962.53 MFlops     968.00 MFlops     962.88 MFlops
     45 :   3.099442e-06      979.84 MFlops    1012.50 MFlops     981.82 MFlops
     46 :   9.536743e-06     1297.81 MFlops    2116.00 MFlops    1329.28 MFlops
     47 :   3.206730e-05     1538.12 MFlops    2209.00 MFlops    1566.67 MFlops
     48 :   3.039837e-06     1638.40 MFlops    2304.00 MFlops    1666.72 MFlops
     49 :   9.417534e-05     1634.01 MFlops    2401.00 MFlops    1664.69 MFlops
     50 :   7.390976e-06     1773.05 MFlops    2500.00 MFlops    1802.72 MFlops
     51 :   6.020069e-06     1768.68 MFlops    1734.00 MFlops    1766.72 MFlops
     52 :   6.437302e-06     1874.77 MFlops    1802.67 MFlops    1870.69 MFlops
     53 :   4.297495e-05     1804.57 MFlops    2809.00 MFlops    1839.81 MFlops
     54 :   6.067753e-05     1874.57 MFlops    2916.00 MFlops    1910.48 MFlops
     55 :   8.940697e-06      797.96 MFlops    3025.00 MFlops     829.55 MFlops
     56 :   5.150437e-04     2018.57 MFlops    2090.67 MFlops    2022.12 MFlops
     57 :   6.556511e-05     2023.97 MFlops    3249.00 MFlops    2062.86 MFlops
     58 :   7.367134e-05     2001.15 MFlops    3364.00 MFlops    2041.83 MFlops
     59 :   3.963709e-05     2043.57 MFlops    3481.00 MFlops    2085.24 MFlops
     60 :   1.275539e-05     2117.65 MFlops    3600.00 MFlops    2160.00 MFlops
     61 :   1.990795e-05     2161.72 MFlops    3721.00 MFlops    2205.04 MFlops
     62 :   6.210804e-05     2237.82 MFlops    3844.00 MFlops    2281.83 MFlops
     63 :   4.351139e-06     2252.68 MFlops    3969.00 MFlops    2297.84 MFlops
     64 :   1.412630e-05     2461.45 MFlops    2730.67 MFlops    2472.36 MFlops
     65 :   6.556511e-06     1868.20 MFlops    1408.33 MFlops    1841.67 MFlops
     66 :   4.231930e-06     1860.82 MFlops    1244.57 MFlops    1821.60 MFlops
     67 :   4.768372e-06     1965.77 MFlops     997.56 MFlops    1887.27 MFlops
     68 :   1.144409e-05     2075.46 MFlops    1321.14 MFlops    2026.57 MFlops
     69 :   4.887581e-06     1990.96 MFlops    1587.00 MFlops    1970.07 MFlops
     70 :   5.245209e-06     1829.33 MFlops    1400.00 MFlops    1806.57 MFlops
     71 :   6.675720e-06     2093.05 MFlops    1120.22 MFlops    2021.86 MFlops
     72 :   6.139278e-06     2202.05 MFlops    1481.14 MFlops    2160.00 MFlops
     73 :   6.723404e-05     2197.84 MFlops    1522.57 MFlops    2160.02 MFlops
     74 :   6.675720e-06     2785.04 MFlops    2738.00 MFlops    2783.18 MFlops
     75 :   2.294779e-05     3024.19 MFlops    2250.00 MFlops    2984.69 MFlops
     76 :   1.931190e-05     2986.23 MFlops    2888.00 MFlops    2982.38 MFlops
     77 :   2.813339e-05     3074.30 MFlops    2964.50 MFlops    3070.03 MFlops
     78 :   3.695488e-05     3132.36 MFlops    3042.00 MFlops    3128.91 MFlops
     79 :   2.104044e-05     3071.89 MFlops    2496.40 MFlops    3046.20 MFlops
     80 :   1.013279e-05     3160.49 MFlops    3200.00 MFlops    3161.90 MFlops
     81 :   6.973743e-06     3220.85 MFlops    3280.50 MFlops    3222.95 MFlops
     82 :   1.096725e-05     3828.94 MFlops    3362.00 MFlops    3810.27 MFlops
     83 :   2.610683e-05     3970.74 MFlops    2755.60 MFlops    3910.59 MFlops
     84 :   2.288818e-05     4073.57 MFlops    2822.40 MFlops    4012.24 MFlops
     85 :   5.245209e-06     3301.75 MFlops    1605.56 MFlops    3186.97 MFlops
     86 :   8.368492e-05     2826.92 MFlops    1479.20 MFlops    2742.68 MFlops
     87 :   1.239777e-05     3006.86 MFlops    1513.80 MFlops    2911.15 MFlops
     88 :   1.347065e-05     3222.09 MFlops    1720.89 MFlops    3132.02 MFlops
     89 :   2.574921e-05     2155.87 MFlops    1980.25 MFlops    2149.65 MFlops
     90 :   9.298325e-06     3328.77 MFlops    1620.00 MFlops    3219.23 MFlops
     91 :   1.005530e-04     3394.46 MFlops    1840.22 MFlops    3305.37 MFlops
     92 :   1.049042e-05     3460.84 MFlops    1692.80 MFlops    3350.33 MFlops
     93 :   2.598763e-05     4001.78 MFlops    1922.00 MFlops    3870.88 MFlops
     94 :   1.525879e-05     4071.49 MFlops    2209.00 MFlops    3968.02 MFlops
     95 :   7.033348e-06     4172.14 MFlops    1805.00 MFlops    4011.11 MFlops
     96 :   3.069639e-05     4274.09 MFlops    2304.00 MFlops    4166.14 MFlops
     97 :   3.170967e-05     4284.85 MFlops    2090.89 MFlops    4154.08 MFlops
     98 :   2.396107e-05     4357.37 MFlops    1920.80 MFlops    4199.15 MFlops
     99 :   2.384186e-05     4370.72 MFlops    2450.25 MFlops    4272.23 MFlops
    100 :   6.699562e-05     3472.22 MFlops    2000.00 MFlops    3399.34 MFlops
    101 :   1.943111e-05     4088.50 MFlops    2266.89 MFlops    3995.87 MFlops
    102 :   8.821487e-06     4367.11 MFlops    2312.00 MFlops    4258.95 MFlops
    103 :   3.778934e-05      790.11 MFlops    1928.91 MFlops     803.54 MFlops
    104 :   9.655952e-06     3806.65 MFlops    2403.56 MFlops    3745.35 MFlops
    105 :   2.503395e-05     4915.61 MFlops    2205.00 MFlops    4753.29 MFlops
    106 :   1.257658e-05     5089.81 MFlops    2247.20 MFlops    4918.57 MFlops
    107 :   1.591444e-05     5010.40 MFlops    1908.17 MFlops    4797.68 MFlops
    108 :   9.179115e-06     5281.81 MFlops    2120.73 MFlops    5077.27 MFlops
    109 :   5.960464e-06     4743.70 MFlops    1980.17 MFlops    4572.76 MFlops
    110 :   1.472235e-05     5377.78 MFlops    1861.54 MFlops    5120.97 MFlops
    111 :   5.370378e-05     4928.40 MFlops    1760.14 MFlops    4705.51 MFlops
    112 :   1.144409e-05     5090.32 MFlops    2280.73 MFlops    4931.83 MFlops
    113 :   1.201034e-04     5010.06 MFlops    2321.64 MFlops    4864.38 MFlops
    114 :   5.513430e-05     5198.40 MFlops    1999.38 MFlops    4993.54 MFlops
    115 :   1.364946e-05     5120.79 MFlops    2204.17 MFlops    4954.13 MFlops
    116 :   1.764297e-05     5177.10 MFlops    2691.20 MFlops    5059.29 MFlops
