From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.11 MFlops       0.50 MFlops       0.27 MFlops
      2 :   2.264977e-06         inf MFlops        inf MFlops        inf MFlops
      3 :   2.384186e-07         inf MFlops        inf MFlops        inf MFlops
      4 :   5.960464e-08         inf MFlops      32.00 MFlops      74.67 MFlops
      5 :   1.788139e-07         inf MFlops        inf MFlops        inf MFlops
      6 :   2.384186e-07         inf MFlops        inf MFlops        inf MFlops
      7 :   1.788139e-07      228.67 MFlops        inf MFlops     326.67 MFlops
      8 :   7.152557e-07      341.33 MFlops        inf MFlops     469.33 MFlops
      9 :   1.132488e-06         inf MFlops        inf MFlops        inf MFlops
     10 :   1.788139e-07      666.67 MFlops        inf MFlops     866.67 MFlops
     11 :   8.940697e-07         inf MFlops     242.00 MFlops    1129.33 MFlops
     12 :   1.549721e-06         inf MFlops     288.00 MFlops    1440.00 MFlops
     13 :   1.907349e-06     1464.67 MFlops        inf MFlops    1802.67 MFlops
     14 :   7.927418e-06     1829.33 MFlops        inf MFlops    2221.33 MFlops
     15 :   2.682209e-06     2250.00 MFlops        inf MFlops    2700.00 MFlops
     16 :   2.861023e-06     2730.67 MFlops        inf MFlops    3242.67 MFlops
     17 :   1.788139e-06     1637.67 MFlops        inf MFlops    1926.67 MFlops
     18 :   9.536743e-07     1944.00 MFlops        inf MFlops    2268.00 MFlops
     19 :   4.410744e-06     4572.67 MFlops     722.00 MFlops    2647.33 MFlops
     20 :   2.503395e-06     2666.67 MFlops        inf MFlops    3066.67 MFlops
     21 :   2.861023e-06     3087.00 MFlops        inf MFlops    3528.00 MFlops
     22 :   2.384186e-06     3549.33 MFlops     968.00 MFlops    2688.89 MFlops
     23 :   1.430511e-06     4055.67 MFlops    1058.00 MFlops    3056.44 MFlops
     24 :   2.980232e-06     4608.00 MFlops    1152.00 MFlops    3456.00 MFlops
     25 :   1.788139e-06     3472.22 MFlops        inf MFlops    3888.89 MFlops
     26 :   2.461672e-05     3905.78 MFlops        inf MFlops    4356.44 MFlops
     27 :   3.457069e-06     4374.00 MFlops    1458.00 MFlops    3645.00 MFlops
     28 :   1.090765e-05     4878.22 MFlops    1568.00 MFlops    4050.67 MFlops
     29 :   9.894371e-06     5419.78 MFlops        inf MFlops    5980.44 MFlops
     30 :   1.549721e-06     4500.00 MFlops        inf MFlops    4950.00 MFlops
     31 :   6.318092e-06     6620.22 MFlops    1922.00 MFlops    5445.67 MFlops
     32 :   2.741814e-06     5461.33 MFlops    2048.00 MFlops    4778.67 MFlops
     33 :   6.049871e-05     4791.60 MFlops    2178.00 MFlops    4356.00 MFlops
     34 :   5.543232e-06     5240.53 MFlops    2312.00 MFlops    4752.44 MFlops
     35 :   2.861023e-06     4763.89 MFlops        inf MFlops    5172.22 MFlops
     36 :   1.311302e-06     5184.00 MFlops    2592.00 MFlops    4813.71 MFlops
     37 :   1.360774e-04     5628.11 MFlops    2738.00 MFlops    5215.24 MFlops
     38 :   3.814697e-06     5225.90 MFlops        inf MFlops    5638.48 MFlops
     39 :   3.218651e-06     5649.43 MFlops    3042.00 MFlops    5323.50 MFlops
     40 :   1.549721e-05     7111.11 MFlops    3200.00 MFlops    6552.38 MFlops
     41 :   1.192093e-06     6563.90 MFlops    3362.00 MFlops    6163.67 MFlops
     42 :   8.463860e-06     6174.00 MFlops        inf MFlops    6615.00 MFlops
     43 :   1.907349e-06     6625.58 MFlops    3698.00 MFlops    6300.30 MFlops
     44 :   3.606081e-05     5162.67 MFlops    3872.00 MFlops    5055.11 MFlops
     45 :   3.516674e-06     6750.00 MFlops    4050.00 MFlops    6480.00 MFlops
     46 :   3.045797e-05     7210.07 MFlops    4232.00 MFlops    6912.27 MFlops
     47 :   1.227856e-05     6921.53 MFlops    4418.00 MFlops    6693.94 MFlops
     48 :   3.576279e-06     8192.00 MFlops        inf MFlops    8704.00 MFlops
     49 :   9.846687e-05     8714.74 MFlops    4802.00 MFlops    8323.47 MFlops
     50 :   3.576279e-06     8333.33 MFlops    5000.00 MFlops    8030.30 MFlops
     51 :   5.483627e-06     8843.40 MFlops    5202.00 MFlops    8512.36 MFlops
     52 :   7.510185e-06     9373.87 MFlops    5408.00 MFlops    9013.33 MFlops
     53 :   7.915497e-05     8270.94 MFlops    5618.00 MFlops    8066.87 MFlops
     54 :   8.559227e-05     8748.00 MFlops    5832.00 MFlops    8523.69 MFlops
     55 :   1.299381e-05     8532.05 MFlops    6050.00 MFlops    8354.76 MFlops
     56 :   6.691813e-04    10643.39 MFlops    6272.00 MFlops   10279.11 MFlops
     57 :   5.185604e-05    10288.50 MFlops    6498.00 MFlops    9996.92 MFlops
     58 :   1.620054e-04    10005.74 MFlops    6728.00 MFlops    9771.62 MFlops
     59 :   9.489059e-05    10532.26 MFlops    6962.00 MFlops   10277.24 MFlops
     60 :   1.633167e-05    10285.71 MFlops    7200.00 MFlops   10080.00 MFlops
     61 :   7.677078e-05    10088.04 MFlops    7442.00 MFlops    9922.67 MFlops
     62 :   2.396107e-05    10592.36 MFlops    7688.00 MFlops   10410.83 MFlops
     63 :   2.098083e-05    10418.62 MFlops    7938.00 MFlops   10272.71 MFlops
     64 :   2.783537e-05    13443.28 MFlops    8192.00 MFlops   13068.19 MFlops
     65 :   8.225441e-06     9154.17 MFlops    8450.00 MFlops    9120.63 MFlops
     66 :   5.960464e-06    11274.35 MFlops    8712.00 MFlops   11132.00 MFlops
     67 :   9.357929e-06    11794.63 MFlops    4489.00 MFlops   11025.61 MFlops
