From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops		Time
      1 :        1.00 MFlops   0.000001 sec
      2 :         inf MFlops   0.000000 sec
      3 :         inf MFlops   0.000000 sec
      4 :         inf MFlops   0.000000 sec
      5 :         inf MFlops   0.000000 sec
      6 :         inf MFlops   0.000000 sec
      7 :         inf MFlops   0.000000 sec
      8 :         inf MFlops   0.000000 sec
      9 :         inf MFlops   0.000000 sec
     10 :         inf MFlops   0.000000 sec
     11 :      121.00 MFlops   0.000001 sec
     12 :         inf MFlops   0.000000 sec
     13 :         inf MFlops   0.000000 sec
     14 :         inf MFlops   0.000000 sec
     15 :         inf MFlops   0.000000 sec
     16 :         inf MFlops   0.000000 sec
     17 :        0.44 MFlops   0.000658 sec
     18 :      324.00 MFlops   0.000001 sec
     19 :      361.00 MFlops   0.000001 sec
     20 :      400.00 MFlops   0.000001 sec
     21 :      441.00 MFlops   0.000001 sec
     22 :         inf MFlops   0.000000 sec
     23 :      529.00 MFlops   0.000001 sec
     24 :      576.00 MFlops   0.000001 sec
     25 :      625.00 MFlops   0.000001 sec
     26 :      676.00 MFlops   0.000001 sec
     27 :      729.00 MFlops   0.000001 sec
     28 :         inf MFlops   0.000000 sec
     29 :      841.00 MFlops   0.000001 sec
     30 :      900.00 MFlops   0.000001 sec
     31 :      480.50 MFlops   0.000002 sec
     32 :     1024.00 MFlops   0.000001 sec
     33 :     1089.00 MFlops   0.000001 sec
     34 :     1156.00 MFlops   0.000001 sec
     35 :     1225.00 MFlops   0.000001 sec
     36 :     1296.00 MFlops   0.000001 sec
     37 :     1369.00 MFlops   0.000001 sec
     38 :     1444.00 MFlops   0.000001 sec
     39 :     1521.00 MFlops   0.000001 sec
     40 :     1600.00 MFlops   0.000001 sec
     41 :      840.50 MFlops   0.000002 sec
     42 :     1764.00 MFlops   0.000001 sec
     43 :      924.50 MFlops   0.000002 sec
     44 :      968.00 MFlops   0.000002 sec
     45 :     2025.00 MFlops   0.000001 sec
     46 :     2116.00 MFlops   0.000001 sec
     47 :     1104.50 MFlops   0.000002 sec
     48 :     2304.00 MFlops   0.000001 sec
     49 :     1200.50 MFlops   0.000002 sec
     50 :     2500.00 MFlops   0.000001 sec
     51 :     2601.00 MFlops   0.000001 sec
     52 :     1352.00 MFlops   0.000002 sec
     53 :     1404.50 MFlops   0.000002 sec
     54 :     1458.00 MFlops   0.000002 sec
     55 :     3025.00 MFlops   0.000001 sec
     56 :     1568.00 MFlops   0.000002 sec
     57 :     3249.00 MFlops   0.000001 sec
     58 :     3364.00 MFlops   0.000001 sec
     59 :     3481.00 MFlops   0.000001 sec
