From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        0.67 MFlops
      2x2 :        0.42 MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :        0.14 MFlops
      6x6 :       72.00 MFlops
      7x7 :       98.00 MFlops
      8x8 :      128.00 MFlops
      9x9 :       27.00 MFlops
     10x10 :      100.00 MFlops
     11x11 :      242.00 MFlops
     12x12 :      288.00 MFlops
     13x13 :       56.33 MFlops
     14x14 :      392.00 MFlops
     15x15 :      225.00 MFlops
     16x16 :      512.00 MFlops
     17x17 :      578.00 MFlops
     18x18 :      648.00 MFlops
     19x19 :      722.00 MFlops
     20x20 :      200.00 MFlops
     21x21 :      882.00 MFlops
     22x22 :      968.00 MFlops
     23x23 :     1058.00 MFlops
     24x24 :     1152.00 MFlops
     25x25 :      416.67 MFlops
     26x26 :     1352.00 MFlops
     27x27 :     1458.00 MFlops
     28x28 :     1568.00 MFlops
     29x29 :     1682.00 MFlops
     30x30 :     1800.00 MFlops
     31x31 :     1922.00 MFlops
     32x32 :     1024.00 MFlops
     33x33 :     1089.00 MFlops
     34x34 :     2312.00 MFlops
     35x35 :     2450.00 MFlops
     36x36 :     2592.00 MFlops
     37x37 :     2738.00 MFlops
     38x38 :     2888.00 MFlops
     39x39 :     3042.00 MFlops
     40x40 :     3200.00 MFlops
     41x41 :     3362.00 MFlops
     42x42 :     3528.00 MFlops
     43x43 :     1849.00 MFlops
     44x44 :      387.20 MFlops
     45x45 :     2025.00 MFlops
     46x46 :     4232.00 MFlops
     47x47 :     4418.00 MFlops
     48x48 :     2304.00 MFlops
     49x49 :     4802.00 MFlops
     50x50 :     5000.00 MFlops
     51x51 :     2601.00 MFlops
     52x52 :     2704.00 MFlops
     53x53 :     5618.00 MFlops
     54x54 :     2916.00 MFlops
     55x55 :     3025.00 MFlops
     56x56 :     3136.00 MFlops
     57x57 :     6498.00 MFlops
     58x58 :     3364.00 MFlops
     59x59 :     3481.00 MFlops
     60x60 :     3600.00 MFlops
     61x61 :     3721.00 MFlops
     62x62 :     3844.00 MFlops
     63x63 :     3969.00 MFlops
     64x64 :     4096.00 MFlops
     65x65 :     2816.67 MFlops
     66x66 :     2904.00 MFlops
     67x67 :     2992.67 MFlops
     68x68 :     4624.00 MFlops
     69x69 :     4761.00 MFlops
     70x70 :     4900.00 MFlops
     71x71 :     5041.00 MFlops
     72x72 :     5184.00 MFlops
     73x73 :     5329.00 MFlops
     74x74 :     5476.00 MFlops
     75x75 :     5625.00 MFlops
     76x76 :     5776.00 MFlops
     77x77 :     5929.00 MFlops
     78x78 :     6084.00 MFlops
     79x79 :     4160.67 MFlops
     80x80 :     6400.00 MFlops
     81x81 :     6561.00 MFlops
     82x82 :     6724.00 MFlops
     83x83 :     6889.00 MFlops
     84x84 :     7056.00 MFlops
     85x85 :     7225.00 MFlops
     86x86 :     7396.00 MFlops
     87x87 :     5046.00 MFlops
     88x88 :     7744.00 MFlops
     89x89 :     5280.67 MFlops
     90x90 :     8100.00 MFlops
     91x91 :     8281.00 MFlops
     92x92 :     8464.00 MFlops
     93x93 :     8649.00 MFlops
     94x94 :     8836.00 MFlops
     95x95 :     6016.67 MFlops
     96x96 :     9216.00 MFlops
     97x97 :     6272.67 MFlops
     98x98 :     6402.67 MFlops
