From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops
      1 :        1.00 MFlops
      2 :         inf MFlops
      3 :        9.00 MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :      324.00 MFlops
     19 :      361.00 MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :      576.00 MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :      729.00 MFlops
     28 :      784.00 MFlops
     29 :      841.00 MFlops
     30 :         inf MFlops
     31 :      961.00 MFlops
     32 :         inf MFlops
     33 :        9.15 MFlops
     34 :     1156.00 MFlops
     35 :     1225.00 MFlops
     36 :         inf MFlops
     37 :     1369.00 MFlops
     38 :         inf MFlops
     39 :     1521.00 MFlops
     40 :     1600.00 MFlops
     41 :     1681.00 MFlops
     42 :     1764.00 MFlops
     43 :     1849.00 MFlops
     44 :     1936.00 MFlops
     45 :     2025.00 MFlops
     46 :     2116.00 MFlops
     47 :     2209.00 MFlops
     48 :     2304.00 MFlops
     49 :     2401.00 MFlops
     50 :     2500.00 MFlops
     51 :     2601.00 MFlops
     52 :     2704.00 MFlops
     53 :     2809.00 MFlops
     54 :     2916.00 MFlops
     55 :     1512.50 MFlops
     56 :     1568.00 MFlops
     57 :     3249.00 MFlops
     58 :     3364.00 MFlops
     59 :     3481.00 MFlops
     60 :     3600.00 MFlops
     61 :     1860.50 MFlops
     62 :     3844.00 MFlops
     63 :     3969.00 MFlops
     64 :     4096.00 MFlops
     65 :     4225.00 MFlops
     66 :     2178.00 MFlops
     67 :     2244.50 MFlops
     68 :     4624.00 MFlops
     69 :      595.12 MFlops
     70 :     2450.00 MFlops
     71 :     2520.50 MFlops
     72 :     2592.00 MFlops
     73 :     5329.00 MFlops
     74 :     2738.00 MFlops
     75 :     2812.50 MFlops
     76 :     2888.00 MFlops
     77 :     2964.50 MFlops
     78 :     6084.00 MFlops
     79 :     3120.50 MFlops
     80 :     3200.00 MFlops
     81 :     6561.00 MFlops
     82 :     6724.00 MFlops
     83 :     6889.00 MFlops
     84 :     7056.00 MFlops
     85 :     7225.00 MFlops
     86 :     3698.00 MFlops
     87 :     3784.50 MFlops
     88 :     3872.00 MFlops
     89 :     3960.50 MFlops
     90 :     4050.00 MFlops
     91 :     4140.50 MFlops
     92 :     4232.00 MFlops
     93 :     4324.50 MFlops
     94 :     4418.00 MFlops
     95 :     9025.00 MFlops
     96 :     4608.00 MFlops
     97 :     4704.50 MFlops
     98 :     9604.00 MFlops
     99 :     9801.00 MFlops
    100 :     5000.00 MFlops
    101 :     5100.50 MFlops
    102 :    10404.00 MFlops
    103 :     5304.50 MFlops
    104 :    10816.00 MFlops
    105 :     5512.50 MFlops
    106 :     5618.00 MFlops
    107 :     5724.50 MFlops
    108 :     5832.00 MFlops
    109 :     5940.50 MFlops
    110 :     6050.00 MFlops
    111 :     6160.50 MFlops
    112 :     6272.00 MFlops
    113 :     6384.50 MFlops
    114 :     6498.00 MFlops
    115 :     6612.50 MFlops
    116 :     6728.00 MFlops
    117 :     6844.50 MFlops
    118 :     6962.00 MFlops
    119 :    14161.00 MFlops
    120 :    14400.00 MFlops
    121 :      915.06 MFlops
    122 :     7442.00 MFlops
    123 :    15129.00 MFlops
    124 :     7688.00 MFlops
    125 :    15625.00 MFlops
    126 :     7938.00 MFlops
    127 :    16129.00 MFlops
    128 :     8192.00 MFlops
    129 :     8320.50 MFlops
    130 :     8450.00 MFlops
    131 :    17161.00 MFlops
    132 :    17424.00 MFlops
    133 :     8844.50 MFlops
    134 :    17956.00 MFlops
    135 :     9112.50 MFlops
    136 :     9248.00 MFlops
    137 :     9384.50 MFlops
    138 :     9522.00 MFlops
    139 :    19321.00 MFlops
    140 :     9800.00 MFlops
    141 :     9940.50 MFlops
    142 :    10082.00 MFlops
    143 :    10224.50 MFlops
    144 :    10368.00 MFlops
    145 :    10512.50 MFlops
    146 :     7105.33 MFlops
    147 :     7203.00 MFlops
    148 :     7301.33 MFlops
    149 :    11100.50 MFlops
    150 :     7500.00 MFlops
    151 :     7600.33 MFlops
    152 :     7701.33 MFlops
    153 :     7803.00 MFlops
    154 :     1581.07 MFlops
    155 :     8008.33 MFlops
    156 :     8112.00 MFlops
    157 :     8216.33 MFlops
    158 :     6241.00 MFlops
    159 :     6320.25 MFlops
    160 :     8533.33 MFlops
    161 :     6480.25 MFlops
    162 :     6561.00 MFlops
    163 :     6642.25 MFlops
    164 :       39.49 MFlops
    165 :        2.91 MFlops
    166 :       61.78 MFlops
    167 :       40.24 MFlops
    168 :     7056.00 MFlops
    169 :     9520.33 MFlops
    170 :     9633.33 MFlops
    171 :       28.20 MFlops
    172 :     9861.33 MFlops
    173 :     9976.33 MFlops
    174 :    10092.00 MFlops
    175 :    10208.33 MFlops
    176 :    10325.33 MFlops
    177 :    10443.00 MFlops
    178 :    15842.00 MFlops
    179 :    16020.50 MFlops
    180 :    16200.00 MFlops
    181 :    10920.33 MFlops
    182 :    11041.33 MFlops
    183 :    11163.00 MFlops
    184 :     2604.31 MFlops
    185 :    11408.33 MFlops
    186 :    11532.00 MFlops
    187 :    11656.33 MFlops
    188 :    11781.33 MFlops
    189 :    11907.00 MFlops
    190 :    12033.33 MFlops
    191 :     9120.25 MFlops
    192 :    18432.00 MFlops
    193 :      392.09 MFlops
    194 :     6272.67 MFlops
    195 :     6337.50 MFlops
    196 :      139.69 MFlops
    197 :     6468.17 MFlops
    198 :     4356.00 MFlops
