From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops
      1 :        1.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :       81.00 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :      289.00 MFlops
     18 :         inf MFlops
     19 :      361.00 MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :      484.00 MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :         inf MFlops
     33 :         inf MFlops
     34 :     1156.00 MFlops
     35 :         inf MFlops
     36 :         inf MFlops
     37 :         inf MFlops
     38 :     1444.00 MFlops
     39 :         inf MFlops
     40 :         inf MFlops
     41 :         inf MFlops
     42 :         inf MFlops
     43 :         inf MFlops
     44 :         inf MFlops
     45 :         inf MFlops
     46 :         inf MFlops
     47 :     2209.00 MFlops
     48 :         inf MFlops
     49 :         inf MFlops
     50 :         inf MFlops
     51 :     2601.00 MFlops
     52 :     2704.00 MFlops
     53 :         inf MFlops
     54 :     2916.00 MFlops
     55 :         inf MFlops
     56 :         inf MFlops
     57 :         inf MFlops
     58 :         inf MFlops
     59 :         inf MFlops
     60 :         inf MFlops
     61 :         inf MFlops
     62 :         inf MFlops
     63 :         inf MFlops
     64 :         inf MFlops
     65 :     4225.00 MFlops
     66 :         inf MFlops
     67 :         inf MFlops
     68 :     4624.00 MFlops
     69 :         inf MFlops
     70 :     4900.00 MFlops
     71 :         inf MFlops
     72 :         inf MFlops
     73 :         inf MFlops
     74 :     5476.00 MFlops
     75 :     5625.00 MFlops
     76 :     5776.00 MFlops
     77 :         inf MFlops
     78 :         inf MFlops
     79 :         inf MFlops
     80 :     6400.00 MFlops
     81 :     6561.00 MFlops
     82 :     6724.00 MFlops
     83 :         inf MFlops
     84 :         inf MFlops
     85 :     7225.00 MFlops
     86 :         inf MFlops
     87 :     7569.00 MFlops
     88 :         inf MFlops
     89 :         inf MFlops
     90 :         inf MFlops
     91 :     8281.00 MFlops
     92 :         inf MFlops
     93 :     8649.00 MFlops
     94 :     8836.00 MFlops
     95 :     9025.00 MFlops
     96 :     9216.00 MFlops
     97 :     9409.00 MFlops
     98 :         inf MFlops
     99 :         inf MFlops
    100 :    10000.00 MFlops
    101 :    10201.00 MFlops
    102 :         inf MFlops
    103 :         inf MFlops
    104 :         inf MFlops
    105 :         inf MFlops
    106 :    11236.00 MFlops
    107 :         inf MFlops
    108 :         inf MFlops
    109 :         inf MFlops
    110 :         inf MFlops
    111 :    12321.00 MFlops
    112 :    12544.00 MFlops
    113 :    12769.00 MFlops
    114 :    12996.00 MFlops
    115 :    13225.00 MFlops
    116 :         inf MFlops
    117 :    13689.00 MFlops
    118 :         inf MFlops
    119 :         inf MFlops
    120 :         inf MFlops
    121 :         inf MFlops
    122 :    14884.00 MFlops
    123 :         inf MFlops
    124 :    15376.00 MFlops
    125 :    15625.00 MFlops
    126 :         inf MFlops
    127 :    16129.00 MFlops
    128 :    16384.00 MFlops
    129 :    16641.00 MFlops
    130 :    16900.00 MFlops
    131 :    17161.00 MFlops
    132 :    17424.00 MFlops
    133 :    17689.00 MFlops
    134 :    17956.00 MFlops
    135 :         inf MFlops
    136 :         inf MFlops
    137 :    18769.00 MFlops
    138 :    19044.00 MFlops
    139 :         inf MFlops
    140 :    19600.00 MFlops
    141 :    19881.00 MFlops
    142 :    20164.00 MFlops
    143 :    20449.00 MFlops
    144 :    20736.00 MFlops
    145 :    21025.00 MFlops
    146 :    21316.00 MFlops
    147 :    21609.00 MFlops
    148 :    21904.00 MFlops
    149 :    22201.00 MFlops
    150 :    22500.00 MFlops
    151 :    22801.00 MFlops
    152 :    23104.00 MFlops
    153 :    23409.00 MFlops
    154 :    23716.00 MFlops
    155 :    24025.00 MFlops
    156 :    24336.00 MFlops
    157 :    24649.00 MFlops
    158 :    24964.00 MFlops
    159 :    25281.00 MFlops
    160 :    25600.00 MFlops
    161 :    25921.00 MFlops
    162 :    26244.00 MFlops
    163 :    26569.00 MFlops
    164 :    26896.00 MFlops
    165 :    27225.00 MFlops
    166 :    27556.00 MFlops
    167 :    13944.50 MFlops
    168 :    28224.00 MFlops
    169 :    14280.50 MFlops
    170 :    28900.00 MFlops
    171 :    29241.00 MFlops
    172 :    29584.00 MFlops
    173 :    29929.00 MFlops
    174 :    30276.00 MFlops
    175 :    15312.50 MFlops
    176 :    15488.00 MFlops
    177 :    31329.00 MFlops
    178 :    31684.00 MFlops
    179 :    32041.00 MFlops
    180 :    16200.00 MFlops
    181 :    32761.00 MFlops
    182 :    33124.00 MFlops
    183 :    33489.00 MFlops
    184 :    33856.00 MFlops
    185 :    34225.00 MFlops
    186 :    17298.00 MFlops
    187 :    34969.00 MFlops
    188 :    17672.00 MFlops
    189 :    35721.00 MFlops
    190 :    18050.00 MFlops
    191 :    18240.50 MFlops
    192 :    36864.00 MFlops
    193 :    18624.50 MFlops
    194 :    37636.00 MFlops
    195 :    19012.50 MFlops
    196 :    38416.00 MFlops
    197 :    38809.00 MFlops
    198 :    39204.00 MFlops
    199 :    19800.50 MFlops
    200 :    40000.00 MFlops
