From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops
      1 :        2.00 MFlops
      2 :         inf MFlops
      3 :       18.00 MFlops
      4 :       32.00 MFlops
      5 :       50.00 MFlops
      6 :       72.00 MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :      200.00 MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :      512.00 MFlops
     17 :      578.00 MFlops
     18 :      648.00 MFlops
     19 :       45.12 MFlops
     20 :      800.00 MFlops
     21 :      882.00 MFlops
     22 :      968.00 MFlops
     23 :     1058.00 MFlops
     24 :     1152.00 MFlops
     25 :     1250.00 MFlops
     26 :     1352.00 MFlops
     27 :     1458.00 MFlops
     28 :     1568.00 MFlops
     29 :     1682.00 MFlops
     30 :     1800.00 MFlops
     31 :      961.00 MFlops
     32 :     2048.00 MFlops
     33 :     1089.00 MFlops
     34 :     2312.00 MFlops
     35 :     2450.00 MFlops
     36 :     1296.00 MFlops
     37 :     2738.00 MFlops
     38 :     1444.00 MFlops
     39 :     1521.00 MFlops
     40 :     1600.00 MFlops
     41 :     1681.00 MFlops
     42 :     1764.00 MFlops
     43 :     3698.00 MFlops
     44 :     1936.00 MFlops
     45 :     2025.00 MFlops
     46 :     2116.00 MFlops
     47 :     2209.00 MFlops
     48 :     2304.00 MFlops
     49 :     2401.00 MFlops
     50 :     2500.00 MFlops
     51 :     2601.00 MFlops
     52 :     2704.00 MFlops
     53 :     2809.00 MFlops
     54 :     2916.00 MFlops
     55 :     3025.00 MFlops
     56 :       44.48 MFlops
     57 :       49.23 MFlops
     58 :     3364.00 MFlops
     59 :     3481.00 MFlops
     60 :     7200.00 MFlops
     61 :     3721.00 MFlops
     62 :     3844.00 MFlops
     63 :     3969.00 MFlops
     64 :     4096.00 MFlops
     65 :     4225.00 MFlops
     66 :     4356.00 MFlops
     67 :     8978.00 MFlops
     68 :     9248.00 MFlops
     69 :     4761.00 MFlops
     70 :     3266.67 MFlops
     71 :     5041.00 MFlops
     72 :     3456.00 MFlops
     73 :     3552.67 MFlops
     74 :     3650.67 MFlops
     75 :     5625.00 MFlops
     76 :     3850.67 MFlops
     77 :     3952.67 MFlops
     78 :     4056.00 MFlops
     79 :     4160.67 MFlops
     80 :     4266.67 MFlops
     81 :     6561.00 MFlops
     82 :     4482.67 MFlops
     83 :     4592.67 MFlops
     84 :     7056.00 MFlops
     85 :     7225.00 MFlops
     86 :     4930.67 MFlops
     87 :     5046.00 MFlops
     88 :     7744.00 MFlops
     89 :     5280.67 MFlops
     90 :     8100.00 MFlops
     91 :     8281.00 MFlops
     92 :     8464.00 MFlops
     93 :     8649.00 MFlops
     94 :     8836.00 MFlops
     95 :     9025.00 MFlops
     96 :     9216.00 MFlops
     97 :     6272.67 MFlops
     98 :     9604.00 MFlops
     99 :     6534.00 MFlops
    100 :     6666.67 MFlops
    101 :    10201.00 MFlops
    102 :    10404.00 MFlops
    103 :    10609.00 MFlops
    104 :    10816.00 MFlops
    105 :    11025.00 MFlops
    106 :    11236.00 MFlops
    107 :    11449.00 MFlops
    108 :    11664.00 MFlops
    109 :     7920.67 MFlops
    110 :    12100.00 MFlops
    111 :     8214.00 MFlops
    112 :    12544.00 MFlops
    113 :    12769.00 MFlops
    114 :    12996.00 MFlops
    115 :    13225.00 MFlops
    116 :    13456.00 MFlops
    117 :    13689.00 MFlops
    118 :    13924.00 MFlops
    119 :    14161.00 MFlops
    120 :    14400.00 MFlops
    121 :    14641.00 MFlops
    122 :     9922.67 MFlops
    123 :    10086.00 MFlops
    124 :    15376.00 MFlops
    125 :    15625.00 MFlops
    126 :    15876.00 MFlops
    127 :    10752.67 MFlops
    128 :    16384.00 MFlops
    129 :    16641.00 MFlops
    130 :    16900.00 MFlops
    131 :    17161.00 MFlops
    132 :    11616.00 MFlops
    133 :    17689.00 MFlops
    134 :    17956.00 MFlops
    135 :    18225.00 MFlops
    136 :    12330.67 MFlops
    137 :    12512.67 MFlops
    138 :    19044.00 MFlops
    139 :    19321.00 MFlops
    140 :    19600.00 MFlops
    141 :    13254.00 MFlops
    142 :    20164.00 MFlops
    143 :    20449.00 MFlops
    144 :    13824.00 MFlops
    145 :    21025.00 MFlops
    146 :    14210.67 MFlops
    147 :    14406.00 MFlops
    148 :    14602.67 MFlops
    149 :    14800.67 MFlops
    150 :    22500.00 MFlops
    151 :    22801.00 MFlops
    152 :    15402.67 MFlops
    153 :    15606.00 MFlops
    154 :    15810.67 MFlops
    155 :    16016.67 MFlops
    156 :    24336.00 MFlops
