From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.50 MFlops
      2 :       16.00 MFlops
      3 :         inf MFlops
      4 :       32.00 MFlops
      5 :         inf MFlops
      6 :      432.00 MFlops
      7 :      686.00 MFlops
      8 :         inf MFlops
      9 :     1458.00 MFlops
     10 :     2000.00 MFlops
     11 :     2662.00 MFlops
     12 :     3456.00 MFlops
     13 :         inf MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :     8192.00 MFlops
     17 :     2456.50 MFlops
     18 :    11664.00 MFlops
     19 :    13718.00 MFlops
     20 :    16000.00 MFlops
     21 :    18522.00 MFlops
     22 :         inf MFlops
     23 :    24334.00 MFlops
     24 :    27648.00 MFlops
     25 :    31250.00 MFlops
     26 :    17576.00 MFlops
     27 :    19683.00 MFlops
     28 :    43904.00 MFlops
     29 :    48778.00 MFlops
     30 :    54000.00 MFlops
     31 :    29791.00 MFlops
     32 :    32768.00 MFlops
     33 :    17968.50 MFlops
     34 :    78608.00 MFlops
     35 :    42875.00 MFlops
     36 :    93312.00 MFlops
     37 :   101306.00 MFlops
     38 :    54872.00 MFlops
     39 :    59319.00 MFlops
     40 :    64000.00 MFlops
     41 :    68921.00 MFlops
     42 :    74088.00 MFlops
     43 :    53004.67 MFlops
     44 :    85184.00 MFlops
     45 :    91125.00 MFlops
     46 :    64890.67 MFlops
     47 :    69215.33 MFlops
     48 :    73728.00 MFlops
     49 :    33614.00 MFlops
     50 :   125000.00 MFlops
     51 :    88434.00 MFlops
     52 :    93738.67 MFlops
     53 :   148877.00 MFlops
     54 :   104976.00 MFlops
     55 :   110916.67 MFlops
     56 :   117077.33 MFlops
     57 :   123462.00 MFlops
     58 :   130074.67 MFlops
     59 :   102689.50 MFlops
     60 :   144000.00 MFlops
     61 :   113490.50 MFlops
     62 :   119164.00 MFlops
     63 :   100018.80 MFlops
     64 :   131072.00 MFlops
     65 :    42250.00 MFlops
     66 :    95832.00 MFlops
     67 :    85932.29 MFlops
     68 :    78608.00 MFlops
     69 :    82127.25 MFlops
     70 :    76222.22 MFlops
     71 :    65074.73 MFlops
     72 :    74649.60 MFlops
     73 :    59848.77 MFlops
     74 :    62342.15 MFlops
     75 :    56250.00 MFlops
     76 :    62710.86 MFlops
     77 :    50725.89 MFlops
     78 :    55829.65 MFlops
     79 :    49303.90 MFlops
     80 :    56888.89 MFlops
     81 :    55941.16 MFlops
     82 :    61263.11 MFlops
     83 :    60188.11 MFlops
     84 :    65856.00 MFlops
     85 :    61412.50 MFlops
     86 :    66953.26 MFlops
     87 :    69316.11 MFlops
     88 :    68147.20 MFlops
     89 :    70496.90 MFlops
     90 :    72900.00 MFlops
     91 :    65527.91 MFlops
     92 :    74160.76 MFlops
     93 :    67029.75 MFlops
     94 :    61524.74 MFlops
     95 :    59129.31 MFlops
     96 :    68056.62 MFlops
     97 :    73013.84 MFlops
     98 :    72399.38 MFlops
     99 :    71874.00 MFlops
    100 :    74074.07 MFlops
    101 :    73592.93 MFlops
    102 :    78608.00 MFlops
    103 :    78051.93 MFlops
    104 :    83323.26 MFlops
    105 :    79836.21 MFlops
    106 :    85072.57 MFlops
    107 :    64475.95 MFlops
    108 :    83980.80 MFlops
    109 :    86335.27 MFlops
    110 :    88733.33 MFlops
    111 :    91175.40 MFlops
    112 :    75942.05 MFlops
    113 :    80160.94 MFlops
    114 :    87149.65 MFlops
    115 :    86907.14 MFlops
    116 :    94599.76 MFlops
    117 :    88978.50 MFlops
    118 :    93887.54 MFlops
    119 :    93619.94 MFlops
    120 :    96000.00 MFlops
    121 :    95760.05 MFlops
    122 :   100880.44 MFlops
    123 :   100587.41 MFlops
    124 :    81132.94 MFlops
    125 :    88778.41 MFlops
    126 :    90926.18 MFlops
    127 :    85349.29 MFlops
    128 :    93206.76 MFlops
    129 :    85867.56 MFlops
    130 :    95521.74 MFlops
    131 :    56913.70 MFlops
    132 :   102220.80 MFlops
    133 :   102288.57 MFlops
    134 :    12663.71 MFlops
    135 :   117160.71 MFlops
    136 :   119783.62 MFlops
    137 :   119597.81 MFlops
    138 :   122235.91 MFlops
    139 :   107424.76 MFlops
    140 :   116765.96 MFlops
    141 :   112128.84 MFlops
    142 :   112285.80 MFlops
    143 :   114674.78 MFlops
    144 :   119439.36 MFlops
    145 :   119553.92 MFlops
    146 :   124485.44 MFlops
    147 :   124569.53 MFlops
    148 :   127129.10 MFlops
    149 :   127228.81 MFlops
    150 :   127358.49 MFlops
    151 :   129922.68 MFlops
    152 :   135069.54 MFlops
    153 :   135153.85 MFlops
    154 :   135269.04 MFlops
    155 :   124129.17 MFlops
    156 :   116812.80 MFlops
    157 :   109011.07 MFlops
    158 :   117740.66 MFlops
    159 :   119990.42 MFlops
    160 :   124121.21 MFlops
    161 :   122743.56 MFlops
    162 :   121472.23 MFlops
    163 :   123735.63 MFlops
    164 :   126026.97 MFlops
    165 :   126538.73 MFlops
    166 :   127063.78 MFlops
    167 :   127601.73 MFlops
    168 :   131712.00 MFlops
    169 :     6571.56 MFlops
    170 :   101298.97 MFlops
    171 :   102045.12 MFlops
    172 :   103845.88 MFlops
    173 :   104600.34 MFlops
    174 :   106424.73 MFlops
    175 :   105085.78 MFlops
    176 :   109035.52 MFlops
    177 :   107674.43 MFlops
    178 :   109509.75 MFlops
    179 :   110294.98 MFlops
    180 :   113242.72 MFlops
    181 :   112947.45 MFlops
    182 :   114829.87 MFlops
    183 :     8332.41 MFlops
    184 :    34041.01 MFlops
    185 :   129216.84 MFlops
    186 :   132677.44 MFlops
    187 :   133453.12 MFlops
    188 :   135605.55 MFlops
    189 :   136389.27 MFlops
    190 :   138565.66 MFlops
    191 :   139357.42 MFlops
    192 :    15572.91 MFlops
    193 :   111458.25 MFlops
    194 :   113199.75 MFlops
    195 :   114075.00 MFlops
    196 :   117649.00 MFlops
    197 :   115838.98 MFlops
    198 :   117612.00 MFlops
    199 :   119403.02 MFlops
    200 :   122137.40 MFlops
