From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.12 MFlops
      2 :        1.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :      216.00 MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :      729.00 MFlops
     10 :     1000.00 MFlops
     11 :         inf MFlops
     12 :     1728.00 MFlops
     13 :         inf MFlops
     14 :     2744.00 MFlops
     15 :     3375.00 MFlops
     16 :     4096.00 MFlops
     17 :     2456.50 MFlops
     18 :         inf MFlops
     19 :     6859.00 MFlops
     20 :     8000.00 MFlops
     21 :     9261.00 MFlops
     22 :    10648.00 MFlops
     23 :    12167.00 MFlops
     24 :    13824.00 MFlops
     25 :    15625.00 MFlops
     26 :    17576.00 MFlops
     27 :    19683.00 MFlops
     28 :    21952.00 MFlops
     29 :    24389.00 MFlops
     30 :    13500.00 MFlops
     31 :    14895.50 MFlops
     32 :     8192.00 MFlops
     33 :    11979.00 MFlops
     34 :    19652.00 MFlops
     35 :    42875.00 MFlops
     36 :    46656.00 MFlops
     37 :    25326.50 MFlops
     38 :    27436.00 MFlops
     39 :    29659.50 MFlops
     40 :    32000.00 MFlops
     41 :    34460.50 MFlops
     42 :    37044.00 MFlops
     43 :    39753.50 MFlops
     44 :    42592.00 MFlops
     45 :    30375.00 MFlops
     46 :    32445.33 MFlops
     47 :    34607.67 MFlops
     48 :    18432.00 MFlops
     49 :    29412.25 MFlops
     50 :    41666.67 MFlops
     51 :    44217.00 MFlops
     52 :    46869.33 MFlops
     53 :    49625.67 MFlops
     54 :    52488.00 MFlops
     55 :    41593.75 MFlops
     56 :    58538.67 MFlops
     57 :    46298.25 MFlops
     58 :    65037.33 MFlops
     59 :    51344.75 MFlops
     60 :    54000.00 MFlops
     61 :    45396.20 MFlops
     62 :    47665.60 MFlops
     63 :    41674.50 MFlops
     64 :    52428.80 MFlops
     65 :    54925.00 MFlops
     66 :    71874.00 MFlops
     67 :    75190.75 MFlops
     68 :    78608.00 MFlops
     69 :    65701.80 MFlops
     70 :    85750.00 MFlops
     71 :    89477.75 MFlops
     72 :    93312.00 MFlops
     73 :    77803.40 MFlops
     74 :    81044.80 MFlops
     75 :    70312.50 MFlops
     76 :    87795.20 MFlops
     77 :    76088.83 MFlops
     78 :    67793.14 MFlops
     79 :    70434.14 MFlops
     80 :    22260.87 MFlops
     81 :    33215.06 MFlops
     82 :    39383.43 MFlops
     83 :    38119.13 MFlops
     84 :    45592.62 MFlops
     85 :    40941.67 MFlops
     86 :    39753.50 MFlops
     87 :    38735.47 MFlops
     88 :    42592.00 MFlops
     89 :    39164.94 MFlops
     90 :    40500.00 MFlops
     91 :    37678.55 MFlops
     92 :    37080.38 MFlops
     93 :    36561.68 MFlops
     94 :    69215.33 MFlops
     95 :    71447.92 MFlops
     96 :    44236.80 MFlops
     97 :    43460.62 MFlops
     98 :    39216.33 MFlops
     99 :     6980.57 MFlops
    100 :    43478.26 MFlops
    101 :    41212.04 MFlops
    102 :    40815.69 MFlops
    103 :    39025.96 MFlops
    104 :    44994.56 MFlops
    105 :    42875.00 MFlops
    106 :    42536.29 MFlops
    107 :    38282.59 MFlops
    108 :    43438.34 MFlops
    109 :    39243.30 MFlops
    110 :    40333.33 MFlops
    111 :    39075.17 MFlops
    112 :    87808.00 MFlops
    113 :    96193.13 MFlops
    114 :    92596.50 MFlops
    115 :    95054.69 MFlops
    116 :    97556.00 MFlops
    117 :   100100.81 MFlops
    118 :    96648.94 MFlops
    119 :    99127.00 MFlops
    120 :   101647.06 MFlops
    121 :    98420.06 MFlops
    122 :   106814.59 MFlops
    123 :   103381.50 MFlops
    124 :   105923.56 MFlops
    125 :     2906.44 MFlops
    126 :      274.06 MFlops
    127 :    47636.81 MFlops
    128 :    80659.69 MFlops
    129 :    69248.03 MFlops
    130 :    75758.62 MFlops
    131 :    74936.37 MFlops
    132 :    79309.24 MFlops
    133 :      330.98 MFlops
    134 :    68745.83 MFlops
    135 :    60009.15 MFlops
    136 :    69873.78 MFlops
    137 :    71426.47 MFlops
    138 :    73002.00 MFlops
    139 :    95914.96 MFlops
    140 :   119304.35 MFlops
    141 :   107816.19 MFlops
    142 :   110126.46 MFlops
    143 :   104435.96 MFlops
    144 :    78578.53 MFlops
    145 :    76215.62 MFlops
    146 :    77803.40 MFlops
    147 :    77476.17 MFlops
    148 :    79068.10 MFlops
    149 :    76929.05 MFlops
    150 :    80357.14 MFlops
    151 :    78248.89 MFlops
    152 :    81669.95 MFlops
    153 :    79590.60 MFlops
    154 :    57066.62 MFlops
    155 :    80953.80 MFlops
    156 :    84364.80 MFlops
    157 :    82338.15 MFlops
    158 :    83921.53 MFlops
    159 :    83743.31 MFlops
    160 :   113777.78 MFlops
    161 :   112791.38 MFlops
    162 :   111882.32 MFlops
    163 :   100715.05 MFlops
    164 :   105022.48 MFlops
    165 :     5498.32 MFlops
    166 :   106378.98 MFlops
    167 :   105851.43 MFlops
    168 :   107764.36 MFlops
    169 :   107262.42 MFlops
    170 :    74439.39 MFlops
    171 :   106387.47 MFlops
    172 :   110618.43 MFlops
    173 :   107869.10 MFlops
    174 :   109750.50 MFlops
    175 :     5496.79 MFlops
    176 :    92402.98 MFlops
