From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.17 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :     1728.00 MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :      819.20 MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :    12167.00 MFlops
     24 :    13824.00 MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :    19683.00 MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :    29791.00 MFlops
     32 :    32768.00 MFlops
     33 :    35937.00 MFlops
     34 :    39304.00 MFlops
     35 :         inf MFlops
     36 :    46656.00 MFlops
     37 :         inf MFlops
     38 :    54872.00 MFlops
     39 :    59319.00 MFlops
     40 :    64000.00 MFlops
     41 :    68921.00 MFlops
     42 :    74088.00 MFlops
     43 :    79507.00 MFlops
     44 :    85184.00 MFlops
     45 :    91125.00 MFlops
     46 :    97336.00 MFlops
     47 :         inf MFlops
     48 :   110592.00 MFlops
     49 :   117649.00 MFlops
     50 :   125000.00 MFlops
     51 :   132651.00 MFlops
     52 :         inf MFlops
     53 :   148877.00 MFlops
     54 :   157464.00 MFlops
     55 :   166375.00 MFlops
     56 :   175616.00 MFlops
     57 :   185193.00 MFlops
     58 :   195112.00 MFlops
     59 :   205379.00 MFlops
     60 :   216000.00 MFlops
     61 :   226981.00 MFlops
     62 :   238328.00 MFlops
     63 :   250047.00 MFlops
     64 :   262144.00 MFlops
     65 :   137312.50 MFlops
     66 :   143748.00 MFlops
     67 :   150381.50 MFlops
     68 :   314432.00 MFlops
     69 :   164254.50 MFlops
     70 :   171500.00 MFlops
     71 :   178955.50 MFlops
     72 :   186624.00 MFlops
     73 :   389017.00 MFlops
     74 :   202612.00 MFlops
     75 :   421875.00 MFlops
     76 :   219488.00 MFlops
     77 :   456533.00 MFlops
     78 :   237276.00 MFlops
     79 :   246519.50 MFlops
     80 :   512000.00 MFlops
     81 :   265720.50 MFlops
     82 :   275684.00 MFlops
     83 :   285893.50 MFlops
     84 :   592704.00 MFlops
     85 :   307062.50 MFlops
     86 :   318028.00 MFlops
     87 :   329251.50 MFlops
     88 :   681472.00 MFlops
     89 :   352484.50 MFlops
     90 :   364500.00 MFlops
     91 :   376785.50 MFlops
     92 :   389344.00 MFlops
     93 :   402178.50 MFlops
     94 :   415292.00 MFlops
     95 :   428687.50 MFlops
     96 :   442368.00 MFlops
     97 :   304224.33 MFlops
     98 :   313730.67 MFlops
     99 :   323433.00 MFlops
    100 :   333333.33 MFlops
    101 :   343433.67 MFlops
    102 :   353736.00 MFlops
    103 :   273181.75 MFlops
    104 :   374954.67 MFlops
    105 :   385875.00 MFlops
    106 :   397005.33 MFlops
    107 :   408347.67 MFlops
    108 :   419904.00 MFlops
    109 :   431676.33 MFlops
    110 :   443666.67 MFlops
    111 :   341907.75 MFlops
    112 :   468309.33 MFlops
    113 :   480965.67 MFlops
    114 :   370386.00 MFlops
    115 :   380218.75 MFlops
    116 :   520298.67 MFlops
    117 :   400403.25 MFlops
    118 :   547677.33 MFlops
    119 :   421289.75 MFlops
    120 :   576000.00 MFlops
    121 :   590520.33 MFlops
    122 :   453962.00 MFlops
    123 :   465216.75 MFlops
    124 :   476656.00 MFlops
    125 :   390625.00 MFlops
    126 :   500094.00 MFlops
    127 :   409676.60 MFlops
    128 :   524288.00 MFlops
    129 :   429337.80 MFlops
    130 :   439400.00 MFlops
    131 :   449618.20 MFlops
    132 :   459993.60 MFlops
    133 :   470527.40 MFlops
    134 :   481220.80 MFlops
    135 :   410062.50 MFlops
    136 :   503091.20 MFlops
    137 :   428558.83 MFlops
    138 :   438012.00 MFlops
    139 :   447603.17 MFlops
    140 :   457333.33 MFlops
    141 :   467203.50 MFlops
    142 :   477214.67 MFlops
    143 :   487367.83 MFlops
    144 :   597196.80 MFlops
    145 :   508104.17 MFlops
    146 :   518689.33 MFlops
    147 :   529420.50 MFlops
    148 :   540298.67 MFlops
    149 :   551324.83 MFlops
    150 :   562500.00 MFlops
    151 :   573825.17 MFlops
    152 :   585301.33 MFlops
    153 :   596929.50 MFlops
    154 :   608710.67 MFlops
    155 :   531982.14 MFlops
    156 :   632736.00 MFlops
    157 :   552841.86 MFlops
    158 :   493039.00 MFlops
    159 :   502459.87 MFlops
    160 :   585142.86 MFlops
    161 :   463697.89 MFlops
    162 :   472392.00 MFlops
    163 :   481194.11 MFlops
    164 :   551368.00 MFlops
    165 :   561515.62 MFlops
    166 :   508255.11 MFlops
    167 :   517495.89 MFlops
    168 :   592704.00 MFlops
    169 :   482680.90 MFlops
    170 :   491300.00 MFlops
    171 :   454564.64 MFlops
    172 :   565383.11 MFlops
    173 :   517771.70 MFlops
    174 :   585336.00 MFlops
    175 :   595486.11 MFlops
    176 :   681472.00 MFlops
    177 :   616137.00 MFlops
    178 :   626639.11 MFlops
    179 :   637259.89 MFlops
    180 :   648000.00 MFlops
    181 :   592974.10 MFlops
    182 :   602856.80 MFlops
    183 :   612848.70 MFlops
    184 :   778688.00 MFlops
    185 :   633162.50 MFlops
    186 :   536238.00 MFlops
    187 :   594473.00 MFlops
    188 :   664467.20 MFlops
    189 :   613751.73 MFlops
    190 :   685900.00 MFlops
    191 :   696787.10 MFlops
    192 :   884736.00 MFlops
    193 :   599088.08 MFlops
    194 :   608448.67 MFlops
    195 :   570375.00 MFlops
